Number,Nat,Player,PlayerID,Special,Stat,Age,Since,TSI,LS,XP,Fo,Stm,Lo,MB,KP,DF,PM,WI,PS,SC,SP,Psico,Last,Rt,Pos,Wage,G,TC,PH,KPPos,WBPos,CDPos,WPos,IMPos,FWPos
1,Hanguk,Jee-Seung Oh,427619233,,,22.29,1시즌 0주 3일,8460,4,3,7,7,20,TRUE,8,3,1,1,1,1,6,902,2017-08-27,5,KP,1970000,0,,,8.02,3.96,4.04,3.23,3.11,2.9
2,Hanguk,Jee-Hoon Kim,428709461,,,19.38,8주 3일,3560,3,1,6,6,20,TRUE,7,5,1,1,1,2,2,738,2017-08-30,4,KP,930000,0,,,6.46,3.92,4.07,2.63,2.45,2.38
3,Hanguk,Eun-Seok Hong,427619235,,Inj 1,29.63,1시즌 0주 3일,320,5,4,4,6,20,TRUE,1,6,6,3,2,2,4,612,2017-08-13,3.5,CD,300000,1,,,3.16,5.14,5.52,4.86,5.16,3.75
4,Hanguk,Ji-Woon Lee,427619236,,,19.79,1시즌 0주 3일,1050,5,2,6,7,20,TRUE,1,7,4,3,5,2,5,716,2017-08-30,3.5,CD,390000,3,,,3.97,6.37,6.65,5.42,5.37,4.38
5,Hanguk,Jang-Soo Choi,427619237,Quick,,31.13,1시즌 0주 3일,140,5,5,5,5,20,TRUE,1,6,4,4,2,1,7,592,2017-06-22,2,CD,280000,0,,,3.41,5.31,5.37,4.63,4.45,3.41
6,Hanguk,Jae-Shin Cha,427619238,,,27.60,1시즌 0주 3일,1070,5,5,5,7,20,TRUE,1,7,3,6,3,2,6,773,2017-08-27,4,WB,390000,5,,,4.07,6.55,6.24,5.34,4.62,4.24
7,Hanguk,In-Moo Byon,427619239,,,32.48,1시즌 0주 3일,430,1,6,6,6,20,TRUE,2,6,5,5,5,3,6,594,2017-08-30,4,CD,300000,4,,,4.64,6.62,6.65,6.29,6.18,5.47
8,Hanguk,Hong-Chan Son,427619240,,,22.8,1시즌 0주 3일,1170,5,3,7,7,20,TRUE,1,5,6,5,5,1,4,632,2017-08-27,4,WB,310000,0,,,4.05,6.95,7.09,7.22,7.29,5.45
9,Hanguk,Hoi-Taek Park,427619241,Unpredictable,Y×1,20.15,1시즌 0주 3일,990,2,2,5,6,20,TRUE,1,5,6,3,6,3,6,644,2017-08-30,3.5,IM,330000,4,,,3.08,5.12,5.53,5.38,5.82,4.78
10,Hanguk,Kwang-Eul Jeon,427619242,,,24.14,1시즌 0주 3일,1460,4,3,6,7,20,TRUE,1,6,7,3,3,2,5,752,2017-08-27,4.5,IM,430000,3,,,3.99,6.79,7.42,6.75,7.36,5.17
11,Hanguk,Kwang-Hwan Yun,427619243,,,26.93,1시즌 0주 3일,890,6,4,7,7,20,TRUE,2,5,6,3,5,2,6,640,2017-08-30,4.5,IM,330000,3,,,4.78,6.61,7.1,6.84,7.34,5.66
12,Hanguk,Chan-Myung Lee,427619244,,,25.102,1시즌 0주 3일,770,3,4,4,7,20,TRUE,1,3,7,3,4,3,4,756,2017-08-30,2.5,FW,410000,2,,,2.71,4.35,4.77,5.22,5.87,4.66
13,Hanguk,Sung-Kook Han,427619245,Technical,Inj 1,21.90,1시즌 0주 3일,1130,2,3,6,7,20,TRUE,1,5,6,6,5,2,5,610,2017-08-23,4,W,330000,7,,,3.68,6.47,6.44,6.74,6.66,5.41
14,Hanguk,Se-Jong Cho,427619246,,,28.90,1시즌 0주 3일,780,4,5,5,6,20,TRUE,1,5,5,6,3,4,4,624,2017-08-30,3.5,WB,290000,8,,,3.58,5.95,5.8,5.82,5.62,5.32
15,Hanguk,Man-Ok Lee,427619247,Unpredictable,,23.31,1시즌 0주 3일,2100,5,3,6,7,20,TRUE,1,5,5,7,6,2,4,767,2017-08-27,5,W,350000,7,,,3.76,6.58,6.24,6.69,6.23,5.52
16,Hanguk,Dong-Shik Kim,427619248,,,19.25,1시즌 0주 3일,1370,6,2,6,6,20,TRUE,1,3,3,6,4,7,6,771,2017-08-30,5,FW,410000,13,,,2.96,4.66,4.17,4.78,4.38,6.02
17,Hanguk,Seung-Mee Kim,427619249,Unpredictable,,34.76,1시즌 0주 3일,60,2,6,6,5,20,TRUE,1,2,4,3,3,6,5,590,2017-08-27,4.5,FW,300000,13,,,3.04,4.12,4.2,4.66,4.98,5.62
18,Hanguk,Kwang-Rae Kim,427619250,Head,,26.97,1시즌 0주 3일,810,3,4,3,7,20,TRUE,1,2,5,3,6,6,2,650,2017-08-27,3.5,FW,310000,9,,,2.19,3.16,3.31,3.92,4.32,4.65
19,Hanguk,Chong-Sik Kim,429261123,Quick,,17.80,2주 4일,40,6,1,6,5,20,TRUE,1,2,4,3,2,3,4,409,2017-08-23,2,FW,250000,0,,,2.21,3.29,3.38,3.76,3.99,3.68
20,Brasil,Jader da Matta,427827635,,,32.54,11주 2일,650,4,6,6,6,10,FALSE,2,6,6,5,6,2,5,590,2017-08-30,3.5,WB,384000,1,,,3.87,6.06,6.22,6.05,6.1,4.75
21,Belgium,Jitse Haes,428112207,,Y×1,31.95,11주 3일,900,4,5,6,6,10,FALSE,2,6,6,5,6,2,5,597,2017-08-30,3.5,CD,384000,2,,,3.82,6.03,6.19,6.02,6.07,4.71
22,Nederland,Keith Esser,428060480,Quick,,32.0,11주 2일,760,5,6,4,6,10,FALSE,2,6,5,6,6,2,6,601,2017-08-27,3,W,372000,1,,,3.17,4.95,4.85,4.75,4.49,3.77
23,Belgium,Mathias Piron,428125893,Technical,,32.64,11주 3일,580,6,5,5,6,10,FALSE,2,6,6,5,6,3,6,590,2017-08-30,3.5,W,372000,2,,,3.42,5.41,5.55,5.4,5.47,4.53
24,Canada,Philippe Morel,425173438,Unpredictable,Y×1,33.78,11주 2일,320,5,6,8,5,10,FALSE,2,6,5,5,5,2,6,590,2017-08-30,4,W,360000,4,,,3.98,6.05,6.09,5.71,5.56,4.5
25,Polska,Pylyp Nagorniak,406205227,,,27.25,11주 3일,1750,5,3,5,6,10,FALSE,1,6,7,3,6,3,6,715,2017-08-27,3.5,IM,444000,2,,,2.67,5.08,5.62,5.25,5.81,4.35
26,Türkiye,Türker Arkan,425734621,,,33.42,11주 2일,560,1,6,5,5,10,FALSE,2,6,7,5,6,2,5,680,2017-08-16,4,IM,456000,11,,,3.27,5.28,5.52,5.47,5.68,4.22
27,Hanguk,Joon Yuk,429133218,,,18.98,4주 0일,120,3,1,3,5,20,TRUE,1,5,4,2,4,3,3,497,2017-08-27,1.5,CD,250000,0,,,2,3.12,3.36,2.88,3.06,2.65
29,Türkiye,Gökhan Menderes,426926338,,,19.60,3주 2일,4030,4,1,6,4,6,FALSE,7,3,2,2,1,1,13,762,2017-08-30,2.5,KP,1428000,0,,,4.35,2.02,2.06,1.68,1.6,1.2
30,Hanguk,Kyoo-Shik Kim,430373564,,,18.33,4일,770,6,0,6,5,20,TRUE,1,2,5,4,7,2,3,714,,,,330000,0,,,2.14,3.5,3.55,4.54,4.77,4.18
99,Hanguk,Je-Min Jung,427619232,,,41.41,1시즌 0주 3일,0,4,8,3,1,20,TRUE,0,0,0,0,0,0,1,340,,,,250000,0,,,1.03,1.03,1.03,1.03,1.03,1.03
