Number,Nat,Player,PlayerID,Special,Stat,Age,Since,TSI,LS,XP,Fo,Stm,Lo,FALSE,KP,DF,PM,WI,PS,SC,SP,Psico,Last,Rt,Pos,Wage,G,KPPos,WBdPos,WBPos,WBtmPos,WBoPos,CDPos,CDtwPos,CDoPos,WPos,IMPos,FWPos,FWdPos,FWtwPos,TDFPos,BPo,BPoV
1,Hanguk,Jong-Kyung Ji,429263806,Head,,25.50,3 시즌 13 주 3 일,2320,2,5,6,7,20,TRUE,6,5,1,1,1,1,5,663,2018-10-14,4,KP,990000,0,7.19,5.43,5.07,5.14,4.71,5.23,5.4,4.56,3.67,3.44,3.03,3.03,3.03,0,KP,7.19
2,Hanguk,Soon Jung,429263807,,Bru,31.27,3 시즌 13 주 3 일,140,7,6,7,6,20,TRUE,5,6,1,1,3,1,3,603,2018-10-10,4,KP,630000,0,6.75,5.98,5.54,5.62,5.1,5.73,5.94,4.92,3.99,3.72,3.33,3.57,3.31,0,KP,6.75
7,Hanguk,Ang-Ri Choi,429263812,Powerful,,35.49,3 시즌 13 주 3 일,110,2,6,8,5,20,TRUE,2,7,5,4,4,1,5,680,2018-10-10,4,W,290000,16,5.45,7.96,7.74,7.85,7.53,8,8,7.65,6.92,6.85,5.1,5.74,5.03,0,CD,8
9,Hanguk,Seung-Min Lee,429263815,Quick,,23.18,3 시즌 13 주 3 일,10070,3,3,8,8,20,TRUE,1,10,6,3,6,2,6,1012,2018-10-14,5.5,IM,1550000,4,5.68,10.27,9.77,10.09,9.28,10.51,10.44,9.77,8.14,8.36,6.05,7,5.73,0,CD,10.51
10,Hanguk,Jung-Jae Lee,429263816,Unpredictable,Y×1,27.92,3 시즌 13 주 3 일,5460,4,4,7,7,20,TRUE,1,9,7,2,3,2,4,926,2018-10-14,6,IM,870000,4,5.31,9.34,8.98,9.41,8.65,9.97,9.65,9.62,7.8,8.47,5.65,6.32,5.17,0,CD,9.97
11,Hanguk,Ryung-Tae Kim,429263818,,,29.46,3 시즌 13 주 3 일,2330,2,4,7,6,20,TRUE,2,8,6,3,5,3,5,802,2018-10-10,5,IM,570000,9,5.62,8.56,8.27,8.54,8,8.89,8.73,8.54,7.4,7.75,6.08,6.66,5.78,0,CD,8.89
12,Hanguk,Jung-Eum Yun,429263819,Powerful,,28.43,3 시즌 13 주 3 일,1260,5,5,8,7,20,TRUE,1,5,7,3,5,3,4,703,2018-10-14,5.5,IM,410000,14,4.46,7.23,7.29,7.58,7.38,7.95,7.52,8.32,7.82,8.6,6.76,7.48,6.35,0,IMd,8.61
13,Hanguk,Hong-Woon Kim,429263820,Technical,Y×2,24.58,3 시즌 13 주 3 일,9610,2,4,6,8,20,TRUE,1,10,6,6,5,3,4,1016,2018-10-14,5.5,W,1430000,5,5.24,9.78,9.42,9.49,9.06,9.58,9.75,8.91,7.93,7.6,6.12,0,6.16,6.52,WBd,9.78
15,Hanguk,Bong-Joo Kim,429263823,,,25.104,3 시즌 13 주 3 일,13380,4,4,8,7,20,TRUE,1,10,6,7,6,2,4,1071,2018-10-14,7,W,1350000,16,5.81,10.99,10.63,10.62,10.26,10.61,10.89,9.87,9.08,8.48,6.66,7.37,6.81,0,WBd,10.99
16,Hanguk,Kil-Sung Park,429263824,,Y×1,22.54,3 시즌 13 주 3 일,1980,5,3,7,8,20,TRUE,1,5,3,5,4,7,6,748,2018-10-14,6,FW,410000,21,4.1,6.5,6.37,6.25,6.23,6.09,6.35,5.73,5.74,5.36,6.87,6.15,7.06,0,FWtw,7.06
