Number,Nat,Player,PlayerID,Special,Stat,Age,Since,TSI,LS,XP,Fo,Stm,Lo,FALSE,KP,DF,PM,WI,PS,SC,SP,Psico,Last,Rt,Pos,Wage,G,KPPos,WBPos,CDPos,WPos,IMPos,FWPos,FWdPos,FWtwPos,TDFPos,BPo,BPoV
1,Hanguk,Jong-Kyung Ji,429263806,Head,,25.26,3 시즌 9 주 6 일,2380,2,4,7,7,20,TRUE,6,4,1,1,1,1,5,652,2018-09-16,4.5,KP,990000,0,7.36,4.8,4.92,3.66,3.48,3.15,3.15,3.15,0,KP,7.36
2,Hanguk,Soon Jung,429263807,,,31.3,3 시즌 9 주 6 일,140,7,6,7,6,20,TRUE,5,6,1,1,3,1,3,603,2018-09-19,4,KP,630000,0,7.14,5.86,6.06,4.22,3.94,3.52,3.78,3.5,0,KP,7.14
7,Hanguk,Ang-Ri Choi,429263812,Powerful,,35.25,3 시즌 9 주 6 일,120,2,6,8,5,20,TRUE,2,7,5,4,5,1,5,680,2018-09-19,4.5,W,290000,16,5.45,7.74,8,7,6.94,5.25,6.01,5.17,0,CD,8
9,Hanguk,Seung-Min Lee,429263815,Quick,,22.106,3 시즌 9 주 6 일,9020,3,3,6,8,20,TRUE,1,10,6,3,6,2,6,1003,2018-09-16,5.5,IM,1330000,4,5.1,8.76,9.43,7.31,7.5,5.43,6.27,5.14,0,CD,9.43
10,Hanguk,Jung-Jae Lee,429263816,Unpredictable,,27.68,3 시즌 9 주 6 일,5320,4,4,7,7,20,TRUE,1,9,7,2,3,2,4,922,2018-09-19,5.5,IM,870000,4,5.31,8.98,9.97,7.8,8.47,5.65,6.32,5.17,0,CD,9.97
11,Hanguk,Ryung-Tae Kim,429263818,,,29.22,3 시즌 9 주 6 일,2500,2,4,8,6,20,TRUE,2,8,6,3,5,3,5,803,2018-09-19,5,IM,570000,9,5.82,8.55,9.19,7.65,8.02,6.29,6.89,5.98,0,CD,9.19
12,Hanguk,Jung-Eum Yun,429263819,Powerful,,28.19,3 시즌 9 주 6 일,1170,5,5,7,7,20,TRUE,1,5,7,3,5,3,4,702,2018-09-16,4.5,IM,410000,14,4.31,7.05,7.69,7.56,8.32,6.54,7.23,6.14,0,IMd,8.33
13,Hanguk,Hong-Woon Kim,429263820,Technical,Y×2,24.34,3 시즌 9 주 6 일,10020,2,4,7,8,20,TRUE,1,10,6,6,5,3,4,1016,2018-09-16,6.5,W,1430000,5,5.65,10.15,10.32,8.54,8.19,6.6,0,6.64,7.03,WBd,10.54
15,Hanguk,Bong-Joo Kim,429263823,,,25.80,3 시즌 9 주 6 일,13130,4,4,8,7,20,TRUE,1,10,6,7,6,2,4,1066,2018-09-16,6.5,W,1350000,12,5.81,10.63,10.61,9.09,8.48,6.66,7.38,6.82,0,WBd,11
16,Hanguk,Kil-Sung Park,429263824,,Y×1,22.30,3 시즌 9 주 6 일,1970,5,3,7,8,20,TRUE,1,5,3,5,4,7,6,747,2018-09-16,6,FW,410000,21,4.1,6.37,6.09,5.74,5.36,6.87,6.15,7.06,0,FWtw,7.06
18,Hanguk,Min-Ho Ji,429263827,Unpredictable,,28.106,3 시즌 9 주 6 일,1080,2,6,6,6,20,TRUE,1,4,5,3,6,6,3,614,2018-09-19,4,FW,310000,32,3.75,5.6,5.89,5.99,6.43,6.7,6.75,6.47,0,FWd,6.75
31,Česká republika,,397610518,Head,,30.88,3 시즌 0 주 6 일,11410,3,7,5,6,20,FALSE,1,9,9,1,8,4,4,899,2018-09-19,5.5,IM,1740000,42,4.21,7.42,8.61,7.24,8.39,6.12,7.13,5.42,0,CD,8.61
43,Hanguk,Ji-Soo Kim,433466579,Technical,,20.43,2 시즌 6 주 6 일,10660,3,2,7,7,20,TRUE,1,11,4,4,3,3,3,1134,2018-09-16,6,WB,1950000,0,5.5,9.44,9.73,6.71,6.24,5.05,0,5.07,5.09,WBd,10.11
44,Hanguk,Sang-Yong Jang,433566477,,,21.10,2 시즌 5 주 5 일,7540,2,2,6,8,20,TRUE,1,9,6,6,5,4,2,932,2018-09-16,5,WB,970000,4,4.61,8.51,8.63,7.38,7.14,6.11,6.33,6.13,0,WBd,8.78
48,Hanguk,Jin-Taek Cho,433931826,Powerful,,20.32,2 시즌 1 주 5 일,1740,1,1,6,7,20,TRUE,1,8,5,4,2,4,5,801,2018-09-19,3.5,W,470000,1,3.88,6.89,7.17,5.62,5.59,4.69,4.56,4.63,0,CDtw,7.22
54,Hanguk,Kwang-Hyun Seo,434869614,Unpredictable,Inj 1,20.7,1 시즌 10 주 5 일,1740,2,1,6,7,20,TRUE,1,7,5,4,5,4,2,710,2018-09-19,4,CD,390000,9,3.67,6.47,6.72,5.77,5.81,5.17,5.39,5.08,0,CD,6.72
58,Hanguk,Yi-Sub Kang,435570656,,Y×1,20.38,1 시즌 6 주 6 일,2640,5,1,8,7,20,TRUE,1,7,3,5,5,5,4,770,2018-09-19,4,WB,330000,0,4.06,6.9,6.69,5.58,5.02,5.65,5.43,5.84,0,WBd,7.22
59,Hanguk,Hyung-Hwa Jung,435660098,,,19.23,1 시즌 5 주 6 일,2350,5,2,7,7,20,TRUE,1,8,4,3,5,2,6,845,2018-09-16,4.5,CD,490000,3,4.58,7.46,7.8,6.05,5.94,4.76,5.3,4.65,0,CDtw,7.9
60,Hanguk,Chu-Seok Ahn,435761718,,,19.10,1 시즌 4 주 6 일,850,3,1,5,6,20,TRUE,1,4,5,3,3,7,5,705,2018-09-16,4.5,FW,370000,3,2.53,4.17,4.42,4.3,4.71,5.08,4.67,4.91,0,FW,5.08
61,Schweiz,Francois Baumgartner,434542904,,,18.102,1 시즌 4 주 4 일,9500,5,2,7,7,13,FALSE,1,8,7,6,7,6,3,801,2018-09-16,4.5,CD,492000,5,3.81,7.9,8.12,7.51,7.61,7.03,7.27,6.93,0,CD,8.12
63,Hellas,Damianos Yiannopoulos,377705560,Unpredictable,,35.89,1 시즌 3 주 5 일,7440,6,9,8,5,13,FALSE,1,9,12,11,4,3,14,1180,2018-09-19,7,W,4308000,93,4.49,10.3,10.35,10.67,10.69,7.53,8.15,7.59,0,IMtw,10.94
64,Hanguk,Koo-Joong Kim,435928762,,,19.1,1 시즌 2 주 6 일,4360,3,2,8,7,20,TRUE,1,9,4,3,2,2,3,976,2018-09-19,5.5,CD,1130000,3,5,8.25,8.64,6.15,5.96,4.44,4.6,4.36,0,CDtw,8.79
67,Hanguk,Hae-Won Kim,437472967,,Y×1,19.21,7 주 6 일,3660,3,1,7,6,20,TRUE,1,9,3,3,6,5,3,901,2018-09-19,4,WB,670000,0,4.25,7.04,7.27,5.18,4.92,5.14,5.16,5.08,0,WBd,7.57
68,Sverige,Elmin Polovina,436113582,,,18.7,4 주 4 일,4540,2,2,7,5,6,FALSE,1,7,7,6,6,5,3,704,2018-09-19,3.5,CD,564000,0,2.8,6.15,6.3,6.06,6.16,5.39,5.65,5.32,0,CD,6.3
69,Hanguk,Seung-Chul Ki,437963734,Unpredictable,,17.55,2 주 3 일,930,6,1,6,5,5,FALSE,1,4,6,2,6,2,2,702,2018-09-19,2,CD,350000,0,1.66,3.43,3.98,4.01,4.66,3.25,4.06,2.89,0,IMo,4.71
97,Hanguk,Hyung-Joo Rho,438133066,,,18.9,6 일,160,4,1,6,5,20,TRUE,1,4,3,4,4,3,4,434,,,,250000,0,2.58,4.03,3.92,3.82,3.61,3.66,3.73,3.75,0,WBd,4.09
99,Hanguk,In-Guh Park,429263805,,,44.34,3 시즌 9 주 6 일,0,3,6,4,1,20,TRUE,0,0,0,0,0,0,0,440,,,,250000,0,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,0,KP,1.13
