Number,Nat,Player,PlayerID,Sp,Stat,Age,Since,TSI,LS,XP,Fo,Stm,StmPr,Lo,MB,KP,DF,PM,WI,PS,SC,SP,Psico,Last,Rt,Pos,Wage,G,,TC,PH,KP,WB,CD,W,IM,FW,BPo,BPoV
1,Hanguk,Jee-Seung Oh,427619233,,,21.94,9주 6일,5660,4,3,7,6,6.60,20,True,8,3,1,1,1,1,6,812,2017-07-12,4,KP,990000,0,,,,7.88,3.89,3.97,3.17,3.06,2.84,KP,7.88
2,Hanguk,Jee-Hoon Kim,428709461,,,18.103,1주 6일,1610,3,1,6,5,5.31,20,True,6,5,1,1,1,2,2,605,2017-07-09,3,KP,670000,0,,,,5.64,3.76,3.9,2.52,2.35,2.28,KP,5.64
3,Hanguk,Eun-Seok Hong,427619235,,,29.16,9주 6일,450,5,4,5,6,6.73,20,True,1,6,6,3,2,2,4,621,2017-07-12,3.5,CD,300000,1,,,,3.67,5.98,6.42,5.65,6.01,4.36,CD,6.42
4,Hanguk,Ji-Woon Lee,427619236,,,19.32,9주 6일,960,5,2,5,6,6.93,20,True,1,7,4,3,5,2,5,727,2017-06-28,3.5,CD,390000,2,,,,3.62,5.81,6.06,4.94,4.9,3.99,CDtw,6.11
5,Hanguk,Jang-Soo Choi,427619237,빠름,,30.78,9주 6일,160,5,5,3,6,6.42,20,True,1,6,4,4,2,1,7,606,2017-06-22,2,CD,280000,0,,,,2.85,4.44,4.49,3.87,3.72,2.85,WBd,4.56
6,Hanguk,Jae-Shin Cha,427619238,,Y×1,27.13,9주 6일,1050,5,4,5,6,6.82,20,True,1,7,3,6,3,2,6,786,2017-07-12,4,WB,390000,3,,,,3.92,6.36,6.05,5.17,4.45,4.09,WBd,6.6
7,Hanguk,In-Moo Byon,427619239,,,32.1,9주 6일,390,1,5,4,6,6.37,20,True,2,6,5,5,5,3,6,597,2017-07-09,2.5,CD,300000,2,,,,3.8,5.44,5.47,5.17,5.07,4.48,WBd,5.51
8,Hanguk,Hong-Chan Son,427619240,,Y×1,21.73,9주 6일,1080,5,3,6,7,7.11,20,True,1,5,6,5,5,1,4,627,2017-07-12,3.5,WB,310000,0,,,,3.69,6.34,6.46,6.58,6.65,4.97,IMtw,6.73
9,Hanguk,Hoi-Taek Park,427619241,예측할 수 없음,Y×1,19.80,9주 6일,940,2,2,5,5,5.58,20,True,1,5,6,3,6,3,6,662,2017-07-09,3.5,IM,330000,1,,,,2.95,4.91,5.29,5.16,5.58,4.57,IMo,5.59
10,Hanguk,Kwang-Eul Jeon,427619242,,,23.79,9주 6일,1450,4,3,6,7,6.94,20,True,1,6,7,3,3,2,5,751,2017-07-12,4.5,IM,430000,2,,,,3.92,6.66,7.28,6.62,7.21,5.06,Cdo,7.44
11,Hanguk,Kwang-Hwan Yun,427619243,,,26.46,9주 6일,670,6,3,4,6,6.70,20,True,2,5,6,3,5,2,6,673,2017-07-09,3,IM,330000,2,,,,3.45,4.82,5.18,4.99,5.36,4.1,IMd,5.39
12,Hanguk,Chan-Myung Lee,427619244,,,25.55,9주 6일,1000,3,4,6,7,7.17,20,True,1,3,7,3,4,3,4,754,2017-07-12,4.5,IM,410000,1,,,,3.35,5.37,5.88,6.43,7.24,5.75,IMo,7.27
13,Hanguk,Sung-Kook Han,427619245,공 마술사,,21.43,9주 6일,1370,2,3,6,7,6.96,20,True,1,5,6,6,5,2,5,622,2017-07-12,4,W,330000,7,,,,3.67,6.46,6.43,6.72,6.65,5.4,IMtw,6.78
14,Hanguk,Se-Jong Cho,427619246,,,28.43,9주 6일,770,4,4,5,6,6.56,20,True,1,5,5,6,3,4,4,621,2017-07-09,3,WB,290000,7,,,,3.42,5.75,5.61,5.62,5.43,5.13,WBo,5.78
15,Hanguk,Man-Ok Lee,427619247,예측할 수 없음,Y×1,22.96,9주 6일,2110,5,3,7,7,7.23,20,True,1,5,5,7,6,2,4,741,2017-07-09,4.5,W,350000,4,,,,4,7.01,6.65,7.13,6.63,5.87,Wo,7.33
16,Hanguk,Dong-Shik Kim,427619248,,,18.90,9주 6일,1210,6,2,5,6,6.33,20,True,1,3,3,6,4,7,6,766,2017-07-12,4.5,FW,410000,10,,,,2.64,4.16,3.72,4.27,3.91,5.38,FWtw,5.62
17,Hanguk,Seung-Mee Kim,427619249,예측할 수 없음,,34.29,9주 6일,90,2,6,7,5,5.65,20,True,1,2,4,4,4,7,5,680,2017-07-12,5,FW,300000,9,,,,3.3,4.63,4.56,5.32,5.53,6.7,FW,6.7
18,Hanguk,Kwang-Rae Kim,427619250,헤딩,Y×1,26.50,9주 6일,1020,3,3,5,7,–,20,True,1,2,5,3,6,6,2,635,2017-07-12,4.5,FW,310000,6,,,,2.68,3.93,4.13,4.91,5.42,5.85,FWd,5.89
19,Hanguk,Joo-Po Lee,428801949,,,17.43,6일,0,5,1,6,5,–,20,True,1,2,2,3,1,1,3,290,,,,250000,0,,,,2.14,2.83,2.68,2.77,2.58,2.33,WBo,2.85
20,Brasil,Jader da Matta,427827635,,Y×1,32.7,4주 5일,590,4,6,4,6,6.42,6,False,2,6,6,5,6,2,5,593,2017-07-09,3,WB,384000,0,,,,3.03,4.84,4.97,4.83,4.87,3.76,CD,4.97
21,Belgium,Jitse Haes,428112207,,,31.48,4주 5일,870,4,5,5,6,6.47,7,False,2,6,6,5,6,2,5,599,2017-07-09,2.5,CD,384000,2,,,,3.37,5.39,5.54,5.38,5.42,4.18,CD,5.54
22,Nederland,Keith Esser,428060480,빠름,,31.65,4주 5일,890,5,6,5,6,6.69,7,False,2,6,5,6,6,3,6,596,2017-07-09,3,W,372000,0,,,,3.48,5.5,5.39,5.28,5.01,4.49,WBd,5.55
23,Belgium,Mathias Piron,428125893,공 마술사,,32.17,4주 5일,520,6,5,4,6,6.40,7,False,2,6,6,6,6,3,6,590,2017-07-12,3,W,372000,1,,,,3,4.93,4.93,4.93,4.85,4.08,CD,4.93
24,Canada,Philippe Morel,425173438,예측할 수 없음,TL,33.31,4주 5일,250,5,5,4,5,5.70,6,False,2,6,5,5,6,2,6,591,2017-07-12,2.5,CD,360000,2,,,,2.67,4.26,4.29,4.06,3.94,3.17,CDtw,4.32
25,Polska,Pylyp Nagorniak,406205227,,Y×1,26.90,4주 5일,1550,5,2,5,5,–,7,False,1,6,7,3,6,3,6,716,2017-07-09,3.5,IM,444000,1,,,,2.21,4.46,4.97,4.62,5.15,3.79,IMd,5.17
26,Türkiye,Türker Arkan,425734621,,Y×1,32.107,4주 5일,1110,1,6,7,6,6.01,6,False,2,6,7,5,6,2,6,680,2017-07-12,4.5,IM,420000,10,,,,3.92,6.45,6.75,6.69,6.95,5.12,IMd,6.99
27,Hanguk,Soo-Kwon Hong,428883307,헤딩,,17.31,0일,10,3,1,6,5,–,20,True,1,2,1,3,3,3,3,293,,,,250000,0,,,,2.14,2.65,2.39,2.52,2.21,2.98,FWtw,3.13
29,Hanguk,Won-Joon Kim,428342261,,,17.91,3주 0일,220,4,1,5,5,–,20,True,1,2,4,5,2,5,4,568,,,,270000,0,,,,1.95,3.18,2.98,3.61,3.58,4,FWtw,4.1
99,Hanguk,Je-Min Jung,427619232,,,40.106,9주 6일,0,4,8,3,2,–,20,True,0,0,0,0,0,0,2,340,,,,250000,0,,,,1.14,1.14,1.14,1.14,1.14,1.14,KP,1.14
