Number,Nat,Player,PlayerID,Special,Stat,Age,Since,TSI,LS,XP,Fo,Stm,Lo,MB,KP,DF,PM,WI,PS,SC,SP,Psico,Last,Rt,Pos,Wage,G,TC,PH,KPPos,WBPos,CDPos,WPos,IMPos,FWPos
1,Hanguk,Jong-Kyung Ji,429263806,Head,,24.41,2시즌 12주 0일,2500,2,4,7,8,20,TRUE,6,4,1,1,1,1,5,660,2018-06-17,4.5,KP,990000,0,,,7.39,4.82,4.95,3.68,3.5,3.16
2,Hanguk,Soon Jung,429263807,,,30.18,2시즌 12주 0일,110,7,6,5,6,20,TRUE,5,6,1,1,3,1,3,602,2018-06-13,3,KP,680000,0,,,6.09,5,5.17,3.6,3.36,3
7,Hanguk,Ang-Ri Choi,429263812,Powerful 있음,,34.40,2시즌 12주 0일,180,2,6,7,5,20,TRUE,2,7,5,5,5,2,5,680,2018-06-13,5,W,310000,16,,,5.27,7.65,7.73,6.96,6.74,5.54
9,Hanguk,Seung-Min Lee,429263815,Quick,,22.9,2시즌 12주 0일,8750,3,3,8,8,20,TRUE,1,9,6,3,6,2,6,982,2018-06-17,5.5,IM,1330000,0,,,5.38,9.18,9.88,7.95,8.23,6.04
10,Hanguk,Jung-Jae Lee,429263816,Unpredictable,,26.83,2시즌 12주 0일,4820,4,4,7,7,20,TRUE,1,9,7,2,3,2,4,906,2018-06-13,5.5,IM,770000,4,,,5.31,8.98,9.97,7.8,8.47,5.65
11,Hanguk,Ryung-Tae Kim,429263818,,Y×1,28.37,2시즌 12주 0일,2630,2,4,7,7,20,TRUE,2,8,6,3,5,3,5,803,2018-06-17,5.5,IM,530000,7,,,5.62,8.27,8.89,7.4,7.75,6.08
12,Hanguk,Jung-Eum Yun,429263819,Powerful 있음,,27.34,2시즌 12주 0일,1340,5,4,7,7,20,TRUE,1,5,7,3,5,3,4,706,2018-06-17,5,IM,410000,6,,,4.19,6.93,7.57,7.44,8.19,6.42
13,Hanguk,Hong-Woon Kim,429263820,Technical,Y×1,23.49,2시즌 12주 0일,8950,2,4,7,8,20,TRUE,1,9,6,6,5,3,4,988,2018-06-17,6,W,1110000,3,,,5.37,9.6,9.73,8.37,8.08,6.6
15,Hanguk,Bong-Joo Kim,429263823,,,24.95,2시즌 12주 0일,12170,4,4,8,8,20,TRUE,1,9,6,7,6,2,4,1009,2018-06-17,7,W,810000,5,,,5.56,10.12,10.06,8.96,8.41,6.7
16,Hanguk,Kil-Sung Park,429263824,,,21.45,2시즌 12주 0일,1800,5,2,7,8,20,TRUE,1,4,3,5,4,7,6,765,2018-06-13,5.5,FW,410000,14,,,3.6,5.6,5.27,5.34,5.03,6.65
