Number,Nat,Player,PlayerID,Special,Stat,Age,Since,TSI,LS,XP,Fo,Stm,Lo,MB,KP,DF,PM,WI,PS,SC,SP,Psico,Last,Rt,Pos,Wage,G,KPPos,WBdPos,WBPos,WBtmPos,WBoPos,CDPos,CDtwPos,CDoPos,WdPos,WPos,WtmPos,WoPos,IMdPos,IMPos,IMtwPos,IMoPos,FWPos,FWdPos,FWtwPos,TDFPos,BPo,BPoV
1,Hanguk,Jong-Kyung Ji,429263806,Head,,27.49,5 s 13 wk 4 d,2490,2,5,7,7,20,TRUE,6,6,1,1,1,1,5,660,2019-05-26,4.5,KP,1010000,0,7.96,6.44,5.97,6.05,5.48,6.17,6.4,5.28,4.8,4.09,4.01,3.91,4.09,3.79,3.81,3.48,3.24,3.24,3.24,0,KP,7.96
7,Hanguk,Ang-Ri Choi,429263812,Powerful,,37.48,5 s 13 wk 4 d,20,2,6,7,4,20,TRUE,1,6,3,2,3,0,5,590,2019-05-29,4,W,250000,18,4.07,6.05,5.78,5.89,5.5,6.04,6.08,5.58,5.17,4.79,4.78,4.62,4.9,4.71,4.73,4.51,3.41,3.93,3.33,0,CDtw,6.08
10,Hanguk,Jung-Jae Lee,429263816,Unpredictable,,29.91,5 s 13 wk 4 d,4780,4,5,6,7,20,TRUE,1,9,7,2,3,2,4,911,2019-05-29,5,IM,1060000,6,4.94,8.6,8.27,8.66,7.97,9.18,8.88,8.85,7.58,7.2,7.41,6.61,8.13,7.81,7.59,7.45,5.24,5.86,4.81,0,CD,9.18
12,Hanguk,Jung-Eum Yun,429263819,Powerful,,30.42,5 s 13 wk 4 d,950,5,5,7,6,20,TRUE,1,5,7,3,5,3,4,700,2019-05-26,5.5,IM,380000,20,4.25,6.9,6.96,7.23,7.04,7.59,7.17,7.94,7.26,7.46,7.67,7.12,8.22,8.2,7.99,8.17,6.45,7.13,6.06,0,IMd,8.22
13,Hanguk,Hong-Woon Kim,429263820,Technical,Y×1,26.57,5 s 13 wk 4 d,12590,2,5,7,7,20,TRUE,1,10,6,6,5,3,4,1085,2019-05-26,6.5,W,1930000,13,5.73,10.59,10.21,10.28,9.82,10.37,10.56,9.66,9.2,8.61,8.56,8.43,8.58,8.25,8.38,7.91,6.68,0,6.72,7.1,WBd,10.59
15,Hanguk,Bong-Joo Kim,429263823,,,27.103,5 s 13 wk 4 d,15320,4,5,7,7,20,TRUE,1,10,6,7,6,2,4,1105,2019-05-26,6.5,W,1790000,26,5.69,10.65,10.3,10.29,9.94,10.29,10.55,9.58,9.38,8.82,8.72,8.76,8.54,8.24,8.49,7.93,6.5,7.18,6.65,0,WBd,10.65
16,Hanguk,Kil-Sung Park,429263824,,Y×1,24.53,5 s 13 wk 4 d,2560,5,3,7,8,20,TRUE,1,6,3,5,4,7,6,753,2019-05-29,6,FW,410000,32,4.4,7.18,6.96,6.85,6.72,6.71,7.02,6.17,6.33,5.94,5.79,6.04,5.59,5.5,5.54,5.43,6.9,6.18,7.09,0,WBd,7.18
18,Hanguk,Min-Ho Ji,429263827,Unpredictable,,31.17,5 s 13 wk 4 d,690,2,6,7,6,20,TRUE,1,5,4,3,6,6,3,602,2019-05-26,5.5,FW,290000,43,4.13,6.21,6.09,6.17,5.97,6.29,6.26,6.13,6,5.88,5.87,5.83,6.04,6.09,5.93,6.15,6.65,6.6,6.51,0,FW,6.65
31,Česká republika,,397610518,Head,,32.111,5 s 4 wk 3 d,7570,3,8,8,6,20,FALSE,1,10,9,1,8,4,4,980,2019-05-29,7,IM,1500000,52,5.39,9.86,9.51,10.14,9.19,10.98,10.36,10.8,9.19,8.92,9.22,8.17,10.41,10.24,9.71,10.05,7.42,8.62,6.57,0,CD,10.98
43,Hanguk,Ji-Soo Kim,433466579,Technical,,22.66,4 s 10 wk 3 d,11060,3,3,4,8,20,TRUE,1,12,4,4,3,3,3,1201,2019-05-29,4.5,W,3810000,3,4.59,8.4,7.82,7.92,7.22,8.07,8.35,6.98,6.33,5.44,5.35,5.19,5.45,5.04,5.09,4.6,4.04,0,4.06,4.06,WBd,8.4
59,Hanguk,Hyung-Hwa Jung,435660098,,Y×1,21.46,3 s 9 wk 4 d,21190,5,3,7,8,20,TRUE,1,12,4,3,5,2,6,1247,2019-05-26,5.5,CD,3890000,18,6.06,10.95,10.14,10.36,9.33,10.66,10.94,9.22,8.32,7.16,7.05,6.81,7.28,6.8,6.81,6.31,5.13,5.7,5.02,0,WBd,10.95
60,Hanguk,Chu-Seok Ahn,435761718,,,21.33,3 s 8 wk 3 d,1030,3,1,5,7,20,TRUE,1,5,5,3,3,7,5,702,2019-05-29,4,FW,370000,8,2.86,4.84,4.79,4.92,4.74,5.09,4.95,5.09,4.67,4.62,4.71,4.41,5.04,5,4.8,4.95,5.29,4.86,5.11,0,FW,5.29
61,Schweiz,Francois Baumgartner,434542904,,,21.13,3 s 8 wk 2 d,20840,5,3,7,8,20,FALSE,1,10,7,6,7,6,3,1018,2019-05-29,6,IM,2724000,10,5,10.03,9.71,9.84,9.39,10.02,10.07,9.48,9,8.56,8.54,8.36,8.73,8.54,8.49,8.33,7.73,7.97,7.62,0,CDtw,10.07
63,Hellas,Damianos Yiannopoulos,377705560,Unpredictable,,38.0,3 s 7 wk 3 d,1900,6,9,7,4,20,FALSE,0,8,10,9,2,0,13,980,2019-05-29,5,W,600000,95,3.6,8.44,8.57,8.61,8.71,8.65,8.51,8.95,8.49,8.6,8.78,8.35,8.82,8.54,8.79,8.18,5.27,5.98,5.33,0,Cdo,8.95
64,Hanguk,Koo-Joong Kim,435928762,,Y×1,21.24,3 s 6 wk 4 d,29460,3,2,7,8,20,TRUE,1,13,4,3,2,2,3,1304,2019-05-29,7,WB,6930000,3,6.12,11.38,10.47,10.71,9.56,11.03,11.36,9.41,8.2,6.85,6.77,6.35,7.07,6.41,6.43,5.71,4.44,4.61,4.37,0,WBd,11.38
67,Hanguk,Hae-Won Kim,437472967,,,21.44,2 s 11 wk 3 d,27010,3,2,7,8,20,TRUE,1,12,3,3,6,5,3,1296,2019-05-26,6.5,WB,4970000,5,5.84,10.57,9.69,9.85,8.81,10.07,10.49,8.45,7.78,6.53,6.33,6.3,6.47,6.06,6,5.68,5.97,5.99,5.91,0,WBd,10.57
68,Sverige,Elmin Polovina,436113582,,,20.30,2 s 8 wk 1 d,25830,2,2,6,7,18,FALSE,1,12,7,6,6,5,3,1201,2019-05-29,6,CD,4212000,1,4.79,10.08,9.6,9.76,9.13,9.96,10.1,9.14,8.46,7.77,7.75,7.49,7.95,7.61,7.61,7.24,6.28,6.55,6.2,0,CDtw,10.1
