Number,Nat,Player,PlayerID,Special,Stat,Age,Since,TSI,LS,XP,Fo,Stm,Lo,FALSE,KP,DF,PM,WI,PS,SC,SP,Psico,Last,Rt,Pos,Wage,G,KPPos,WBPos,CDPos,WPos,IMPos,FWPos,FWdPos,FWtwPos,TDFPos,BPo,BPoV
2,Hanguk,Jee-Hoon Kim,428709461,,,22.91,4 시즌 0 주 1 일,48910,3,2,6,8,20,TRUE,14,5,1,1,1,2,8,1480,2018-09-19,6.5,KP,11930000,0,11.77,4.61,4.77,3.21,3.01,2.93,2.76,2.93,0,KP,11.77
4,Hanguk,Ji-Woon Lee,427619236,,,23.20,4 시즌 8 주 1 일,1170,5,3,6,8,20,TRUE,1,7,4,3,5,2,7,719,2018-09-19,4,CD,390000,26,4.31,6.79,7.08,5.81,5.76,4.73,5.25,4.63,0,CDtw,7.13
6,Hanguk,Jae-Shin Cha,427619238,,Y×2,31.1,4 시즌 8 주 1 일,560,5,6,6,6,20,TRUE,1,7,3,6,3,1,10,704,2018-09-16,4,WB,350000,23,4.46,7.13,6.79,5.83,5.02,4.3,4.48,4.62,0,WBd,7.38
8,Hanguk,Hong-Chan Son,427619240,,,25.61,4 시즌 8 주 1 일,1170,5,4,7,7,20,TRUE,1,5,6,5,5,1,8,632,2018-09-23,4.5,W,310000,4,4.23,7.14,7.28,7.41,7.49,5.64,6.49,5.58,0,IMtw,7.58
10,Hanguk,Kwang-Eul Jeon,427619242,,Y×1,27.67,4 시즌 8 주 1 일,1440,4,5,6,7,20,TRUE,1,6,7,3,3,2,9,750,2018-09-23,4.5,IM,430000,16,4.22,7,7.63,6.96,7.56,5.39,5.95,5.05,0,Cdo,7.79
11,Hanguk,Kwang-Hwan Yun,427619243,,,30.34,4 시즌 8 주 1 일,540,6,5,7,6,20,TRUE,2,5,6,2,5,2,9,612,2018-09-09,4,W,310000,14,4.87,6.5,7.17,6.72,7.41,5.62,6.42,5.22,0,IMd,7.44
12,Hanguk,Chan-Myung Lee,427619244,,Y×2,29.43,4 시즌 8 주 1 일,790,3,5,8,6,20,TRUE,1,3,7,3,4,3,8,726,2018-09-23,5,IM,390000,9,3.83,6.06,6.63,7.24,8.13,6.49,7.06,6.1,0,IMo,8.17
13,Hanguk,Sung-Kook Han,427619245,Technical,Inj 1,25.31,4 시즌 8 주 1 일,940,2,4,5,7,20,TRUE,1,5,6,6,5,2,9,608,2018-09-23,4,W,330000,24,3.6,6.23,6.2,6.48,6.4,5.23,0,5.27,5.76,IMtw,6.53
14,Hanguk,Se-Jong Cho,427619246,,,32.31,4 시즌 8 주 1 일,250,4,6,6,6,20,TRUE,1,5,5,6,3,3,8,590,2018-09-19,3.5,WB,270000,22,3.89,6.41,6.25,6.27,6.03,5.4,5.45,5.54,0,WBo,6.44
15,Hanguk,Man-Ok Lee,427619247,Unpredictable,Y×1,26.84,4 시즌 8 주 1 일,2010,5,4,6,7,20,TRUE,1,5,5,7,6,2,9,755,2018-09-19,4.5,W,350000,13,3.9,6.72,6.38,6.83,6.37,5.66,6.19,5.88,0,Wo,7.03
16,Hanguk,Dong-Shik Kim,427619248,,Y×1,22.78,4 시즌 8 주 1 일,1420,6,3,5,7,20,TRUE,1,3,3,6,4,7,10,776,2018-09-23,5,FW,410000,36,2.99,4.6,4.14,4.72,4.34,5.9,5.24,6.15,0,FWtw,6.15
25,Polska,Pylyp Nagorniak,406205227,,,30.78,4 시즌 3 주 1 일,1270,5,3,7,6,20,FALSE,1,6,6,3,6,3,9,613,2018-09-19,4.5,IM,420000,12,3.71,6.42,6.94,6.37,6.84,5.48,6.17,5.17,0,CD,6.94
31,Hanguk,Se-Hee Park,430626797,,Inj 1,22.13,3 시즌 7 주 1 일,950,4,2,7,8,20,TRUE,1,2,5,5,3,7,8,697,2018-09-19,4.5,FW,390000,26,3.04,4.92,4.79,5.88,6.12,7.05,6.41,7.06,0,FWtw,7.06
34,Sverige,Axel Hermansson,422526443,,,31.100,3 시즌 5 주 0 일,900,5,5,5,6,20,FALSE,2,6,6,2,6,2,9,614,2018-09-23,4,IM,456000,18,3.86,5.44,6.02,5.38,5.91,4.39,5.16,4.05,0,CD,6.02
38,Latvija,Artem Skurlatov,409641598,,,29.106,3 시즌 1 주 4 일,1830,5,5,5,6,20,FALSE,1,8,6,3,4,3,4,803,2018-09-23,4,CD,684000,9,3.86,6.63,7.15,5.83,6.12,4.68,5.05,4.43,0,CD,7.15
40,Perú,Matías Pichis,416567166,,,25.56,3 시즌 1 주 0 일,8470,6,2,5,7,20,FALSE,1,10,8,2,4,4,6,1001,2018-09-23,4.5,CD,1764000,5,4.02,7.55,8.55,6.53,7.3,5.11,5.57,4.6,0,CD,8.55
48,Hanguk,Dong-Suk Lee,432205385,Technical,,21.27,2 시즌 11 주 0 일,1010,6,2,5,7,20,TRUE,1,5,4,5,6,5,4,615,2018-09-23,3.5,FW,290000,14,3.24,5.33,5.21,5.18,5,5.41,0,5.47,5.47,TDF,5.47
52,Hanguk,Seong-Gong Choi,433454317,Unpredictable,,19.107,2 시즌 7 주 2 일,5680,4,2,7,7,20,TRUE,1,7,7,7,4,5,4,794,2018-09-23,5,WB,550000,14,4.32,8.3,8.3,8.04,7.96,7.07,7.05,7.13,0,CD,8.3
55,Hanguk,Geun-Ho Han,433728993,,Y×2,20.109,2 시즌 4 주 2 일,2080,3,2,6,7,20,TRUE,1,5,6,4,3,7,3,722,2018-09-23,4.5,FW,410000,10,3.54,6.05,6.35,6.13,6.57,6.61,6.18,6.43,0,IMd,6.61
61,Oceania,Cedrick Williamson,430364099,Powerful,,20.60,1 시즌 15 주 0 일,6760,3,3,8,7,16,FALSE,1,8,5,7,7,2,4,880,2018-09-23,4,WB,708000,2,4.26,8.19,7.94,7.26,6.57,5.52,6.23,5.75,0,WBd,8.41
65,Hanguk,Sang-Hyun Yun,434942107,,,19.23,1 시즌 10 주 2 일,2800,3,1,6,6,20,TRUE,1,6,5,4,7,4,2,797,2018-09-23,4,W,390000,2,3.22,5.61,5.81,5.43,5.52,5.13,5.56,5.01,0,CD,5.81
70,Hanguk,Min-Gyu Jung,429263814,,,24.101,1 시즌 5 주 6 일,5460,1,4,6,7,13,FALSE,1,9,6,4,4,2,5,953,2018-09-16,4.5,CD,1030000,2,4.2,7.77,8.22,6.52,6.58,4.61,5.16,4.45,0,CD,8.22
72,Hanguk,Gyeong-Ryeol Kim,435840503,,,19.37,1 시즌 4 주 2 일,1800,3,1,6,6,20,TRUE,1,7,6,4,4,3,5,755,2018-09-19,4,CD,390000,0,3.45,6.27,6.62,5.77,5.96,4.64,4.99,4.49,0,CD,6.62
76,Hanguk,Nam-Han Kim,436538053,,,18.43,15 주 2 일,8060,5,1,7,6,20,TRUE,8,4,1,1,1,1,5,890,2018-09-23,4.5,KP,1530000,0,7.51,3.81,3.93,2.74,2.57,2.25,2.25,2.25,0,KP,7.51
78,Hanguk,Jung-Oh Han,433730490,Technical,,21.18,3 주 6 일,4660,4,2,7,7,6,FALSE,1,9,3,5,1,3,3,965,2018-09-19,4.5,WB,1270000,4,3.77,7.12,7.01,4.72,3.95,3.4,0,3.65,2.96,WBd,7.63
79,España,Jimeno Eguiruren,415605434,,Y×1,25.74,1 주 2 일,23210,5,5,6,7,4,FALSE,1,8,11,3,9,2,3,1092,2018-09-12,5,IM,4068000,19,3.52,7.55,8.76,8.3,9.6,6.05,7.71,5.31,0,IMd,9.62
98,Hanguk,Hong-Do Mang,438511466,Unpredictable,TL,17.57,1 일,600,3,1,6,5,20,TRUE,1,3,2,3,3,7,3,742,,,,410000,0,1.21,2.12,2.01,1.9,1.84,3.33,2.65,3.38,0,FWtw,3.38
99,Danmark,Torben Boesen,321795066,Head,,41.11,2 주 1 일,120,5,13,4,2,5,FALSE,0,9,0,3,0,0,0,884,2018-06-06,4,WB,396000,79,2.11,3.67,3.58,1.94,1.35,1.01,0.93,1.19,0,WBd,4.07
