Number,Nat,Player,PlayerID,Special,Stat,Age,Since,TSI,LS,XP,Fo,Stm,Lo,MB,KP,DF,PM,WI,PS,SC,SP,Psico,Last,Rt,Pos,Wage,G,KPPos,WBdPos,WBPos,WBtmPos,WBoPos,CDPos,CDtwPos,CDoPos,WdPos,WPos,WtmPos,WoPos,IMdPos,IMPos,IMtwPos,IMoPos,FWPos,FWdPos,FWtwPos,TDFPos,BPo,BPoV
1,Hanguk,Jong-Kyung Ji,429263806,Head,,27.62,5 s 15 wk 0 d,2500,2,5,8,7,20,TRUE,6,6,1,1,1,1,5,647,2019-06-05,4.5,KP,1010000,0,8.23,6.66,6.17,6.26,5.67,6.38,6.62,5.46,4.97,4.23,4.15,4.04,4.23,3.92,3.94,3.6,3.35,3.35,3.35,0,KP,8.23
7,Hanguk,Ang-Ri Choi,429263812,Powerful,,37.61,5 s 15 wk 0 d,20,2,6,8,4,20,TRUE,1,6,3,2,3,0,5,590,2019-06-09,4,W,250000,19,4.21,6.26,5.97,6.09,5.69,6.25,6.29,5.77,5.35,4.95,4.94,4.78,5.07,4.87,4.9,4.66,3.52,4.07,3.44,0,CDtw,6.29
10,Hanguk,Jung-Jae Lee,429263816,Unpredictable,,29.104,5 s 15 wk 0 d,5320,4,5,8,6,20,TRUE,1,9,7,2,3,2,4,937,2019-06-09,6,IM,1060000,7,5.51,9.59,9.22,9.66,8.89,10.23,9.9,9.87,8.45,8.02,8.26,7.37,9.06,8.71,8.46,8.3,5.85,6.53,5.36,0,CD,10.23
12,Hanguk,Jung-Eum Yun,429263819,Powerful,,30.55,5 s 15 wk 0 d,980,5,5,7,6,20,TRUE,1,5,7,3,5,3,4,701,2019-06-05,5.5,IM,380000,20,4.25,6.9,6.96,7.23,7.04,7.59,7.17,7.94,7.26,7.46,7.67,7.12,8.22,8.2,7.99,8.17,6.45,7.13,6.06,0,IMd,8.22
13,Hanguk,Hong-Woon Kim,429263820,Technical,Y×1,26.70,5 s 15 wk 0 d,13310,2,5,7,7,20,TRUE,1,10,6,6,5,3,4,1098,2019-06-05,6,W,1930000,13,5.73,10.59,10.21,10.28,9.82,10.37,10.56,9.66,9.2,8.61,8.56,8.43,8.58,8.25,8.38,7.91,6.68,0,6.72,7.1,WBd,10.59
15,Hanguk,Bong-Joo Kim,429263823,,,28.4,5 s 15 wk 0 d,12770,4,5,6,7,20,TRUE,1,10,6,7,6,2,4,1070,2019-06-05,6.5,W,2110000,26,5.27,9.88,9.56,9.55,9.23,9.54,9.79,8.88,8.7,8.18,8.09,8.13,7.92,7.64,7.87,7.35,6.03,6.66,6.17,0,WBd,9.88
16,Hanguk,Kil-Sung Park,429263824,,Y×1,24.66,5 s 15 wk 0 d,2680,5,4,7,8,20,TRUE,1,6,3,5,4,7,6,763,2019-06-09,6,FW,410000,34,4.55,7.34,7.12,7.01,6.88,6.87,7.18,6.33,6.49,6.1,5.95,6.2,5.75,5.66,5.7,5.59,7.06,6.34,7.25,0,WBd,7.34
18,Hanguk,Min-Ho Ji,429263827,Unpredictable,,31.30,5 s 15 wk 0 d,700,2,6,7,6,20,TRUE,1,5,4,3,6,6,3,602,2019-06-05,5.5,FW,290000,43,4.13,6.21,6.09,6.17,5.97,6.29,6.26,6.13,6,5.88,5.87,5.83,6.04,6.09,5.93,6.15,6.65,6.6,6.51,0,FW,6.65
31,Česká republika,,397610518,Head,,33.12,5 s 6 wk 0 d,4880,3,8,7,6,20,FALSE,1,10,9,1,8,4,4,980,2019-06-09,7,IM,1332000,52,5.21,9.54,9.19,9.81,8.89,10.61,10.02,10.44,8.89,8.63,8.92,7.9,10.06,9.9,9.39,9.72,7.17,8.34,6.35,0,CD,10.61
43,Hanguk,Ji-Soo Kim,433466579,Technical,,22.79,4 s 12 wk 0 d,13990,3,3,6,8,20,TRUE,1,12,4,4,3,3,3,1202,2019-06-09,5,W,3810000,3,5.62,10.3,9.58,9.71,8.85,9.89,10.23,8.55,7.76,6.67,6.56,6.36,6.68,6.17,6.24,5.64,4.95,0,4.97,4.98,WBd,10.3
