Number,Nat,Player,PlayerID,Special,Stat,Age,Since,TSI,LS,XP,Fo,Stm,Lo,FALSE,KP,DF,PM,WI,PS,SC,SP,Psico,Last,Rt,Pos,Wage,G,KPPos,WBdPos,WBPos,WBtmPos,WBoPos,CDPos,CDtwPos,CDoPos,WPos,IMPos,FWPos,FWdPos,FWtwPos,TDFPos,BPo,BPoV
1,Hanguk,Jong-Kyung Ji,429263806,Head,,25.61,3 시즌 14 주 6 일,2400,2,5,7,7,20,TRUE,6,5,1,1,1,1,5,653,2018-10-24,4,KP,990000,0,7.75,5.85,5.47,5.54,5.08,5.63,5.82,4.92,3.95,3.71,3.27,3.27,3.27,0,KP,7.75
2,Hanguk,Soon Jung,429263807,,,31.38,3 시즌 14 주 6 일,150,7,6,7,6,20,TRUE,5,6,1,1,3,1,3,605,2018-10-17,4,KP,630000,0,7.07,6.26,5.81,5.89,5.34,6,6.22,5.15,4.18,3.9,3.49,3.74,3.46,0,KP,7.07
7,Hanguk,Ang-Ri Choi,429263812,Powerful,,35.60,3 시즌 14 주 6 일,100,2,6,8,5,20,TRUE,1,7,4,4,4,1,5,680,2018-10-24,4,W,290000,16,4.8,7.81,7.53,7.58,7.25,7.65,7.78,7.14,6.45,6.17,4.82,5.36,4.85,0,WBd,7.81
9,Hanguk,Seung-Min Lee,429263815,Quick,,23.29,3 시즌 14 주 6 일,10220,3,3,8,8,20,TRUE,1,10,6,3,6,2,6,1016,2018-10-21,6,IM,1550000,4,5.68,10.27,9.77,10.09,9.28,10.51,10.44,9.77,8.14,8.36,6.05,7,5.73,0,CD,10.51
10,Hanguk,Jung-Jae Lee,429263816,Unpredictable,Y×1,27.103,3 시즌 14 주 6 일,5640,4,4,8,7,20,TRUE,1,9,7,2,3,2,4,930,2018-10-24,5.5,IM,870000,4,5.49,9.66,9.29,9.73,8.94,10.32,9.97,9.95,8.06,8.76,5.84,6.54,5.34,0,CD,10.32
11,Hanguk,Ryung-Tae Kim,429263818,,,29.57,3 시즌 14 주 6 일,2260,2,4,6,6,20,TRUE,2,8,6,3,5,3,5,802,2018-10-24,5,IM,570000,9,5.22,7.94,7.67,7.92,7.42,8.25,8.1,7.92,6.86,7.19,5.64,6.18,5.36,0,CD,8.25
12,Hanguk,Jung-Eum Yun,429263819,Powerful,,28.54,3 시즌 14 주 6 일,1220,5,5,7,7,20,TRUE,1,5,7,3,5,3,4,703,2018-10-21,5,IM,410000,14,4.31,6.99,7.05,7.33,7.13,7.69,7.27,8.05,7.56,8.32,6.54,7.23,6.14,0,IMd,8.33
13,Hanguk,Hong-Woon Kim,429263820,Technical,Y×2,24.69,3 시즌 14 주 6 일,10570,2,4,7,8,20,TRUE,1,10,6,6,5,3,4,1029,2018-10-21,6.5,W,1430000,5,5.65,10.54,10.15,10.23,9.76,10.32,10.51,9.6,8.55,8.19,6.6,0,6.64,7.03,WBd,10.54
15,Hanguk,Bong-Joo Kim,429263823,,,26.3,3 시즌 14 주 6 일,13440,4,5,7,7,20,TRUE,1,10,6,7,6,2,4,1075,2018-10-21,7,W,1570000,16,5.74,10.75,10.4,10.39,10.04,10.38,10.65,9.67,8.91,8.32,6.56,7.25,6.71,0,WBd,10.75
16,Hanguk,Kil-Sung Park,429263824,,Y×1,22.65,3 시즌 14 주 6 일,2090,5,3,7,8,20,TRUE,1,5,3,5,4,7,6,758,2018-10-21,6,FW,410000,21,4.1,6.5,6.37,6.25,6.23,6.09,6.35,5.73,5.74,5.36,6.87,6.15,7.06,0,FWtw,7.06
18,Hanguk,Min-Ho Ji,429263827,Unpredictable,,29.29,3 시즌 14 주 6 일,1060,2,6,7,6,20,TRUE,1,4,5,3,6,6,3,611,2018-10-24,5.5,FW,300000,32,4.06,6.03,6.06,6.19,6.1,6.37,6.16,6.54,6.48,6.96,7.25,7.3,7,0,FWd,7.3
31,Česká republika,,397610518,Head,,31.11,3 시즌 5 주 6 일,10760,3,7,7,6,20,FALSE,1,9,9,1,8,4,4,891,2018-10-24,6.5,IM,1632000,42,4.96,9.01,8.75,9.35,8.53,10.15,9.5,10.15,8.54,9.89,7.22,8.41,6.39,0,CD,10.15
43,Hanguk,Ji-Soo Kim,433466579,Technical,,20.78,2 시즌 11 주 6 일,10960,3,2,6,7,20,TRUE,1,11,4,4,3,3,3,1149,2018-10-24,4.5,W,1950000,0,5.11,9.4,8.77,8.89,8.14,9.05,9.34,7.88,6.24,5.81,4.7,0,4.72,4.73,WBd,9.4
59,Hanguk,Hyung-Hwa Jung,435660098,,Y×1,19.58,1 시즌 10 주 6 일,3270,5,2,6,7,20,TRUE,1,9,4,3,5,2,6,908,2018-10-21,4.5,CD,490000,4,4.53,7.93,7.46,7.62,6.99,7.82,7.95,7,5.81,5.65,4.44,4.95,4.34,0,CDtw,7.95
