Number,Nat,Player,PlayerID,Special,Stat,Age,Since,TSI,LS,XP,Fo,Stm,Lo,MB,KP,DF,PM,WI,PS,SC,SP,Psico,Last,Rt,Pos,Wage,G,KPPos,WBdPos,WBPos,WBtmPos,WBoPos,CDPos,CDtwPos,CDoPos,WdPos,WPos,WtmPos,WoPos,IMdPos,IMPos,IMtwPos,IMoPos,FWPos,FWdPos,FWtwPos,TDFPos,BPo,BPoV
1,Hanguk,Jong-Kyung Ji,429263806,Head,,27.89,6 s 4 wk 1 d,2220,2,5,6,7,20,TRUE,6,6,1,1,1,1,5,656,2019-07-10,4.5,KP,1010000,0,7.38,5.98,5.53,5.62,5.09,5.73,5.94,4.9,4.46,3.8,3.72,3.63,3.8,3.51,3.53,3.23,3,3,3,0,KP,7.38
10,Hanguk,Jung-Jae Lee,429263816,Unpredictable,,30.19,6 s 4 wk 1 d,4220,4,5,6,6,20,TRUE,1,10,7,2,3,1,4,993,2019-07-14,5.5,IM,1130000,7,5.19,9.18,8.77,9.18,8.38,9.71,9.45,9.22,7.87,7.35,7.55,6.73,8.26,7.88,7.69,7.44,4.89,5.67,4.46,0,CD,9.71
12,Hanguk,Jung-Eum Yun,429263819,Powerful,,30.82,6 s 4 wk 1 d,990,5,5,8,6,20,TRUE,1,6,7,3,5,3,4,694,2019-07-10,5.5,IM,380000,20,4.67,7.79,7.75,8.05,7.73,8.44,8.06,8.62,7.83,7.88,8.09,7.5,8.67,8.6,8.38,8.49,6.67,7.38,6.27,0,IMd,8.67
13,Hanguk,Hong-Woon Kim,429263820,Technical,,26.97,6 s 4 wk 1 d,14000,2,5,8,7,20,TRUE,1,10,6,6,5,3,4,1105,2019-07-10,7,W,1930000,13,5.93,10.95,10.56,10.63,10.15,10.73,10.92,9.99,9.52,8.9,8.86,8.72,8.87,8.54,8.67,8.18,6.91,0,6.95,7.35,WBd,10.95
15,Hanguk,Bong-Joo Kim,429263823,,Y×1,28.31,6 s 4 wk 1 d,13940,4,6,7,7,20,TRUE,1,10,6,7,6,2,4,1083,2019-07-10,6.5,W,2110000,27,5.79,10.75,10.4,10.39,10.04,10.39,10.65,9.68,9.48,8.92,8.82,8.86,8.64,8.34,8.59,8.03,6.6,7.28,6.75,0,WBd,10.75
16,Hanguk,Kil-Sung Park,429263824,,,24.93,6 s 4 wk 1 d,2640,5,4,7,8,20,TRUE,1,6,3,5,4,7,6,760,2019-07-14,5.5,FW,410000,34,4.55,7.34,7.12,7.01,6.88,6.87,7.18,6.33,6.49,6.1,5.95,6.2,5.75,5.66,5.7,5.59,7.06,6.34,7.25,0,WBd,7.34
18,Hanguk,Min-Ho Ji,429263827,Unpredictable,,31.57,6 s 4 wk 1 d,730,2,7,8,6,20,TRUE,1,5,4,3,6,6,3,602,2019-07-10,5.5,FW,290000,46,4.35,6.5,6.37,6.47,6.25,6.59,6.55,6.42,6.28,6.17,6.15,6.11,6.33,6.38,6.21,6.44,6.96,6.91,6.81,0,FW,6.96
31,Česká republika,,397610518,Head,Y×2,33.39,5 s 11 wk 1 d,4350,3,8,6,6,20,FALSE,1,10,9,1,8,4,4,980,2019-07-14,6.5,IM,1332000,53,4.84,8.85,8.53,9.1,8.25,9.85,9.29,9.69,8.24,8,8.27,7.33,9.34,9.19,8.71,9.02,6.65,7.73,5.89,0,CD,9.85
43,Hanguk,Ji-Soo Kim,433466579,Technical,,22.106,5 s 1 wk 1 d,16110,3,3,7,8,20,TRUE,1,12,4,4,3,3,3,1204,2019-07-14,6,W,3810000,3,6.06,11.1,10.32,10.47,9.54,10.66,11.03,9.22,8.36,7.19,7.07,6.85,7.2,6.65,6.72,6.08,5.34,0,5.36,5.37,WBd,11.1
59,Hanguk,Hyung-Hwa Jung,435660098,,,21.86,4 s 0 wk 1 d,28170,5,3,7,8,20,TRUE,1,13,4,3,5,2,6,1306,2019-07-10,6,CD,3890000,19,6.34,11.6,10.69,10.93,9.78,11.26,11.59,9.63,8.64,7.34,7.21,6.95,7.46,6.92,6.92,6.36,5.13,5.7,5.02,0,WBd,11.6
60,Hanguk,Chu-Seok Ahn,435761718,,,21.73,3 s 15 wk 1 d,1280,3,1,7,7,20,TRUE,1,5,5,3,3,7,5,703,2019-07-10,5,FW,370000,8,3.38,5.71,5.65,5.8,5.59,6,5.84,6,5.5,5.44,5.55,5.21,5.94,5.89,5.66,5.83,6.24,5.73,6.03,0,FW,6.24
61,Schweiz,Francois Baumgartner,434542904,,,21.53,3 s 14 wk 6 d,22480,5,4,8,8,20,FALSE,1,11,7,6,7,6,3,1097,2019-07-14,6,IM,2724000,10,5.62,11.21,10.77,10.93,10.34,11.14,11.24,10.39,9.8,9.19,9.16,8.95,9.37,9.11,9.06,8.83,8.15,8.4,8.04,0,CDtw,11.24
63,Hellas,Damianos Yiannopoulos,377705560,Unpredictable,,38.40,3 s 14 wk 0 d,1340,6,9,7,3,20,FALSE,0,8,10,8,2,0,13,980,2019-07-14,5.5,W,600000,96,3.6,8.32,8.42,8.52,8.53,8.65,8.44,8.95,8.34,8.44,8.64,8.12,8.82,8.54,8.72,8.18,5.17,5.93,5.14,0,Cdo,8.95
64,Hanguk,Koo-Joong Kim,435928762,,,21.64,3 s 13 wk 1 d,34500,3,2,6,8,20,TRUE,1,13,4,3,2,2,3,1354,2019-07-14,6.5,WB,6930000,3,5.67,10.55,9.71,9.93,8.87,10.23,10.54,8.73,7.6,6.35,6.28,5.89,6.56,5.95,5.97,5.3,4.12,4.27,4.05,0,WBd,10.55
68,Sverige,Elmin Polovina,436113582,,,20.70,2 s 14 wk 6 d,36200,2,2,8,8,19,FALSE,1,12,7,6,6,5,3,1233,2019-07-14,7,CD,4212000,2,5.39,11.29,10.76,10.93,10.23,11.16,11.31,10.24,9.48,8.72,8.69,8.4,8.91,8.53,8.53,8.13,7.05,7.35,6.96,0,CDtw,11.31
69,Hanguk,Seung-Chul Ki,437963734,Unpredictable,,20.6,2 s 12 wk 5 d,16160,6,2,6,7,19,FALSE,1,11,6,2,6,2,2,1137,2019-07-10,6,CD,3050000,2,4.58,8.84,8.28,8.65,7.72,9.14,9.04,8.32,7.19,6.48,6.54,5.99,7.13,6.8,6.61,6.45,4.55,5.43,4.15,0,CD,9.14
71,Schweiz,Nathanael Zimmer,436514697,Head,Y×1,20.108,2 s 9 wk 4 d,30660,7,3,8,8,18,FALSE,1,11,8,7,4,5,2,1121,2019-07-14,7,CD,1740000,5,5.34,11.24,10.9,11.04,10.57,11.22,11.27,10.66,9.88,9.35,9.41,9,9.63,9.23,9.29,8.79,7.4,7.49,7.36,0,CDtw,11.27
72,Hanguk,Hoon Paeng,438720926,Technical,,20.34,2 s 8 wk 1 d,19370,5,1,8,7,20,TRUE,1,11,6,7,4,2,4,1172,2019-07-14,7,WB,2650000,0,5.25,10.76,10.31,10.32,9.84,10.33,10.65,9.42,8.96,8.21,8.12,8.04,7.99,7.53,7.81,7.05,5.5,0,5.68,5.91,WBd,10.76
73,Hanguk,Ji-Dan Lee,438852692,Technical,Y×1,20.73,2 s 6 wk 5 d,11000,6,2,8,8,20,TRUE,1,11,5,4,3,2,2,1103,2019-07-10,6.5,CD,1170000,1,5.66,10.57,9.94,10.13,9.32,10.39,10.58,9.29,8.35,7.42,7.39,7.03,7.63,7.13,7.18,6.59,5.09,0,5.03,5.42,CDtw,10.58
74,Hanguk,Nam-Han Kim,436538053,,,20.104,2 s 6 wk 2 d,9230,5,3,7,8,17,FALSE,9,6,1,1,1,1,8,923,2019-07-14,5,KP,2470000,0,9.16,5.6,5.11,5.2,4.63,5.32,5.55,4.43,3.94,3.22,3.14,3.04,3.22,2.92,2.93,2.6,2.36,2.36,2.36,0,KP,9.16
