Number,Nat,Player,PlayerID,Special,Stat,Age,Since,TSI,LS,XP,Fo,Stm,Lo,FALSE,KP,DF,PM,WI,PS,SC,SP,Psico,Last,Rt,Pos,Wage,G,KPPos,WBdPos,WBPos,WBtmPos,WBoPos,CDPos,CDtwPos,CDoPos,WPos,IMPos,FWPos,FWdPos,FWtwPos,TDFPos,BPo,BPoV
1,Hanguk,Jong-Kyung Ji,429263806,Head,,25.54,3 시즌 14 주 0 일,2310,2,5,6,7,20,TRUE,6,5,1,1,1,1,5,662,2018-10-14,4,KP,990000,0,7.19,5.43,5.07,5.14,4.71,5.22,5.39,4.56,3.67,3.44,3.03,3.03,3.03,0,KP,7.19
2,Hanguk,Soon Jung,429263807,,,31.31,3 시즌 14 주 0 일,150,7,6,7,6,20,TRUE,5,6,1,1,3,1,3,605,2018-10-17,4,KP,630000,0,7.1,6.29,5.83,5.92,5.37,6.03,6.25,5.18,4.2,3.92,3.5,3.76,3.48,0,KP,7.1
7,Hanguk,Ang-Ri Choi,429263812,Powerful,,35.53,3 시즌 14 주 0 일,110,2,6,8,5,20,TRUE,2,7,5,4,4,1,5,680,2018-10-17,4,W,290000,16,5.45,7.96,7.74,7.85,7.53,8,8,7.65,6.92,6.85,5.1,5.74,5.03,0,CD,8
9,Hanguk,Seung-Min Lee,429263815,Quick,,23.22,3 시즌 14 주 0 일,10150,3,3,8,8,20,TRUE,1,10,6,3,6,2,6,1014,2018-10-14,5.5,IM,1550000,4,5.68,10.27,9.77,10.09,9.28,10.51,10.44,9.77,8.14,8.36,6.05,7,5.73,0,CD,10.51
10,Hanguk,Jung-Jae Lee,429263816,Unpredictable,Y×1,27.96,3 시즌 14 주 0 일,5520,4,4,7,7,20,TRUE,1,9,7,2,3,2,4,928,2018-10-17,5.5,IM,870000,4,5.31,9.34,8.98,9.41,8.65,9.97,9.65,9.62,7.8,8.47,5.65,6.32,5.17,0,CD,9.97
11,Hanguk,Ryung-Tae Kim,429263818,,,29.50,3 시즌 14 주 0 일,2290,2,4,6,6,20,TRUE,2,8,6,3,5,3,5,803,2018-10-17,5,IM,570000,9,5.22,7.94,7.67,7.92,7.42,8.25,8.1,7.92,6.86,7.19,5.64,6.18,5.36,0,CD,8.25
12,Hanguk,Jung-Eum Yun,429263819,Powerful,,28.47,3 시즌 14 주 0 일,1260,5,5,8,7,20,TRUE,1,5,7,3,5,3,4,703,2018-10-14,5.5,IM,410000,14,4.46,7.23,7.29,7.58,7.38,7.95,7.52,8.32,7.82,8.6,6.76,7.48,6.35,0,IMd,8.61
13,Hanguk,Hong-Woon Kim,429263820,Technical,Y×2,24.62,3 시즌 14 주 0 일,10300,2,4,7,8,20,TRUE,1,10,6,6,5,3,4,1022,2018-10-14,5.5,W,1430000,5,5.65,10.54,10.15,10.23,9.76,10.32,10.51,9.6,8.55,8.19,6.6,0,6.64,7.03,WBd,10.54
15,Hanguk,Bong-Joo Kim,429263823,,,25.108,3 시즌 14 주 0 일,13470,4,4,8,7,20,TRUE,1,10,6,7,6,2,4,1073,2018-10-14,7,W,1350000,16,5.81,10.99,10.63,10.62,10.26,10.61,10.89,9.87,9.08,8.48,6.66,7.37,6.81,0,WBd,10.99
16,Hanguk,Kil-Sung Park,429263824,,Y×1,22.58,3 시즌 14 주 0 일,1990,5,3,7,8,20,TRUE,1,5,3,5,4,7,6,749,2018-10-14,6,FW,410000,21,4.1,6.5,6.37,6.25,6.23,6.09,6.35,5.73,5.74,5.36,6.87,6.15,7.06,0,FWtw,7.06
18,Hanguk,Min-Ho Ji,429263827,Unpredictable,,29.22,3 시즌 14 주 0 일,1040,2,6,7,6,20,TRUE,1,4,5,3,6,6,3,611,2018-10-17,5.5,FW,300000,32,4.06,6.03,6.06,6.19,6.1,6.37,6.16,6.54,6.48,6.96,7.25,7.3,7,0,FWd,7.3
31,Česká republika,,397610518,Head,,31.4,3 시즌 4 주 6 일,10690,3,7,7,6,20,FALSE,1,9,9,1,8,4,4,891,2018-10-17,6.5,IM,1632000,42,4.96,9.01,8.75,9.35,8.53,10.15,9.5,10.15,8.54,9.89,7.22,8.41,6.39,0,CD,10.15
43,Hanguk,Ji-Soo Kim,433466579,Technical,,20.71,2 시즌 10 주 6 일,11000,3,2,6,7,20,TRUE,1,11,4,4,3,3,3,1150,2018-10-17,4,W,1950000,0,5.11,9.4,8.77,8.89,8.14,9.05,9.34,7.88,6.24,5.81,4.7,0,4.72,4.73,WBd,9.4
