Number,Nat,Player,PlayerID,Special,Stat,Age,Since,TSI,LS,XP,Fo,Stm,Lo,MB,KP,DF,PM,WI,PS,SC,SP,Psico,Last,Rt,Pos,Wage,G,TC,PH,KPPos,WBPos,CDPos,WPos,IMPos,FWPos
2,Hanguk,Jee-Hoon Kim,428709461,,,20.90,2시즌 0일,12380,3,2,4,7,20,TRUE,10,5,1,1,1,2,8,1080,2018-02-07,4.5,KP,1850000,0,,,7.51,3.74,3.87,2.6,2.45,2.38
3,Hanguk,Eun-Seok Hong,427619235,,,31.3,2시즌 8주 0일,270,5,5,5,6,20,TRUE,1,6,6,3,2,1,7,607,2018-02-11,3.5,CD,290000,9,,,3.76,6.06,6.5,5.73,6.05,4.12
4,Hanguk,Ji-Woon Lee,427619236,,,21.19,2시즌 8주 0일,1220,5,2,7,7,20,TRUE,1,7,4,3,5,2,7,735,2018-02-07,4,CD,390000,9,,,4.32,6.93,7.23,5.89,5.84,4.76
5,Hanguk,Jang-Soo Choi,427619237,Quick,,32.65,2시즌 8주 0일,100,5,5,5,6,20,TRUE,1,6,4,4,2,1,10,590,2018-02-07,3,CD,270000,3,,,3.69,5.74,5.8,5,4.81,3.68
6,Hanguk,Jae-Shin Cha,427619238,,,29.0,2시즌 8주 0일,1160,5,5,7,7,20,TRUE,1,7,3,6,3,2,10,756,2018-02-11,5,WB,380000,8,,,4.77,7.69,7.31,6.27,5.41,4.98
7,Hanguk,In-Moo Byon,427619239,,Inj 2,33.100,2시즌 8주 0일,120,1,6,5,5,20,TRUE,2,6,5,5,5,2,6,590,2018-01-14,4.5,WB,290000,5,,,4.14,5.9,5.94,5.62,5.49,4.58
8,Hanguk,Hong-Chan Son,427619240,,Y×1,23.60,2시즌 8주 0일,1140,5,3,6,8,20,TRUE,1,5,6,5,5,1,8,615,2018-02-07,3.5,WB,310000,1,,,3.81,6.53,6.66,6.79,6.86,5.13
9,Hanguk,Hoi-Taek Park,427619241,Unpredictable,,21.67,2시즌 8주 0일,1400,2,3,8,7,20,TRUE,1,5,6,3,6,3,10,648,2018-02-07,5,IM,330000,10,,,4.21,6.85,7.37,7.18,7.75,6.4
10,Hanguk,Kwang-Eul Jeon,427619242,,,25.66,2시즌 8주 0일,1640,4,4,7,7,20,TRUE,1,6,7,3,3,2,9,763,2018-02-11,5,IM,430000,6,,,4.52,7.57,8.26,7.52,8.18,5.79
11,Hanguk,Kwang-Hwan Yun,427619243,,,28.33,2시즌 8주 0일,760,6,4,6,7,20,TRUE,2,5,6,3,5,2,9,621,2018-02-11,3.5,W,330000,10,,,4.46,6.17,6.63,6.38,6.85,5.28
12,Hanguk,Chan-Myung Lee,427619244,,,27.42,2시즌 8주 0일,1010,3,4,6,7,20,TRUE,1,3,7,3,4,3,8,756,2018-01-31,4,IM,410000,8,,,3.38,5.42,5.93,6.5,7.31,5.81
13,Hanguk,Sung-Kook Han,427619245,Technical,,23.30,2시즌 8주 0일,1260,2,3,5,8,20,TRUE,1,5,6,6,5,2,9,613,2018-02-07,3.5,W,330000,10,,,3.48,6.13,6.1,6.38,6.31,5.13
14,Hanguk,Se-Jong Cho,427619246,,,30.30,2시즌 8주 0일,580,4,5,7,6,20,TRUE,1,5,5,6,3,4,8,600,2018-02-07,4,WB,280000,18,,,4.19,6.96,6.79,6.81,6.57,6.23
15,Hanguk,Man-Ok Lee,427619247,Unpredictable,Y×1,24.83,2시즌 8주 0일,2300,5,4,7,8,20,TRUE,1,5,5,7,6,2,9,746,2018-02-07,5,W,350000,13,,,4.27,7.35,6.99,7.48,6.97,6.19
16,Hanguk,Dong-Shik Kim,427619248,,Y×1,20.77,2시즌 8주 0일,1280,6,2,4,7,20,TRUE,1,3,3,6,4,7,10,780,2018-01-31,4.5,FW,410000,21,,,2.5,3.94,3.52,4.04,3.7,5.09
17,Hanguk,Seung-Mee Kim,427619249,Unpredictable,,36.16,2시즌 8주 0일,10,2,6,7,4,20,TRUE,1,2,3,3,3,5,7,490,2018-02-11,4,FW,250000,23,,,3.16,4.1,4.07,4.43,4.55,5.26
18,Hanguk,Kwang-Rae Kim,427619250,Head,Y×1,28.37,2시즌 8주 0일,1060,3,4,7,7,20,TRUE,1,2,5,3,6,6,7,614,2018-02-11,5,FW,310000,27,,,3.34,4.83,5.06,5.99,6.6,7.1
21,Belgium,Jitse Haes,428112207,,,33.35,2시즌 3주 0일,200,4,5,3,5,17,FALSE,2,6,5,5,5,2,7,590,2018-02-11,2.5,W,348000,2,,,2.88,4.29,4.31,4.06,3.95,3.23
23,Belgium,Mathias Piron,428125893,Technical,,34.4,2시즌 2주 6일,130,6,6,6,5,17,FALSE,2,6,5,5,5,2,9,590,2018-02-11,4.5,W,324000,5,,,4.13,6.12,6.16,5.8,5.65,4.63
25,Polska,Pylyp Nagorniak,406205227,,,28.77,2시즌 2주 6일,1710,5,3,6,7,17,FALSE,1,6,7,3,6,3,9,699,2018-02-11,4,IM,444000,8,,,3.38,6.14,6.76,6.34,6.98,5.31
31,Hanguk,Se-Hee Park,430626797,,,20.12,1시즌 7주 0일,1310,4,2,8,7,20,TRUE,1,2,5,5,3,7,8,719,2018-02-07,5.5,FW,390000,11,,,3.06,4.96,4.83,5.92,6.17,7.1
34,Sverige,Axel Hermansson,422526443,,Y×1,29.99,1시즌 4주 6일,1970,5,5,7,6,13,FALSE,2,7,7,2,6,2,9,701,2018-01-31,5,IM,516000,8,,,4.61,6.99,7.87,6.82,7.61,5.26
38,Latvija,Artem Skurlatov,409641598,,,27.105,1시즌 1주 3일,2230,5,5,4,6,12,FALSE,1,8,6,3,4,3,4,841,2018-02-07,3.5,CD,732000,8,,,3.08,5.49,5.94,4.79,5.05,3.79
40,Perú,Matías Pichis,416567166,,,23.55,1시즌 6일,9700,6,2,7,7,12,FALSE,1,10,8,2,4,4,6,1002,2018-02-11,5.5,CD,1764000,4,,,4.34,8.51,9.69,7.31,8.22,5.63
41,Deutschland,Reinold Kisch,413993877,,,24.59,1시즌 6일,2200,5,2,5,7,12,FALSE,1,8,6,2,4,5,3,801,2018-02-11,3.5,CD,588000,10,,,3.14,5.77,6.44,4.95,5.47,4.5
48,Hanguk,Dong-Suk Lee,432205385,Technical,,19.26,10주 6일,1030,6,1,6,5,20,TRUE,1,5,4,5,6,5,4,636,2018-02-11,4.5,FW,290000,1,,,2.91,4.99,4.87,4.83,4.66,5.06
52,Hanguk,Seong-Gong Choi,433454317,Unpredictable,Y×2,17.106,7주 1일,5210,4,1,7,6,20,TRUE,1,7,7,7,4,5,4,793,2018-02-11,4.5,WB,550000,2,,,3.75,7.52,7.52,7.28,7.2,6.36
55,Hanguk,Geun-Ho Han,433728993,,,18.108,4주 1일,1920,3,1,7,5,20,TRUE,1,5,6,4,3,7,3,733,2018-01-28,3,WB,410000,1,,,3.14,5.61,5.9,5.68,6.11,6.16
58,Hanguk,Tae-Hwan Lee,434006765,,,17.24,1주 1일,2490,4,1,6,5,20,TRUE,6,1,1,1,1,1,4,675,2018-02-11,3,KP,950000,0,,,4.89,2.02,2.02,2.02,2.02,2.02
59,Hanguk,Sang-Sun Park,434432087,,,17.42,0일,50,6,1,6,5,20,TRUE,2,2,1,1,1,1,4,282,,,,310000,0,,,2.68,2.36,2.39,2.05,2,1.91
99,Hanguk,Je-Min Jung,427619232,,,42.93,2시즌 8주 0일,0,3,8,3,1,20,TRUE,0,0,0,0,0,0,0,340,,,,250000,0,,,1.03,1.03,1.03,1.03,1.03,1.03
