Number,Nat,Player,PlayerID,Special,Stat,Age,Since,TSI,LS,XP,Fo,Stm,Lo,FALSE,KP,DF,PM,WI,PS,SC,SP,Psico,Last,Rt,Pos,Wage,G,KPPos,WBPos,CDPos,WPos,IMPos,FWPos,FWdPos,FWtwPos,TDFPos,BPo,BPoV
2,Hanguk,Jee-Hoon Kim,428709461,,,22.83,3 시즌 15 주 1 일,45240,3,2,5,8,20,TRUE,14,5,1,1,1,2,8,1489,2018-09-12,6,KP,11930000,0,10.75,4.21,4.36,2.93,2.75,2.68,2.52,2.67,0,KP,10.75
4,Hanguk,Ji-Woon Lee,427619236,,,23.12,4 시즌 7 주 0 일,1110,5,3,6,8,20,TRUE,1,7,4,3,5,2,7,710,,,,390000,26,4.31,6.79,7.08,5.81,5.76,4.73,5.25,4.63,0,CDtw,7.13
6,Hanguk,Jae-Shin Cha,427619238,,Y×2,30.105,4 시즌 7 주 0 일,710,5,6,6,6,20,TRUE,1,7,3,6,3,1,10,731,2018-09-16,4,WB,360000,23,4.46,7.13,6.79,5.83,5.02,4.3,4.48,4.62,0,WBd,7.38
8,Hanguk,Hong-Chan Son,427619240,,,25.53,4 시즌 7 주 0 일,1240,5,4,8,7,20,TRUE,1,5,6,5,5,1,8,641,2018-09-16,5,W,310000,4,4.37,7.38,7.53,7.66,7.74,5.83,6.71,5.77,0,IMtw,7.84
10,Hanguk,Kwang-Eul Jeon,427619242,,Y×1,27.59,4 시즌 7 주 0 일,1640,4,5,8,7,20,TRUE,1,6,7,3,3,2,9,760,2018-09-16,5,IM,430000,15,4.72,7.83,8.53,7.79,8.46,6.02,6.66,5.65,0,Cdo,8.71
11,Hanguk,Kwang-Hwan Yun,427619243,,Bru,30.26,4 시즌 7 주 0 일,490,6,5,7,6,20,TRUE,2,5,6,2,5,2,9,610,2018-09-09,4,W,310000,14,4.62,6.18,6.81,6.38,7.04,5.34,6.1,4.96,0,IMd,7.07
12,Hanguk,Chan-Myung Lee,427619244,,Y×2,29.35,4 시즌 7 주 0 일,790,3,5,8,6,20,TRUE,1,3,7,3,4,3,8,726,2018-09-12,5,IM,390000,9,3.83,6.06,6.63,7.24,8.13,6.49,7.06,6.1,0,IMo,8.17
13,Hanguk,Sung-Kook Han,427619245,Technical,,25.23,4 시즌 7 주 0 일,1420,2,4,6,7,20,TRUE,1,5,6,6,5,2,9,630,2018-09-16,4.5,W,330000,22,3.94,6.82,6.78,7.09,7.01,5.73,0,5.77,6.3,IMtw,7.14
14,Hanguk,Se-Jong Cho,427619246,,,32.23,4 시즌 7 주 0 일,260,4,6,6,6,20,TRUE,1,5,5,6,3,3,8,590,2018-09-12,4,WB,270000,22,3.9,6.42,6.26,6.28,6.03,5.4,5.45,5.54,0,WBo,6.44
15,Hanguk,Man-Ok Lee,427619247,Unpredictable,Y×1,26.76,4 시즌 7 주 0 일,2000,5,4,6,7,20,TRUE,1,5,5,7,6,2,9,754,2018-09-12,4.5,W,350000,13,3.9,6.71,6.38,6.83,6.36,5.65,6.18,5.87,0,Wo,7.02
16,Hanguk,Dong-Shik Kim,427619248,,Y×1,22.70,4 시즌 7 주 0 일,1350,6,3,5,7,20,TRUE,1,3,3,6,4,7,10,767,2018-09-16,4.5,FW,410000,33,3,4.61,4.14,4.72,4.34,5.91,5.25,6.16,0,FWtw,6.16
25,Polska,Pylyp Nagorniak,406205227,,,30.70,4 시즌 2 주 0 일,1270,5,3,7,6,20,FALSE,1,6,6,3,6,3,9,613,2018-09-12,5,IM,420000,12,3.79,6.56,7.1,6.51,6.99,5.6,6.3,5.29,0,CD,7.1
31,Hanguk,Se-Hee Park,430626797,,,22.5,3 시즌 6 주 1 일,1250,4,2,6,7,20,TRUE,1,2,5,5,3,7,8,729,2018-09-12,4.5,FW,390000,26,2.82,4.56,4.45,5.45,5.68,6.54,5.95,6.55,0,FWtw,6.55
34,Sverige,Axel Hermansson,422526443,,,31.92,3 시즌 3 주 6 일,1030,5,5,6,6,20,FALSE,2,6,7,2,6,2,9,693,2018-09-16,4,IM,456000,17,4.24,6.16,6.93,6.34,7.11,5.08,6.01,4.62,0,IMd,7.15
38,Latvija,Artem Skurlatov,409641598,,,29.98,3 시즌 0 주 3 일,1920,5,5,6,6,20,FALSE,1,8,6,3,4,3,4,802,2018-09-16,4,CD,684000,9,4.22,7.25,7.81,6.37,6.69,5.11,5.52,4.84,0,CD,7.81
40,Perú,Matías Pichis,416567166,,,25.48,2 시즌 15 주 6 일,7830,6,2,5,7,19,FALSE,1,10,8,2,4,4,6,999,2018-09-12,5,CD,1764000,4,3.97,7.5,8.5,6.48,7.25,5.06,5.52,4.55,0,CD,8.5
48,Hanguk,Dong-Suk Lee,432205385,Technical,,21.19,2 시즌 9 주 6 일,1240,6,2,7,7,20,TRUE,1,5,4,5,6,5,4,614,2018-09-16,4,FW,290000,14,3.83,6.29,6.15,6.11,5.89,6.38,0,6.46,6.45,FWtw,6.46
52,Hanguk,Seong-Gong Choi,433454317,Unpredictable,,19.99,2 시즌 6 주 1 일,5580,4,2,7,7,20,TRUE,1,7,7,7,4,5,4,788,2018-09-16,5,WB,550000,13,4.34,8.33,8.33,8.07,7.98,7.1,7.08,7.15,0,CD,8.33
55,Hanguk,Geun-Ho Han,433728993,,Y×2,20.101,2 시즌 3 주 1 일,2200,3,2,6,7,20,TRUE,1,5,6,4,3,7,3,734,2018-09-12,5,FW,410000,10,3.53,6.04,6.34,6.11,6.55,6.6,6.17,6.42,0,IMd,6.6
61,Oceania,Cedrick Williamson,430364099,Powerful,,20.52,1 시즌 13 주 6 일,6730,3,3,7,7,16,FALSE,1,8,5,7,7,2,4,882,2018-09-16,4.5,CD,708000,2,4.12,7.92,7.68,7.02,6.35,5.33,6.03,5.56,0,WBd,8.13
65,Hanguk,Sang-Hyun Yun,434942107,,,19.15,1 시즌 9 주 1 일,2840,3,1,7,6,20,TRUE,1,6,5,4,7,4,2,780,2018-09-16,4.5,W,390000,2,3.47,6.05,6.26,5.85,5.95,5.53,5.99,5.4,0,CD,6.26
70,Hanguk,Min-Gyu Jung,429263814,,Inj 1,24.93,1 시즌 4 주 5 일,4960,1,4,5,7,13,FALSE,1,9,6,4,4,2,5,947,2018-09-16,4.5,CD,1030000,2,3.84,7.1,7.52,5.96,6.01,4.21,4.71,4.07,0,CD,7.52
72,Hanguk,Gyeong-Ryeol Kim,435840503,,,19.29,1 시즌 3 주 1 일,1740,3,1,6,6,20,TRUE,1,7,6,4,4,3,5,749,2018-09-12,4,CD,390000,0,3.45,6.27,6.62,5.77,5.96,4.64,4.99,4.49,0,CD,6.62
76,Hanguk,Nam-Han Kim,436538053,,,18.35,14 주 1 일,6910,5,1,6,6,20,TRUE,8,4,1,1,1,1,5,876,2018-09-16,4.5,KP,1530000,0,6.96,3.53,3.64,2.54,2.38,2.09,2.09,2.09,0,KP,6.96
77,Hanguk,Han-Duk Park,437598574,Unpredictable,Y×1 TL,18.40,6 주 1 일,960,3,1,6,6,20,TRUE,1,3,6,3,6,5,4,611,2018-09-12,3.5,IM,310000,2,1.26,2.94,3.3,3.85,4.48,4.16,4.46,3.88,0,IMo,4.62
78,Hanguk,Jung-Oh Han,433730490,Technical,,21.10,2 주 5 일,4650,4,2,7,7,5,FALSE,1,9,3,5,1,3,3,965,2018-09-12,4.5,WB,1270000,4,3.72,7.07,6.96,4.67,3.9,3.35,0,3.6,2.91,WBd,7.58
79,España,Jimeno Eguiruren,415605434,,Y×1,25.66,1 일,18690,5,5,4,7,2,FALSE,1,8,11,3,9,2,3,1094,2018-09-12,5,IM,4068000,19,2.8,6.09,7.07,6.7,7.76,4.86,6.22,4.26,0,IMd,7.78
98,Hanguk,Sung-Bae Sobong,438131950,,,18.103,1 일,180,3,1,6,5,20,TRUE,1,3,3,4,5,2,3,560,,,,250000,0,2.36,3.59,3.45,3.75,3.57,3.47,3.79,3.55,0,Wo,3.88
99,Danmark,Torben Boesen,321795066,Head,,41.3,1 주 1 일,170,5,13,6,2,3,FALSE,0,9,0,4,0,0,0,880,2018-06-06,4,WB,396000,79,2.52,4.55,4.32,2.44,1.59,1.25,1.12,1.54,0,WBd,5.01
