Number,Nat,Player,PlayerID,Special,Stat,Age,Since,TSI,LS,XP,Fo,Stm,Lo,FALSE,KP,DF,PM,WI,PS,SC,SP,Psico,Last,Rt,Pos,Wage,G,KPPos,WBdPos,WBPos,WBtmPos,WBoPos,CDPos,WPos,IMPos,FWPos,FWdPos,FWtwPos,TDFPos,BPo,BPoV
2,Hanguk,Jee-Hoon Kim,428709461,,,22.97,4 시즌 1 주 1 일,51790,3,2,6,8,20,TRUE,15,5,1,1,1,2,8,1503,2018-09-26,7,KP,11930000,0,12.41,4.98,4.62,4.68,4.26,4.77,3.21,3.02,2.94,2.76,2.93,0,KP,12.41
4,Hanguk,Ji-Woon Lee,427619236,,,23.26,4 시즌 9 주 0 일,1230,5,3,7,8,20,TRUE,1,7,4,3,5,2,7,721,2018-09-26,4,CD,390000,26,4.65,7.65,7.32,7.46,7,7.63,6.26,6.21,5.1,5.66,4.99,0,CDtw,7.69
6,Hanguk,Jae-Shin Cha,427619238,,Y×2,31.7,4 시즌 9 주 0 일,500,5,6,5,6,20,TRUE,1,7,3,6,3,1,10,704,2018-09-26,4.5,WB,350000,23,4.08,6.75,6.52,6.38,6.27,6.21,5.33,4.58,3.93,4.1,4.22,0,WBd,6.75
8,Hanguk,Hong-Chan Son,427619240,,Y×1,25.67,4 시즌 9 주 0 일,1120,5,4,6,7,20,TRUE,1,5,6,5,5,1,8,634,2018-09-30,4.5,W,310000,5,3.92,6.56,6.62,6.68,6.69,6.75,6.88,6.95,5.23,6.02,5.17,0,IMtw,7.03
10,Hanguk,Kwang-Eul Jeon,427619242,,Y×1,27.73,4 시즌 9 주 0 일,1290,4,5,5,7,20,TRUE,1,6,7,3,3,2,9,748,2018-09-30,4,IM,430000,16,3.87,6.44,6.41,6.65,6.39,6.98,6.37,6.92,4.93,5.45,4.63,0,Cdo,7.13
11,Hanguk,Kwang-Hwan Yun,427619243,,,30.40,4 시즌 9 주 0 일,540,6,5,8,6,20,TRUE,2,5,6,2,5,2,9,612,2018-09-30,4,W,310000,14,4.96,6.67,6.63,6.93,6.62,7.31,6.85,7.55,5.73,6.55,5.32,0,IMd,7.59
12,Hanguk,Chan-Myung Lee,427619244,,Y×2,29.49,4 시즌 9 주 0 일,790,3,5,8,6,20,TRUE,1,3,7,3,4,3,8,726,2018-09-26,5,IM,390000,9,3.83,5.81,6.06,6.3,6.34,6.63,7.24,8.13,6.48,7.05,6.1,0,IMo,8.17
13,Hanguk,Sung-Kook Han,427619245,Technical,Inj 1,25.37,4 시즌 9 주 0 일,1020,2,4,4,7,20,TRUE,1,5,6,6,5,2,9,615,2018-09-23,4,W,330000,24,3.21,5.49,5.56,5.55,5.64,5.53,5.78,5.72,4.67,0,4.71,5.14,IMtw,5.83
14,Hanguk,Se-Jong Cho,427619246,,Inj 3 TL,32.37,4 시즌 9 주 0 일,170,4,6,6,6,20,TRUE,1,5,5,6,3,3,8,590,2018-09-26,4,WB,270000,22,2.65,5.14,5.17,5.1,5.19,5.01,5.03,4.78,4.15,4.2,4.29,0,WBo,5.19
15,Hanguk,Man-Ok Lee,427619247,Unpredictable,Y×1,26.90,4 시즌 9 주 0 일,2060,5,4,6,7,20,TRUE,1,5,5,7,6,2,9,762,2018-09-19,4.5,W,350000,13,3.9,6.66,6.72,6.58,6.77,6.38,6.83,6.37,5.66,6.19,5.88,0,Wo,7.03
16,Hanguk,Dong-Shik Kim,427619248,,Y×1,22.84,4 시즌 9 주 0 일,1540,6,3,6,7,20,TRUE,1,3,3,6,4,7,10,774,2018-09-30,5.5,FW,410000,39,3.28,4.95,5.04,4.82,5.12,4.53,5.17,4.75,6.46,5.74,6.74,0,FWtw,6.74
25,Polska,Pylyp Nagorniak,406205227,,,30.84,4 시즌 4 주 0 일,1270,5,3,7,6,20,FALSE,1,6,6,3,6,3,9,613,2018-09-26,5,IM,420000,12,3.71,6.52,6.42,6.65,6.34,6.94,6.37,6.84,5.48,6.17,5.17,0,CD,6.94
31,Hanguk,Se-Hee Park,430626797,,Inj 1,22.19,3 시즌 8 주 0 일,1150,4,2,7,7,20,TRUE,1,2,5,5,3,7,8,705,2018-09-19,4.5,FW,390000,26,3.04,4.63,4.92,4.87,5.21,4.79,5.88,6.12,7.05,6.41,7.06,0,FWtw,7.06
34,Sverige,Axel Hermansson,422526443,,,31.106,3 시즌 5 주 6 일,800,5,5,4,6,20,FALSE,2,6,6,2,6,2,9,615,2018-09-23,4,IM,456000,18,3.45,4.95,4.85,5.08,4.77,5.38,4.81,5.27,3.92,4.61,3.62,0,CD,5.38
38,Latvija,Artem Skurlatov,409641598,,,30.0,3 시즌 2 주 3 일,1770,5,5,5,6,20,FALSE,1,8,6,3,4,3,4,802,2018-09-30,4,CD,648000,9,3.87,6.88,6.64,6.86,6.41,7.16,5.84,6.13,4.68,5.06,4.44,0,CD,7.16
40,Perú,Matías Pichis,416567166,,,25.62,3 시즌 1 주 6 일,9580,6,2,7,7,20,FALSE,1,10,8,2,4,4,6,1002,2018-09-30,5.5,CD,1764000,5,4.75,9.31,8.92,9.43,8.56,10.1,7.72,8.62,6.03,6.58,5.43,0,CD,10.1
48,Hanguk,Dong-Suk Lee,432205385,Technical,,21.33,2 시즌 11 주 6 일,830,6,2,3,7,20,TRUE,1,5,4,5,6,5,4,622,2018-09-30,3,FW,290000,14,2.49,4.13,4.09,4.05,4.05,4,3.97,3.83,4.15,0,4.2,4.19,FWtw,4.2
52,Hanguk,Seong-Gong Choi,433454317,Unpredictable,,20.1,2 시즌 8 주 1 일,5750,4,2,7,7,20,TRUE,1,7,7,7,4,5,4,798,2018-09-30,5,WB,550000,15,4.33,8.31,8.31,8.31,8.31,8.31,8.06,7.97,7.09,7.07,7.14,0,CD,8.31
55,Hanguk,Geun-Ho Han,433728993,,Y×2,21.3,2 시즌 5 주 1 일,1990,3,2,5,7,20,TRUE,1,5,6,4,3,7,3,735,2018-09-30,4.5,FW,410000,10,3.24,5.52,5.55,5.66,5.58,5.82,5.61,6.02,6.06,5.66,5.89,0,IMd,6.06
61,Oceania,Cedrick Williamson,430364099,Powerful,,20.66,1 시즌 15 주 6 일,6790,3,3,8,7,16,FALSE,1,8,5,7,7,2,4,882,2018-09-23,4,WB,708000,2,4.33,8.54,8.31,8.2,8.07,8.06,7.37,6.67,5.6,6.33,5.83,0,WBd,8.54
65,Hanguk,Sang-Hyun Yun,434942107,,,19.29,1 시즌 11 주 1 일,2760,3,1,6,6,20,TRUE,1,6,5,4,7,4,2,794,2018-09-30,4,W,390000,4,3.22,5.73,5.61,5.7,5.51,5.81,5.43,5.52,5.13,5.56,5.01,0,CD,5.81
70,Hanguk,Min-Gyu Jung,429263814,,Inj 1,24.107,1 시즌 6 주 5 일,5130,1,4,7,7,14,FALSE,1,9,6,4,4,2,5,934,2018-09-26,5,CD,1030000,2,4.58,8.78,8.42,8.64,8.08,8.92,7.08,7.14,5.02,5.61,4.85,0,CD,8.92
72,Hanguk,Gyeong-Ryeol Kim,435840503,,,19.43,1 시즌 5 주 1 일,1860,3,1,7,6,20,TRUE,1,7,6,4,4,3,5,751,2018-09-19,4,CD,390000,0,3.72,6.91,6.76,6.92,6.62,7.14,6.22,6.42,5,5.37,4.84,0,CD,7.14
76,Hanguk,Nam-Han Kim,436538053,,,18.49,1 시즌 0 주 1 일,9120,5,1,7,6,20,TRUE,9,4,1,1,1,1,5,920,2018-09-30,5,KP,1530000,0,8.19,4.1,3.83,3.88,3.55,3.95,2.75,2.58,2.26,2.26,2.26,0,KP,8.19
78,Hanguk,Jung-Oh Han,433730490,Technical,,21.24,4 주 5 일,4830,4,2,7,7,7,FALSE,1,9,3,5,1,3,3,971,2018-09-26,4.5,WB,1270000,4,3.83,7.7,7.19,7.14,6.66,7.07,4.78,4.01,3.46,0,3.71,3.01,WBd,7.7
79,España,Jimeno Eguiruren,415605434,,Y×2,25.80,2 주 1 일,25820,5,5,7,7,5,FALSE,1,8,11,3,9,2,3,1096,2018-09-30,6,IM,4068000,20,3.85,8.17,8.19,8.75,8.26,9.49,8.99,10.4,6.57,8.36,5.77,0,IMd,10.42
80,Andorra,Joaquim Muntaner,427020395,Technical,,27.26,3 일,15910,6,5,7,7,3,FALSE,1,9,6,8,7,4,7,995,2018-09-30,5,WB,1260000,29,4.02,8.67,8.45,8.35,8.23,8.22,7.47,6.84,6.11,0,6.34,6.54,WBd,8.67
81,Hanguk,Sang-Yong Jang,433566477,,,21.18,0 일,8050,2,2,6,8,2,FALSE,1,9,6,6,5,4,2,949,2018-09-30,4.5,WB,970000,4,3.33,7.5,7.23,7.28,6.96,7.35,6.1,5.86,4.83,5.05,4.86,0,WBd,7.5
98,Hanguk,Ik-Kyung Jegal,438639230,,,17.102,0 일,560,5,0,6,5,20,TRUE,4,3,1,1,1,1,3,471,,,,550000,0,3.99,2.95,2.8,2.83,2.64,2.87,2.19,2.09,1.91,1.91,1.91,0,KP,3.99
99,Danmark,Torben Boesen,321795066,Head,,41.17,3 주 1 일,130,5,13,5,2,5,FALSE,0,9,0,3,0,0,0,880,2018-06-06,4,WB,396000,79,2.37,4.55,4.11,4.07,3.65,4.01,2.17,1.51,1.14,1.04,1.34,0,WBd,4.55
