Number,Nat,Player,PlayerID,Special,Stat,Age,Since,TSI,LS,XP,Fo,Stm,Lo,MB,KP,DF,PM,WI,PS,SC,SP,Psico,Last,Rt,Pos,Wage,G,TC,PH,KPPos,WBPos,CDPos,WPos,IMPos,FWPos
1,Hanguk,Jong-Kyung Ji,429263806,Head,,24.68,2시즌 15주 3일,2500,2,4,8,8,20,TRUE,6,4,1,1,1,1,5,647,2018-07-08,4.5,KP,990000,0,,,7.64,4.98,5.11,3.81,3.61,3.27
2,Hanguk,Soon Jung,429263807,,,30.45,2시즌 15주 3일,140,7,6,7,6,20,TRUE,5,6,1,1,3,1,3,603,2018-07-11,3.5,KP,680000,0,,,7.16,5.87,6.07,4.23,3.94,3.53
7,Hanguk,Ang-Ri Choi,429263812,Powerful 있음,,34.67,2시즌 15주 3일,160,2,6,7,5,20,TRUE,2,7,5,4,5,2,5,680,2018-07-11,5,W,310000,16,,,5.27,7.49,7.73,6.77,6.74,5.44
9,Hanguk,Seung-Min Lee,429263815,Quick,,22.36,2시즌 15주 3일,7840,3,3,6,8,20,TRUE,1,10,6,3,6,2,6,1000,2018-07-08,5,IM,1330000,2,,,5.09,8.76,9.42,7.3,7.5,5.42
10,Hanguk,Jung-Jae Lee,429263816,Unpredictable,,26.110,2시즌 15주 3일,5040,4,4,7,7,20,TRUE,1,9,7,2,3,2,4,913,2018-07-11,5.5,IM,770000,4,,,5.31,8.98,9.97,7.8,8.47,5.65
11,Hanguk,Ryung-Tae Kim,429263818,,Y×1,28.64,2시즌 15주 3일,2730,2,4,7,7,20,TRUE,2,8,6,3,5,3,5,804,2018-07-11,5,IM,530000,8,,,5.62,8.27,8.89,7.4,7.75,6.08
12,Hanguk,Jung-Eum Yun,429263819,Powerful 있음,Y×1,27.61,2시즌 15주 3일,1320,5,4,7,7,20,TRUE,1,5,7,3,5,3,4,705,2018-07-08,5,IM,410000,7,,,4.19,6.93,7.57,7.44,8.19,6.42
13,Hanguk,Hong-Woon Kim,429263820,Technical,Y×1,23.76,2시즌 15주 3일,9580,2,4,7,8,20,TRUE,1,10,6,6,5,3,4,1005,2018-07-08,6,W,1110000,4,,,5.65,10.15,10.32,8.54,8.19,6.6
15,Hanguk,Bong-Joo Kim,429263823,,,25.10,2시즌 15주 3일,11800,4,4,7,8,20,TRUE,1,9,6,7,6,2,4,1008,2018-07-08,7,W,1350000,6,,,5.36,9.77,9.71,8.65,8.12,6.47
16,Hanguk,Kil-Sung Park,429263824,,Inj 1,21.72,2시즌 15주 3일,1350,5,2,6,8,20,TRUE,1,4,3,5,4,7,6,725,2018-07-11,5.5,FW,410000,14,,,3.34,5.19,4.89,4.95,4.66,6.17
