Number,Nat,Player,PlayerID,Special,Stat,Age,Since,TSI,LS,XP,Fo,Stm,Lo,MB,KP,DF,PM,WI,PS,SC,SP,Psico,Last,Rt,Pos,Wage,G,TC,PH,KPPos,WBPos,CDPos,WPos,IMPos,FWPos
2,Hanguk,Jee-Hoon Kim,428709461,,,20.101,2시즌 1주 3일,15550,3,2,5,7,20,TRUE,11,5,1,1,1,2,8,1114,2018-02-21,5,KP,1850000,0,,,9,4.2,4.34,2.92,2.74,2.67
3,Hanguk,Eun-Seok Hong,427619235,,,31.14,2시즌 9주 3일,280,5,5,6,6,20,TRUE,1,6,6,3,2,1,7,606,2018-02-18,4,CD,290000,9,,,4.1,6.61,7.09,6.25,6.61,4.5
4,Hanguk,Ji-Woon Lee,427619236,,,21.30,2시즌 9주 3일,1240,5,2,7,7,20,TRUE,1,7,4,3,5,2,7,738,2018-02-21,4.5,CD,390000,9,,,4.32,6.93,7.23,5.89,5.84,4.76
5,Hanguk,Jang-Soo Choi,427619237,Quick,,32.76,2시즌 9주 3일,100,5,5,6,6,20,TRUE,1,6,4,4,2,1,10,590,2018-02-21,3,CD,270000,3,,,4.04,6.28,6.35,5.47,5.26,4.03
6,Hanguk,Jae-Shin Cha,427619238,,,29.11,2시즌 9주 3일,990,5,5,7,7,20,TRUE,1,7,3,6,3,2,10,732,2018-02-18,5,WB,380000,9,,,4.78,7.69,7.32,6.27,5.42,4.98
7,Hanguk,In-Moo Byon,427619239,,Bru,33.111,2시즌 9주 3일,120,1,6,5,5,20,TRUE,2,6,4,5,5,2,6,590,2018-01-14,4.5,WB,290000,5,,,3.94,5.45,5.38,4.98,4.69,4.14
8,Hanguk,Hong-Chan Son,427619240,,Y×1,23.71,2시즌 9주 3일,1130,5,3,6,8,20,TRUE,1,5,6,5,5,1,8,615,2018-02-21,3.5,WB,310000,1,,,3.81,6.53,6.66,6.79,6.86,5.13
9,Hanguk,Hoi-Taek Park,427619241,Unpredictable,,21.78,2시즌 9주 3일,1400,2,3,7,7,20,TRUE,1,5,6,3,6,3,10,652,2018-02-21,5,IM,330000,10,,,4.07,6.62,7.13,6.95,7.5,6.19
10,Hanguk,Kwang-Eul Jeon,427619242,,Bru,25.77,2시즌 9주 3일,1450,4,4,6,7,20,TRUE,1,6,7,3,3,2,9,751,2018-02-18,4,IM,430000,6,,,3.98,6.67,7.27,6.63,7.21,5.11
11,Hanguk,Kwang-Hwan Yun,427619243,,,28.44,2시즌 9주 3일,760,6,4,6,7,20,TRUE,2,5,6,3,5,2,9,621,2018-02-18,4,W,330000,10,,,4.46,6.17,6.63,6.39,6.85,5.28
12,Hanguk,Chan-Myung Lee,427619244,,,27.53,2시즌 9주 3일,1040,3,4,7,7,20,TRUE,1,3,7,3,4,3,8,751,2018-02-21,5,IM,410000,8,,,3.64,5.84,6.4,7,7.88,6.26
13,Hanguk,Sung-Kook Han,427619245,Technical,Inj 1,23.41,2시즌 9주 3일,1270,2,3,6,8,20,TRUE,1,5,6,6,5,2,9,610,2018-02-21,4.5,W,330000,10,,,3.81,6.71,6.67,6.98,6.9,5.61
14,Hanguk,Se-Jong Cho,427619246,,,30.41,2시즌 9주 3일,600,4,5,7,6,20,TRUE,1,5,5,6,3,4,8,601,2018-02-21,4,WB,280000,18,,,4.19,6.96,6.78,6.81,6.57,6.22
15,Hanguk,Man-Ok Lee,427619247,Unpredictable,Y×1,24.94,2시즌 9주 3일,2290,5,4,7,8,20,TRUE,1,5,5,7,6,2,9,745,2018-02-21,5,W,350000,13,,,4.27,7.35,6.99,7.48,6.97,6.19
