Number,Nat,Player,PlayerID,Special,Stat,Age,Since,TSI,LS,XP,Fo,Stm,Lo,MB,KP,DF,PM,WI,PS,SC,SP,Psico,Last,Rt,Pos,Wage,G,KPPos,WBdPos,WBPos,WBtmPos,WBoPos,CDPos,CDtwPos,CDoPos,WdPos,WPos,WtmPos,WoPos,IMdPos,IMPos,IMtwPos,IMoPos,FWPos,FWdPos,FWtwPos,TDFPos,BPo,BPoV
1,Hanguk,Jong-Kyung Ji,429263806,Head,Bru,27.68,5 s 15 wk 6 d,2320,2,5,8,7,20,TRUE,6,6,1,1,1,1,5,635,2019-06-12,5,KP,1010000,0,7.82,6.33,5.86,5.95,5.39,6.06,6.29,5.19,4.72,4.02,3.94,3.84,4.02,3.72,3.74,3.42,3.18,3.18,3.18,0,KP,7.82
7,Hanguk,Ang-Ri Choi,429263812,Powerful,,37.67,5 s 15 wk 6 d,20,2,6,8,4,20,TRUE,1,6,3,2,3,0,5,590,2019-06-09,4,W,250000,19,4.21,6.26,5.97,6.09,5.69,6.25,6.29,5.77,5.35,4.95,4.94,4.78,5.07,4.87,4.9,4.66,3.52,4.07,3.44,0,CDtw,6.29
10,Hanguk,Jung-Jae Lee,429263816,Unpredictable,,29.110,5 s 15 wk 6 d,5390,4,5,8,7,20,TRUE,1,9,7,2,3,2,4,922,2019-06-09,6,IM,1060000,7,5.51,9.59,9.22,9.66,8.89,10.23,9.9,9.87,8.45,8.02,8.26,7.37,9.06,8.71,8.46,8.3,5.85,6.53,5.36,0,CD,10.23
12,Hanguk,Jung-Eum Yun,429263819,Powerful,,30.61,5 s 15 wk 6 d,980,5,5,7,6,20,TRUE,1,5,7,3,5,3,4,701,2019-06-12,5.5,IM,380000,20,4.25,6.9,6.96,7.23,7.04,7.59,7.17,7.94,7.26,7.46,7.67,7.12,8.22,8.2,7.99,8.17,6.45,7.13,6.06,0,IMd,8.22
13,Hanguk,Hong-Woon Kim,429263820,Technical,Y×1,26.76,5 s 15 wk 6 d,13690,2,5,8,7,20,TRUE,1,10,6,6,5,3,4,1101,2019-06-12,6.5,W,1930000,13,5.93,10.95,10.56,10.63,10.15,10.73,10.92,9.99,9.52,8.9,8.86,8.72,8.87,8.54,8.67,8.18,6.91,0,6.95,7.35,WBd,10.95
15,Hanguk,Bong-Joo Kim,429263823,,,28.10,5 s 15 wk 6 d,13130,4,5,7,7,20,TRUE,1,10,6,7,6,2,4,1069,2019-06-12,6.5,W,2110000,26,5.69,10.65,10.3,10.29,9.94,10.29,10.55,9.58,9.38,8.82,8.72,8.76,8.54,8.24,8.49,7.93,6.5,7.18,6.65,0,WBd,10.65
16,Hanguk,Kil-Sung Park,429263824,,Y×1,24.72,5 s 15 wk 6 d,2400,5,4,6,8,20,TRUE,1,6,3,5,4,7,6,755,2019-06-09,6,FW,410000,34,4.23,6.81,6.6,6.5,6.38,6.38,6.66,5.87,6.02,5.66,5.52,5.75,5.33,5.25,5.29,5.18,6.55,5.88,6.72,0,WBd,6.81
18,Hanguk,Min-Ho Ji,429263827,Unpredictable,,31.36,5 s 15 wk 6 d,730,2,6,7,6,20,TRUE,1,5,4,3,6,6,3,603,2019-06-12,5.5,FW,290000,43,4.13,6.21,6.09,6.17,5.97,6.29,6.26,6.13,6,5.88,5.87,5.83,6.04,6.09,5.93,6.15,6.65,6.6,6.51,0,FW,6.65
31,Česká republika,,397610518,Head,,33.18,5 s 6 wk 6 d,4770,3,8,7,6,20,FALSE,1,10,9,1,8,4,4,980,2019-06-12,6.5,IM,1332000,52,5.21,9.54,9.19,9.81,8.89,10.61,10.02,10.44,8.89,8.63,8.92,7.9,10.06,9.9,9.39,9.72,7.17,8.34,6.35,0,CD,10.61
43,Hanguk,Ji-Soo Kim,433466579,Technical,,22.85,4 s 12 wk 6 d,12720,3,3,5,8,20,TRUE,1,12,4,4,3,3,3,1202,2019-06-09,5,W,3810000,3,5.14,9.41,8.75,8.88,8.09,9.04,9.35,7.81,7.09,6.09,6,5.81,6.11,5.64,5.7,5.16,4.52,0,4.54,4.55,WBd,9.41
