Name,Age,TSI,PayPerWeek,Form,Stamina,Special,Experience,Leadership,Loyalty,Keeper,Defending,Playmaking,Winger,Passing,Scoring,SetPieces
1. Jee-Seung Oh,21세 62일,2670,990000,5,6,,3,4,20,6,3,1,1,1,1,6
2. Myung-Jin Min,28세 1일,2010,1090000,4,7,,5,1,20,6,4,1,1,2,1,2
3. Eun-Seok Hong,28세 96일,500,300000,5,6,,4,5,20,1,6,6,3,2,2,4
4. Ji-Woon Lee,19세 0일,910,390000,5,6,,2,5,20,1,7,4,3,5,2,5
5. Jang-Soo Choi,30세 46일,150,280000,3,6,빠름,5,5,20,1,6,4,4,2,1,7
6. Jae-Shin Cha,26세 93일,1150,390000,6,6,,4,5,20,1,7,3,6,3,2,6
7. In-Moo Byon,31세 81일,550,300000,5,6,,5,1,20,2,6,5,5,5,3,6
8. Hong-Chan Son,21세 41일,980,310000,6,6,,3,5,20,1,5,6,5,5,1,4
9. Hoi-Taek Park,19세 48일,770,330000,4,5,예측못함,2,2,20,1,5,6,3,6,3,6
10. Kwang-Eul Jeon,23세 47일,1370,430000,6,6,,3,4,20,1,6,7,3,3,2,5
11. Kwang-Hwan Yun,26세 14일,810,330000,6,6,,3,6,20,2,5,6,3,5,2,6
12. Chan-Myung Lee,25세 23일,970,410000,6,7,,4,3,20,1,3,7,3,4,3,4
13. Sung-Kook Han,21세 11일,1190,330000,5,6,공 마술사,3,2,20,1,5,6,6,5,2,5
14. Se-Jong Cho,28세 11일,710,290000,5,6,,4,4,20,1,5,5,6,3,4,4
15. Man-Ok Lee,22세 64일,1970,350000,6,6,예측못함,3,5,20,1,5,5,7,6,2,4
16. Dong-Shik Kim,18세 58일,990,410000,4,6,,2,6,20,1,3,3,6,4,7,6
17. Seung-Mee Kim,33세 109일,200,310000,6,6,예측못함,6,2,20,1,3,4,4,4,7,5
18. Kwang-Rae Kim,26세 18일,1090,310000,6,6,헤딩,3,3,20,1,2,5,3,6,6,2
19. Eui-Soo Park,18세 32일,300,450000,6,5,,1,5,20,4,2,1,1,1,1,2
20. Jader da Matta,31세 87일,890,384000,5,6,,6,4,2,2,6,6,5,6,2,5
21. Jitse Haes,31세 16일,930,384000,6,6,,5,4,2,2,6,6,5,6,2,5
22. Keith Esser,31세 33일,1020,372000,5,7,빠름,6,5,2,2,6,6,6,6,3,6
23. Mathias Piron,31세 97일,870,372000,5,6,공 마술사,5,6,2,2,6,6,6,6,3,6
24. Philippe Morel,32세 111일,410,372000,4,5,예측못함,5,5,2,2,6,6,5,6,3,6
25. Pylyp Nagorniak,26세 58일,1400,444000,4,5,,2,5,2,1,6,7,3,6,3,6
26. Türker Arkan,32세 75일,1030,420000,6,6,,6,1,2,2,6,7,5,6,2,6
27. Emil Günther Norbisrath,17세 9일,1600,1020000,6,4,,1,1,1,6,2,1,1,1,1,8
28. José Antonio Taibo,18세 79일,1890,1116000,6,5,,1,5,2,6,4,1,1,1,1,6
