Number,Nat,Player,PlayerID,Special,Stat,Age,Since,TSI,LS,XP,Fo,Stm,Lo,MB,KP,DF,PM,WI,PS,SC,SP,Psico,Last,Rt,Pos,Wage,G,KPPos,WBdPos,WBPos,WBtmPos,WBoPos,CDPos,CDtwPos,CDoPos,WdPos,WPos,WtmPos,WoPos,IMdPos,IMPos,IMtwPos,IMoPos,FWPos,FWdPos,FWtwPos,TDFPos,BPo,BPoV
2,Hanguk,Jee-Hoon Kim,428709461,,,25.30,6 s 7 wk 3 d,92820,3,3,5,7,20,TRUE,18,5,1,1,1,2,10,1816,2019-06-26,8,KP,40300000,0,13.29,4.75,4.42,4.48,4.09,4.56,4.72,3.95,3.62,3.13,3.08,3.01,3.15,2.95,2.94,2.76,2.88,2.72,2.87,0,KP,13.29
4,Hanguk,Ji-Woon Lee,427619236,,,25.71,6 s 15 wk 3 d,1120,5,4,6,7,20,TRUE,1,7,4,3,5,2,9,727,2019-06-23,4,CD,390000,27,4.44,7.2,6.91,7.03,6.61,7.19,7.24,6.69,6.32,5.92,5.9,5.77,6.03,5.88,5.86,5.71,4.86,5.37,4.75,0,CDtw,7.24
8,Hanguk,Hong-Chan Son,427619240,,R,28.0,6 s 15 wk 3 d,1020,5,5,5,7,20,TRUE,1,5,6,5,5,1,10,637,2019-06-23,3.5,W,310000,17,3.65,6.04,6.09,6.14,6.15,6.21,6.1,6.36,6.22,6.32,6.38,6.24,6.42,6.38,6.46,6.32,4.83,5.54,4.78,0,IMtw,6.46
10,Hanguk,Kwang-Eul Jeon,427619242,,Y×2,30.6,6 s 15 wk 3 d,950,4,6,7,6,20,TRUE,1,6,7,3,3,2,11,704,2019-06-23,5,IM,390000,32,4.6,7.59,7.55,7.84,7.54,8.22,7.85,8.39,7.49,7.51,7.75,7.07,8.32,8.15,7.99,7.94,5.83,6.44,5.48,0,Cdo,8.39
11,Hanguk,Kwang-Hwan Yun,427619243,,Inj 3,32.85,6 s 15 wk 3 d,140,6,6,7,6,20,TRUE,2,5,6,2,5,2,10,590,2019-06-19,4,W,300000,24,4.83,6.46,6.42,6.7,6.41,7.07,6.71,7.24,6.57,6.63,6.81,6.31,7.33,7.3,7.09,7.25,5.56,6.35,5.18,0,IMd,7.33
12,Hanguk,Chan-Myung Lee,427619244,,Y×1,31.94,6 s 15 wk 3 d,380,3,5,7,6,20,TRUE,1,3,7,3,4,3,10,694,2019-06-26,4,IM,360000,11,3.66,5.56,5.8,6.04,6.07,6.35,5.85,7.03,6.49,6.94,7.2,6.64,7.72,7.79,7.58,7.82,6.21,6.76,5.84,0,IMo,7.82
13,Hanguk,Sung-Kook Han,427619245,Technical,,27.82,6 s 15 wk 3 d,1490,2,5,7,7,20,TRUE,1,5,6,6,5,2,10,631,2019-06-26,5,W,330000,34,4.31,7.28,7.38,7.36,7.47,7.33,7.29,7.51,7.54,7.66,7.69,7.66,7.61,7.58,7.72,7.52,6.21,0,6.26,6.82,IMtw,7.72
15,Hanguk,Man-Ok Lee,427619247,Unpredictable,Y×1,29.23,6 s 15 wk 3 d,1580,5,5,7,7,20,TRUE,1,5,5,7,6,2,10,699,2019-06-19,5,W,340000,22,4.26,7.19,7.26,7.1,7.31,6.9,7.07,6.9,7.33,7.38,7.28,7.58,6.89,6.89,7.16,6.88,6.13,6.69,6.36,0,Wo,7.58
16,Hanguk,Dong-Shik Kim,427619248,,Bru,25.17,6 s 15 wk 3 d,1530,6,4,8,7,20,TRUE,1,3,3,6,4,7,12,756,2019-06-12,5.5,FW,410000,71,3.65,5.42,5.52,5.29,5.61,4.98,5.23,4.98,5.6,5.66,5.53,5.96,5.12,5.22,5.34,5.33,7.04,6.27,7.33,0,FWtw,7.33
25,Polska,Pylyp Nagorniak,406205227,,,33.17,6 s 10 wk 2 d,300,5,4,7,5,20,FALSE,1,6,6,3,6,2,11,590,2019-06-26,4.5,IM,348000,15,3.78,6.52,6.42,6.64,6.34,6.94,6.7,6.94,6.42,6.38,6.48,6.13,6.85,6.8,6.68,6.74,5.14,5.99,4.85,0,CD,6.94
