Number,Nat,Player,PlayerID,Sp,Stat,Age,Since,TSI,LS,XP,Fo,Stm,Lo,MB,KP,DF,PM,WI,PS,SC,SP,Psico,Last,Rt,Pos,Wage,G,TC,PH,KP,WB,CD,W,IM,FW
1,Hanguk,Jee-Seung Oh,427619233,,,21.101,10주 6일,6430,4,3,7,6,20,TRUE,8,3,1,1,1,1,6,840,2017-07-19,4.5,KP,990000,0,,,7.97,3.93,4.01,3.21,3.09,2.88
2,Hanguk,Jee-Hoon Kim,428709461,,,18.110,2주 6일,2090,3,1,7,5,20,TRUE,6,5,1,1,1,2,2,631,2017-07-16,3,KP,670000,0,,,6.14,4.09,4.24,2.74,2.56,2.48
3,Hanguk,Eun-Seok Hong,427619235,,,29.23,10주 6일,430,5,4,5,6,20,TRUE,1,6,6,3,2,2,4,615,2017-07-19,3.5,CD,300000,1,,,3.69,6,6.45,5.68,6.03,4.37
4,Hanguk,Ji-Woon Lee,427619236,,,19.39,10주 6일,980,5,2,5,6,20,TRUE,1,7,4,3,5,2,5,731,2017-07-16,3.5,CD,390000,2,,,3.61,5.79,6.04,4.92,4.88,3.98
5,Hanguk,Jang-Soo Choi,427619237,빠름,,30.85,10주 6일,140,5,5,3,6,20,TRUE,1,6,4,4,2,1,7,601,2017-06-22,2,CD,280000,0,,,2.85,4.44,4.49,3.87,3.72,2.85
6,Hanguk,Jae-Shin Cha,427619238,,Y×1,27.20,10주 6일,1020,5,4,5,7,20,TRUE,1,7,3,6,3,2,6,766,2017-07-19,3.5,WB,390000,3,,,3.94,6.4,6.09,5.2,4.48,4.11
7,Hanguk,In-Moo Byon,427619239,,,32.8,10주 6일,410,1,5,5,6,20,TRUE,2,6,5,5,5,3,6,595,2017-07-19,3,CD,300000,2,,,4.24,6.08,6.12,5.78,5.68,5.02
8,Hanguk,Hong-Chan Son,427619240,,Y×1,21.80,10주 6일,1060,5,3,6,7,20,TRUE,1,5,6,5,5,1,4,623,2017-07-19,3.5,WB,310000,0,,,3.72,6.38,6.51,6.63,6.7,5.01
9,Hanguk,Hoi-Taek Park,427619241,예측할 수 없음,R,19.87,10주 6일,1010,2,2,5,6,20,TRUE,1,5,6,3,6,3,6,648,2017-07-16,3.5,IM,330000,3,,,2.95,4.91,5.29,5.16,5.58,4.57
10,Hanguk,Kwang-Eul Jeon,427619242,,,23.86,10주 6일,1400,4,3,6,7,20,TRUE,1,6,7,3,3,2,5,745,2017-07-19,4.5,IM,430000,2,,,3.95,6.71,7.33,6.67,7.27,5.1
