Number,Nat,Player,PlayerID,Special,Stat,Age,Since,TSI,LS,XP,Fo,Stm,Lo,FALSE,KP,DF,PM,WI,PS,SC,SP,Psico,Last,Rt,Pos,Wage,G,KPPos,WBPos,CDPos,WPos,IMPos,FWPos,FWdPos,FWtwPos,TDFPos,BPo,BPoV
1,Hanguk,Jong-Kyung Ji,429263806,Head,,25.18,3 시즌 8 주 6 일,2430,2,4,7,7,20,TRUE,6,4,1,1,1,1,5,656,2018-09-09,4.5,KP,990000,0,7.36,4.8,4.92,3.66,3.48,3.15,3.15,3.15,0,KP,7.36
2,Hanguk,Soon Jung,429263807,,,30.107,3 시즌 8 주 6 일,170,7,6,7,6,20,TRUE,5,6,1,1,3,1,3,609,2018-09-12,4,KP,680000,0,7.14,5.86,6.06,4.22,3.94,3.52,3.78,3.5,0,KP,7.14
7,Hanguk,Ang-Ri Choi,429263812,Powerful,,35.17,3 시즌 8 주 6 일,130,2,6,8,5,20,TRUE,2,7,5,4,5,1,5,680,2018-09-12,4.5,W,290000,16,5.45,7.74,8,7,6.94,5.25,6.01,5.17,0,CD,8
9,Hanguk,Seung-Min Lee,429263815,Quick,,22.98,3 시즌 8 주 6 일,9070,3,3,7,8,20,TRUE,1,10,6,3,6,2,6,1003,2018-09-09,5,IM,1330000,4,5.49,9.45,10.17,7.88,8.09,5.85,6.76,5.54,0,CD,10.17
10,Hanguk,Jung-Jae Lee,429263816,Unpredictable,,27.60,3 시즌 8 주 6 일,5280,4,4,7,7,20,TRUE,1,9,7,2,3,2,4,921,2018-09-12,5.5,IM,870000,4,5.31,8.98,9.97,7.8,8.47,5.65,6.32,5.17,0,CD,9.97
11,Hanguk,Ryung-Tae Kim,429263818,,,29.14,3 시즌 8 주 6 일,2430,2,4,7,7,20,TRUE,2,8,6,3,5,3,5,801,2018-09-12,5,IM,570000,9,5.62,8.27,8.89,7.4,7.75,6.08,6.66,5.78,0,CD,8.89
12,Hanguk,Jung-Eum Yun,429263819,Powerful,,28.11,3 시즌 8 주 6 일,1120,5,5,6,7,20,TRUE,1,5,7,3,5,3,4,702,2018-09-09,4.5,IM,410000,13,4,6.54,7.14,7.01,7.71,6.07,6.71,5.7,0,IMd,7.73
13,Hanguk,Hong-Woon Kim,429263820,Technical,Y×1,24.26,3 시즌 8 주 6 일,10170,2,4,7,8,20,TRUE,1,10,6,6,5,3,4,1019,2018-09-09,7,W,1430000,5,5.65,10.15,10.32,8.54,8.19,6.6,0,6.64,7.03,WBd,10.54
15,Hanguk,Bong-Joo Kim,429263823,,,25.72,3 시즌 8 주 6 일,12500,4,4,7,7,20,TRUE,1,10,6,7,6,2,4,1057,2018-09-09,6.5,W,1350000,12,5.62,10.28,10.26,8.79,8.2,6.44,7.13,6.59,0,WBd,10.63
16,Hanguk,Kil-Sung Park,429263824,,,22.22,3 시즌 8 주 6 일,1970,5,3,7,8,20,TRUE,1,5,3,5,4,7,6,747,2018-09-09,6,FW,410000,21,4.1,6.37,6.09,5.74,5.36,6.87,6.15,7.06,0,FWtw,7.06
18,Hanguk,Min-Ho Ji,429263827,Unpredictable,,28.98,3 시즌 8 주 6 일,970,2,6,5,6,20,TRUE,1,4,5,3,6,6,3,614,2018-09-12,5,FW,310000,32,3.51,5.25,5.52,5.61,6.03,6.28,6.32,6.07,0,FWd,6.32
31,Česká republika,,397610518,Head,,30.80,2 시즌 15 주 5 일,11710,3,7,6,6,19,FALSE,1,9,9,1,8,4,4,897,2018-09-12,6,IM,1740000,42,4.56,8.07,9.37,7.87,9.13,6.65,7.75,5.88,0,CD,9.37
43,Hanguk,Ji-Soo Kim,433466579,Technical,,20.35,2 시즌 5 주 5 일,10560,3,2,7,7,20,TRUE,1,11,4,4,3,3,3,1133,2018-09-09,6,WB,1950000,0,5.49,9.42,9.71,6.7,6.23,5.04,0,5.07,5.08,WBd,10.09
44,Hanguk,Sang-Yong Jang,433566477,,,21.2,2 시즌 4 주 5 일,7000,2,2,6,7,20,TRUE,1,9,6,6,5,4,2,929,2018-09-09,5,WB,970000,4,4.61,8.51,8.62,7.37,7.13,6.1,6.33,6.13,0,WBd,8.78
48,Hanguk,Jin-Taek Cho,433931826,Powerful,,20.24,2 시즌 0 주 5 일,1720,1,1,6,7,20,TRUE,1,8,5,4,2,4,5,801,2018-09-12,3.5,W,470000,1,3.88,6.89,7.17,5.62,5.59,4.69,4.56,4.63,0,CDtw,7.22
54,Hanguk,Kwang-Hyun Seo,434869614,Unpredictable,,19.111,1 시즌 9 주 5 일,1780,2,1,6,7,20,TRUE,1,7,5,4,5,4,2,715,2018-09-12,4,WB,250000,9,3.67,6.46,6.71,5.76,5.8,5.17,5.38,5.07,0,CD,6.71
58,Hanguk,Yi-Sub Kang,435570656,,Y×1,20.30,1 시즌 5 주 6 일,2440,5,1,8,7,20,TRUE,1,7,3,5,5,5,4,754,2018-09-12,4.5,WB,330000,0,4.04,6.87,6.67,5.56,5,5.63,5.41,5.82,0,WBd,7.19
59,Hanguk,Hyung-Hwa Jung,435660098,,,19.15,1 시즌 4 주 6 일,2220,5,2,7,7,20,TRUE,1,8,4,3,5,2,6,836,2018-09-12,4.5,CD,490000,3,4.57,7.43,7.77,6.03,5.92,4.74,5.28,4.63,0,CDtw,7.87
60,Hanguk,Chu-Seok Ahn,435761718,,,19.2,1 시즌 3 주 5 일,940,3,1,5,6,20,TRUE,1,4,5,3,3,7,5,721,2018-09-09,5,FW,370000,3,2.53,4.17,4.42,4.3,4.71,5.08,4.67,4.91,0,FW,5.08
61,Schweiz,Francois Baumgartner,434542904,,,18.94,1 시즌 3 주 4 일,9090,5,2,7,7,13,FALSE,1,8,7,6,7,6,3,799,2018-09-12,4.5,CD,492000,5,3.81,7.9,8.12,7.51,7.61,7.03,7.27,6.93,0,CD,8.12
63,Hellas,Damianos Yiannopoulos,377705560,Unpredictable,,35.81,1 시즌 2 주 4 일,7590,6,9,8,5,12,FALSE,1,9,12,11,4,3,14,1180,2018-09-12,7,W,4308000,93,4.44,10.25,10.31,10.63,10.65,7.49,8.1,7.55,0,IMtw,10.89
64,Hanguk,Koo-Joong Kim,435928762,,,18.105,1 시즌 1 주 6 일,4040,3,2,8,7,20,TRUE,1,9,4,3,2,2,3,965,2018-09-09,5,CD,370000,3,4.99,8.23,8.62,6.13,5.94,4.43,4.59,4.35,0,CDtw,8.77
67,Hanguk,Hae-Won Kim,437472967,,Y×1,19.13,6 주 5 일,3380,3,1,7,6,20,TRUE,1,9,3,3,6,5,3,898,2018-09-09,4,CD,670000,0,4.25,7.04,7.27,5.18,4.92,5.14,5.16,5.08,0,WBd,7.57
68,Sverige,Elmin Polovina,436113582,,,17.111,3 주 3 일,4100,2,2,7,5,6,FALSE,1,7,7,6,6,5,3,699,2018-09-12,3,CD,420000,0,2.73,5.99,6.14,5.9,6,5.25,5.5,5.18,0,CD,6.14
69,Hanguk,Seung-Chul Ki,437963734,Unpredictable,,17.47,1 주 2 일,870,6,1,6,5,4,FALSE,1,4,6,2,6,2,2,690,2018-09-09,1.5,CD,350000,0,1.62,3.39,3.93,3.97,4.62,3.21,4.02,2.85,0,IMo,4.67
98,Hanguk,Jin-Haeng Kim,438048035,,,18.15,5 일,250,3,1,6,5,20,TRUE,1,5,5,3,3,2,4,564,,,,270000,0,2.8,4.68,4.98,4.51,4.74,3.59,3.92,3.45,0,CD,4.98
99,Hanguk,In-Guh Park,429263805,,,44.26,3 시즌 8 주 6 일,0,3,6,3,1,20,TRUE,0,0,0,0,0,0,0,340,,,,250000,0,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0,KP,0.97
