Number,Nat,Player,PlayerID,Sp,Stat,Age,Since,TSI,LS,XP,Fo,Stm,Lo,MB,KP,DF,PM,WI,PS,SC,SP,Psico,Last,Rt,Pos,Wage,G,TC,PH,KP,WB,CD,W,IM,FW
1,Hanguk,Jee-Seung Oh,427619233,,,21.103,11주 0일,6430,4,3,7,6,20,TRUE,8,3,1,1,1,1,6,840,2017-07-19,4.5,KP,990000,0,,,7.97,3.93,4.01,3.21,3.09,2.88
2,Hanguk,Jee-Hoon Kim,428709461,,,19.0,3주 0일,2090,3,1,7,5,20,TRUE,6,5,1,1,1,2,2,631,2017-07-23,3.5,KP,930000,0,,,6.19,4.13,4.28,2.77,2.58,2.5
3,Hanguk,Eun-Seok Hong,427619235,,,29.25,11주 0일,430,5,4,5,6,20,TRUE,1,6,6,3,2,2,4,615,2017-07-19,3.5,CD,300000,1,,,3.69,6,6.45,5.68,6.03,4.37
4,Hanguk,Ji-Woon Lee,427619236,,R,19.41,11주 0일,980,5,2,5,6,20,TRUE,1,7,4,3,5,2,5,731,2017-07-23,3.5,CD,390000,2,,,3.61,5.79,6.04,4.92,4.88,3.98
5,Hanguk,Jang-Soo Choi,427619237,빠름,,30.87,11주 0일,140,5,5,3,6,20,TRUE,1,6,4,4,2,1,7,601,2017-06-22,2,CD,280000,0,,,2.85,4.44,4.49,3.87,3.72,2.85
6,Hanguk,Jae-Shin Cha,427619238,,Y×1,27.22,11주 0일,1020,5,4,5,7,20,TRUE,1,7,3,6,3,2,6,766,2017-07-19,3.5,WB,390000,3,,,3.94,6.4,6.09,5.2,4.48,4.11
7,Hanguk,In-Moo Byon,427619239,,,32.10,11주 0일,400,1,5,5,6,20,TRUE,2,6,5,5,5,3,6,594,2017-07-23,3.5,CD,300000,2,,,4.24,6.08,6.12,5.78,5.68,5.02
8,Hanguk,Hong-Chan Son,427619240,,Y×1,21.82,11주 0일,1060,5,3,6,7,20,TRUE,1,5,6,5,5,1,4,623,2017-07-19,3.5,WB,310000,0,,,3.72,6.38,6.51,6.63,6.7,5.01
9,Hanguk,Hoi-Taek Park,427619241,예측할 수 없음,,19.89,11주 0일,1010,2,2,5,6,20,TRUE,1,5,6,3,6,3,6,648,2017-07-16,3.5,IM,330000,3,,,2.95,4.91,5.29,5.16,5.58,4.57
10,Hanguk,Kwang-Eul Jeon,427619242,,,23.88,11주 0일,1400,4,3,6,7,20,TRUE,1,6,7,3,3,2,5,745,2017-07-19,4.5,IM,430000,2,,,3.95,6.71,7.33,6.67,7.27,5.1
11,Hanguk,Kwang-Hwan Yun,427619243,,,26.55,11주 0일,710,6,3,5,6,20,TRUE,2,5,6,3,5,2,6,654,2017-07-23,3.5,IM,330000,2,,,3.87,5.39,5.81,5.59,6,4.6
12,Hanguk,Chan-Myung Lee,427619244,,,25.64,11주 0일,1010,3,4,6,7,20,TRUE,1,3,7,3,4,3,4,756,2017-07-19,3.5,FW,410000,1,,,3.37,5.4,5.91,6.47,7.28,5.79
13,Hanguk,Sung-Kook Han,427619245,공 마술사,,21.52,11주 0일,1390,2,3,6,7,20,TRUE,1,5,6,6,5,2,5,625,2017-07-19,4.5,W,330000,7,,,3.7,6.51,6.47,6.77,6.7,5.44
14,Hanguk,Se-Jong Cho,427619246,,,28.52,11주 0일,780,4,5,5,6,20,TRUE,1,5,5,6,3,4,4,624,2017-07-23,3.5,WB,290000,8,,,3.54,5.89,5.74,5.76,5.56,5.26
15,Hanguk,Man-Ok Lee,427619247,예측할 수 없음,Y×1,22.105,11주 0일,2200,5,3,7,7,20,TRUE,1,5,5,7,6,2,4,752,2017-07-23,5,W,350000,5,,,4.02,7.05,6.69,7.17,6.67,5.91
16,Hanguk,Dong-Shik Kim,427619248,,,18.99,11주 0일,1240,6,2,5,6,20,TRUE,1,3,3,6,4,7,6,770,2017-07-19,4.5,FW,410000,10,,,2.67,4.21,3.77,4.32,3.96,5.45
17,Hanguk,Seung-Mee Kim,427619249,예측할 수 없음,,34.38,11주 0일,70,2,6,6,5,20,TRUE,1,2,4,4,4,7,5,680,2017-07-23,4.5,FW,300000,11,,,3.04,4.28,4.21,4.91,5.1,6.18
18,Hanguk,Kwang-Rae Kim,427619250,헤딩,Y×1,26.59,11주 0일,990,3,4,5,7,20,TRUE,1,2,5,3,6,6,2,629,2017-07-23,4,FW,310000,8,,,2.82,4.08,4.27,5.06,5.57,6
19,Hanguk,Joo-Po Lee,428801949,,,17.52,2주 0일,0,5,1,6,5,20,TRUE,1,2,2,3,1,1,3,290,,,,250000,0,,,2.14,2.83,2.68,2.77,2.58,2.33
20,Brasil,Jader da Matta,427827635,,Y×2,32.16,5주 6일,670,4,6,6,6,7,FALSE,2,6,6,5,6,2,5,590,2017-07-23,3,WB,384000,1,,,3.75,5.95,6.11,5.93,5.98,4.63
21,Belgium,Jitse Haes,428112207,,Y×1,31.57,5주 6일,880,4,5,5,6,7,FALSE,2,6,6,5,6,2,5,599,2017-07-23,3,CD,384000,2,,,3.37,5.39,5.54,5.38,5.42,4.18
22,Nederland,Keith Esser,428060480,빠름,,31.74,5주 6일,980,5,6,6,6,7,FALSE,2,6,5,6,6,3,6,595,2017-07-23,4,W,372000,0,,,3.81,6.02,5.89,5.78,5.48,4.91
23,Belgium,Mathias Piron,428125893,공 마술사,,32.26,5주 6일,580,6,5,5,6,7,FALSE,2,6,6,6,6,3,6,590,2017-07-19,2.5,W,372000,1,,,3.34,5.5,5.5,5.5,5.42,4.56
24,Canada,Philippe Morel,425173438,예측할 수 없음,,33.40,5주 5일,250,5,5,4,5,7,FALSE,2,6,5,5,6,2,6,591,2017-07-23,3,W,360000,3,,,2.88,4.46,4.49,4.26,4.15,3.38
25,Polska,Pylyp Nagorniak,406205227,,Y×2,26.99,5주 6일,1530,5,3,4,5,7,FALSE,1,6,7,3,6,3,6,749,2017-07-23,3,IM,444000,1,,,2.23,4.33,4.8,4.48,4.97,3.7
26,Türkiye,Türker Arkan,425734621,,Y×1,33.4,5주 6일,720,1,6,7,6,7,FALSE,2,6,7,5,6,2,6,680,2017-07-23,4.5,IM,456000,11,,,3.97,6.5,6.8,6.74,6.99,5.17
28,Hanguk,Kyoo-Poong Jeon,428976501,,,18.54,0일,40,3,1,6,5,20,TRUE,1,3,3,3,2,4,4,406,,,,250000,0,,,2.36,3.45,3.45,3.37,3.4,3.64
