Number,Nat,Player,PlayerID,Special,Stat,Age,Since,TSI,LS,XP,Fo,Stm,Lo,FALSE,KP,DF,PM,WI,PS,SC,SP,Psico,Last,Rt,Pos,Wage,G,KPPos,WBdPos,WBPos,WBtmPos,WBoPos,CDPos,WPos,IMPos,FWPos,FWdPos,FWtwPos,TDFPos,BPo,BPoV
1,Hanguk,Jong-Kyung Ji,429263806,Head,,25.34,3 시즌 11 주 1 일,2350,2,5,7,7,20,TRUE,6,4,1,1,1,1,5,650,2018-09-30,4,KP,990000,0,7.48,5.21,4.92,4.97,4.63,5.04,3.78,3.6,3.27,3.27,3.27,0,KP,7.48
2,Hanguk,Soon Jung,429263807,,,31.11,3 시즌 11 주 1 일,140,7,6,7,6,20,TRUE,5,6,1,1,3,1,3,603,2018-09-26,4,KP,630000,0,7.12,6.31,5.84,5.93,5.38,6.04,4.21,3.92,3.51,3.76,3.49,0,KP,7.12
7,Hanguk,Ang-Ri Choi,429263812,Powerful,,35.33,3 시즌 11 주 1 일,120,2,6,8,5,20,TRUE,2,7,5,4,4,1,5,680,2018-09-26,4.5,W,290000,16,5.45,7.96,7.74,7.85,7.53,8,6.92,6.85,5.1,5.74,5.03,0,CD,8
9,Hanguk,Seung-Min Lee,429263815,Quick,,23.2,3 시즌 11 주 1 일,9400,3,3,7,8,20,TRUE,1,10,6,3,6,2,6,1004,2018-09-30,5.5,IM,1550000,4,5.49,9.94,9.45,9.76,8.97,10.17,7.88,8.09,5.85,6.76,5.54,0,CD,10.17
10,Hanguk,Jung-Jae Lee,429263816,Unpredictable,Y×1,27.76,3 시즌 11 주 1 일,5370,4,4,7,7,20,TRUE,1,9,7,2,3,2,4,924,2018-09-30,6,IM,870000,4,5.31,9.34,8.98,9.41,8.65,9.97,7.8,8.47,5.65,6.32,5.17,0,CD,9.97
11,Hanguk,Ryung-Tae Kim,429263818,,,29.30,3 시즌 11 주 1 일,2500,2,4,8,6,20,TRUE,2,8,6,3,5,3,5,803,2018-09-26,5.5,IM,570000,9,5.82,8.85,8.55,8.83,8.27,9.19,7.65,8.02,6.29,6.89,5.98,0,CD,9.19
12,Hanguk,Jung-Eum Yun,429263819,Powerful,,28.27,3 시즌 11 주 1 일,1200,5,5,7,7,20,TRUE,1,5,7,3,5,3,4,703,2018-09-30,5,IM,410000,14,4.31,6.99,7.05,7.33,7.13,7.69,7.56,8.32,6.54,7.23,6.14,0,IMd,8.33
13,Hanguk,Hong-Woon Kim,429263820,Technical,Y×2,24.42,3 시즌 11 주 1 일,9940,2,4,7,8,20,TRUE,1,10,6,6,5,3,4,1014,2018-09-30,6,W,1430000,5,5.65,10.54,10.15,10.23,9.76,10.32,8.55,8.19,6.6,0,6.64,7.03,WBd,10.54
15,Hanguk,Bong-Joo Kim,429263823,,,25.88,3 시즌 11 주 1 일,13210,4,4,8,7,20,TRUE,1,10,6,7,6,2,4,1068,2018-09-30,7,W,1350000,12,5.81,11,10.63,10.62,10.26,10.61,9.09,8.48,6.66,7.38,6.82,0,WBd,11
16,Hanguk,Kil-Sung Park,429263824,,Y×1,22.38,3 시즌 11 주 1 일,1970,5,3,7,8,20,TRUE,1,5,3,5,4,7,6,747,2018-09-30,6,FW,410000,21,4.1,6.5,6.37,6.25,6.23,6.09,5.74,5.36,6.87,6.15,7.06,0,FWtw,7.06
18,Hanguk,Min-Ho Ji,429263827,Unpredictable,,29.2,3 시즌 11 주 1 일,990,2,6,6,6,20,TRUE,1,4,5,3,6,6,3,612,2018-09-26,5,FW,300000,32,3.76,5.59,5.61,5.74,5.65,5.9,6,6.45,6.72,6.76,6.49,0,FWd,6.76
31,Česká republika,,397610518,Head,,30.96,3 시즌 2 주 0 일,12280,3,7,6,6,20,FALSE,1,9,9,1,8,4,4,899,2018-09-26,5.5,IM,1740000,42,4.61,8.36,8.12,8.68,7.92,9.42,7.92,9.18,6.7,7.8,5.93,0,CD,9.42
43,Hanguk,Ji-Soo Kim,433466579,Technical,,20.51,2 시즌 8 주 1 일,10890,3,2,6,7,20,TRUE,1,11,4,4,3,3,3,1148,2018-09-23,6,WB,1950000,0,5.11,9.39,8.76,8.88,8.13,9.03,6.23,5.8,4.69,0,4.71,4.72,WBd,9.39
48,Hanguk,Jin-Taek Cho,433931826,Powerful,,20.40,2 시즌 3 주 0 일,1760,1,1,6,7,20,TRUE,1,8,5,4,2,4,5,801,2018-09-26,3.5,W,470000,1,3.88,7.18,6.89,7.01,6.6,7.17,5.62,5.59,4.69,4.56,4.63,0,CDtw,7.22
54,Hanguk,Kwang-Hyun Seo,434869614,Unpredictable,,20.15,1 시즌 12 주 0 일,2120,2,1,7,7,20,TRUE,1,7,5,4,5,4,2,740,2018-09-30,4,CD,390000,9,3.97,7.22,7,7.11,6.78,7.26,6.24,6.28,5.59,5.83,5.49,0,CDtw,7.27
59,Hanguk,Hyung-Hwa Jung,435660098,,Y×1,19.31,1 시즌 7 주 1 일,2500,5,2,6,7,20,TRUE,1,8,4,3,5,2,6,862,2018-09-30,4.5,CD,490000,3,4.26,7.31,6.93,7.07,6.55,7.25,5.63,5.52,4.42,4.93,4.32,0,CDtw,7.34
60,Hanguk,Chu-Seok Ahn,435761718,,,19.18,1 시즌 6 주 0 일,880,3,1,5,6,20,TRUE,1,4,5,3,3,7,5,709,2018-09-30,4,FW,370000,3,2.53,4.14,4.17,4.28,4.2,4.42,4.3,4.71,5.08,4.67,4.91,0,FW,5.08
61,Schweiz,Francois Baumgartner,434542904,,,18.110,1 시즌 5 주 6 일,8950,5,2,6,7,13,FALSE,1,8,7,6,7,6,3,799,2018-09-30,4.5,CD,492000,5,3.53,7.45,7.33,7.42,7.21,7.53,6.97,7.06,6.53,6.75,6.43,0,CD,7.53
63,Hellas,Damianos Yiannopoulos,377705560,Unpredictable,,35.97,1 시즌 5 주 0 일,7290,6,9,8,5,13,FALSE,1,9,12,11,4,3,14,1180,2018-09-26,7,W,4308000,93,4.48,10.06,10.29,10.32,10.53,10.35,10.67,10.68,7.53,8.14,7.59,0,IMtw,10.93
64,Hanguk,Koo-Joong Kim,435928762,,,19.9,1 시즌 4 주 1 일,4490,3,2,7,7,20,TRUE,1,9,4,3,2,2,3,984,2018-09-23,5.5,CD,1130000,3,4.85,8.49,7.99,8.15,7.49,8.37,5.96,5.77,4.3,4.46,4.23,0,CDtw,8.51
67,Hanguk,Hae-Won Kim,437472967,,Y×1,19.29,9 주 0 일,3950,3,1,7,6,20,TRUE,1,9,3,3,6,5,3,903,2018-09-26,4,WB,670000,0,4.3,7.66,7.12,7.22,6.57,7.35,5.24,4.97,5.19,5.21,5.14,0,WBd,7.66
68,Sverige,Elmin Polovina,436113582,,,18.15,5 주 6 일,4890,2,2,8,5,7,FALSE,1,7,7,6,6,5,3,722,2018-09-26,3.5,CD,564000,0,3,6.58,6.55,6.62,6.52,6.72,6.45,6.57,5.75,6.02,5.67,0,CD,6.72
69,Hanguk,Seung-Chul Ki,437963734,Unpredictable,,17.63,3 주 4 일,990,6,1,6,6,6,FALSE,1,5,6,2,6,2,2,652,2018-09-26,2,CD,350000,0,1.97,4.03,3.99,4.25,3.98,4.58,4.26,4.87,3.34,4.17,2.98,0,IM,4.87
70,Hanguk,Sang-Shik Won,438511569,,,18.32,1 주 1 일,160,6,1,6,5,20,TRUE,1,3,3,6,3,3,2,605,2018-09-30,2.5,WB,270000,0,2.48,4,4.09,3.89,4.16,3.63,4.13,3.63,3.92,3.78,4.22,0,Wo,4.36
71,Schweiz,Nathanael Zimmer,436514697,Head,,18.53,4 일,3010,7,2,5,4,3,FALSE,1,6,8,7,4,5,2,802,2018-09-30,2.5,WB,516000,1,1.92,4.56,4.66,4.69,4.78,4.73,4.93,5.06,4.23,4.29,4.21,0,IMd,5.12
98,Hanguk,Ik-Hyeon Rho,438639002,,,17.53,1 일,240,6,1,6,5,20,TRUE,1,3,5,3,5,2,2,543,,,,270000,0,2.36,3.7,3.8,3.9,3.91,4.02,4.38,4.71,3.84,4.38,3.67,0,IMo,4.77
