Number,Nat,Player,PlayerID,Special,Stat,Age,Since,TSI,LS,XP,Fo,Stm,Lo,MB,KP,DF,PM,WI,PS,SC,SP,Psico,Last,Rt,Pos,Wage,G,TC,PH,KPPos,WBPos,CDPos,WPos,IMPos,FWPos
1,Hanguk,Jong-Kyung Ji,429263806,Head,,24.8,2시즌 7주 1일,2390,2,4,7,8,20,TRUE,6,4,1,1,1,1,5,653,2018-05-13,4,KP,990000,0,,,7.39,4.82,4.94,3.68,3.49,3.16
2,Hanguk,Soon Jung,429263807,,,29.97,2시즌 7주 1일,140,7,6,7,6,20,TRUE,5,6,1,1,3,1,3,603,2018-05-09,4,KP,720000,0,,,7.22,5.92,6.13,4.26,3.98,3.56
3,Hanguk,Dong-Ho Lee,429263808,,,31.39,2시즌 7주 1일,390,4,6,7,6,20,TRUE,1,7,5,2,2,2,4,689,2018-05-09,4,W,320000,5,,,4.77,7.34,7.94,6.32,6.66,4.92
5,Hanguk,Pyung-Jae Song,429263810,Powerful 있음,,33.23,2시즌 7주 1일,250,3,6,7,5,20,TRUE,1,7,4,3,3,1,7,681,2018-05-02,4,W,350000,7,,,4.68,7.18,7.46,6.02,5.93,4.45
7,Hanguk,Ang-Ri Choi,429263812,Powerful 있음,,34.7,2시즌 7주 1일,190,2,6,7,5,20,TRUE,2,7,5,5,5,2,5,680,2018-05-13,5,W,310000,16,,,5.27,7.65,7.73,6.96,6.74,5.54
9,Hanguk,Seung-Min Lee,429263815,Quick,,21.88,2시즌 7주 1일,7680,3,3,6,8,20,TRUE,1,9,6,3,6,2,6,958,2018-05-13,5,IM,630000,0,,,4.84,8.25,8.88,7.14,7.4,5.43
10,Hanguk,Jung-Jae Lee,429263816,Unpredictable,,26.50,2시즌 7주 1일,4940,4,4,8,7,20,TRUE,1,9,7,2,3,2,4,908,2018-05-09,5.5,IM,770000,4,,,5.49,9.29,10.32,8.06,8.76,5.84
11,Hanguk,Ryung-Tae Kim,429263818,,,28.4,2시즌 7주 1일,2560,2,4,7,7,20,TRUE,2,8,6,3,5,3,5,802,2018-05-13,5.5,IM,530000,7,,,5.66,8.33,8.95,7.45,7.8,6.12
12,Hanguk,Jung-Eum Yun,429263819,Powerful 있음,,27.1,2시즌 7주 1일,1230,5,4,6,7,20,TRUE,1,4,7,3,5,3,4,734,2018-05-09,5,IM,410000,6,,,3.65,5.95,6.51,6.77,7.53,5.98
13,Hanguk,Hong-Woon Kim,429263820,Technical,,23.16,2시즌 7주 1일,8740,2,4,7,8,20,TRUE,1,9,6,6,5,3,4,983,2018-05-13,6,W,1110000,3,,,5.37,9.6,9.73,8.37,8.08,6.6
