Number,Nat,Player,PlayerID,Special,Stat,Age,Since,TSI,LS,XP,Fo,Stm,Lo,MB,KP,DF,PM,WI,PS,SC,SP,Psico,Last,Rt,Pos,Wage,G,KPPos,WBdPos,WBPos,WBtmPos,WBoPos,CDPos,CDtwPos,CDoPos,WdPos,WPos,WtmPos,WoPos,IMdPos,IMPos,IMtwPos,IMoPos,FWPos,FWdPos,FWtwPos,TDFPos,BPo,BPoV
2,Hanguk,Jee-Hoon Kim,428709461,,,23.47,4 시즌 9 주 6 일,62790,3,3,7,8,20,TRUE,15,5,1,1,1,2,10,1546,2018-11-28,7.5,KP,19050000,0,13.63,5.6,5.21,5.28,4.82,5.38,5.56,4.66,4.27,3.69,3.63,3.54,3.71,3.48,3.46,3.25,3.4,3.21,3.39,0,KP,13.63
4,Hanguk,Ji-Woon Lee,427619236,,Y×1,23.88,5 시즌 1 주 6 일,1270,5,4,7,8,20,TRUE,1,7,4,3,5,2,9,726,2018-11-28,4,CD,390000,26,4.82,7.83,7.5,7.64,7.18,7.81,7.87,7.27,6.87,6.44,6.41,6.27,6.56,6.39,6.37,6.21,5.28,5.84,5.16,0,CDtw,7.87
6,Hanguk,Jae-Shin Cha,427619238,,,31.69,5 시즌 1 주 6 일,530,5,6,7,6,20,TRUE,1,7,3,6,3,1,11,701,2018-11-25,4.5,WB,350000,24,4.64,7.67,7.41,7.25,7.12,7.05,7.46,6.39,6.55,6.06,5.89,6.16,5.46,5.21,5.54,4.95,4.46,4.66,4.8,0,WBd,7.67
8,Hanguk,Hong-Chan Son,427619240,,,26.17,5 시즌 1 주 6 일,1240,5,4,8,7,20,TRUE,1,5,6,5,5,1,10,641,2018-11-28,4.5,W,310000,8,4.26,7.13,7.19,7.25,7.26,7.34,7.2,7.51,7.35,7.47,7.54,7.38,7.59,7.54,7.63,7.47,5.68,6.54,5.62,0,IMtw,7.63
10,Hanguk,Kwang-Eul Jeon,427619242,,,28.23,5 시즌 1 주 6 일,1180,4,5,5,7,20,TRUE,1,6,7,3,3,2,11,734,2018-11-25,4,IM,430000,18,3.86,6.43,6.4,6.64,6.38,6.97,6.65,7.12,6.35,6.36,6.56,5.98,7.05,6.91,6.77,6.73,4.92,5.44,4.62,0,Cdo,7.12
11,Hanguk,Kwang-Hwan Yun,427619243,,,30.102,5 시즌 1 주 6 일,490,6,5,7,6,20,TRUE,2,5,6,2,5,2,10,610,2018-11-25,3.5,W,310000,15,4.83,6.5,6.46,6.75,6.45,7.12,6.76,7.3,6.61,6.68,6.86,6.34,7.39,7.36,7.15,7.31,5.59,6.38,5.19,0,IMd,7.39
12,Hanguk,Chan-Myung Lee,427619244,,,29.111,5 시즌 1 주 6 일,680,3,5,6,6,20,TRUE,1,3,7,3,4,3,10,714,2018-11-28,4,IM,390000,10,3.43,5.21,5.43,5.65,5.68,5.94,5.47,6.58,6.07,6.49,6.74,6.22,7.23,7.29,7.09,7.32,5.81,6.33,5.47,0,IMo,7.32
13,Hanguk,Sung-Kook Han,427619245,Technical,,25.99,5 시즌 1 주 6 일,1400,2,4,6,7,20,TRUE,1,5,6,6,5,2,10,627,2018-11-25,4,W,330000,25,3.82,6.53,6.62,6.6,6.7,6.58,6.54,6.74,6.76,6.88,6.91,6.88,6.83,6.8,6.93,6.75,5.56,0,5.6,6.12,IMtw,6.93
15,Hanguk,Man-Ok Lee,427619247,Unpredictable,Y×1,27.40,5 시즌 1 주 6 일,1900,5,4,5,7,20,TRUE,1,5,5,7,6,2,10,768,2018-11-28,4.5,W,350000,14,3.55,6.07,6.13,5.99,6.17,5.82,5.96,5.82,6.19,6.23,6.15,6.4,5.81,5.81,6.04,5.8,5.16,5.64,5.36,0,Wo,6.4
16,Hanguk,Dong-Shik Kim,427619248,,,23.34,5 시즌 1 주 6 일,1740,6,3,8,8,20,TRUE,1,3,3,6,4,7,12,761,2018-11-28,6,FW,410000,51,3.68,5.55,5.65,5.41,5.74,5.08,5.35,5.08,5.73,5.8,5.66,6.11,5.23,5.33,5.46,5.45,7.24,6.44,7.56,0,FWtw,7.56
