Number,Nat,Player,PlayerID,Special,Stat,Age,Since,TSI,LS,XP,Fo,Stm,Lo,MB,KP,DF,PM,WI,PS,SC,SP,Psico,Last,Rt,Pos,Wage,G,KPPos,WBdPos,WBPos,WBtmPos,WBoPos,CDPos,CDtwPos,CDoPos,WdPos,WPos,WtmPos,WoPos,IMPos,FWPos,FWdPos,FWtwPos,TDFPos,BPo,BPoV
1,Hanguk,,429263806,Head,,25.66,3 시즌 15 주 5 일,2400,2,5,7,7,20,TRUE,6,5,1,1,1,1,5,653,2018-10-31,4.5,KP,990000,0,7.52,5.68,5.3,5.37,4.93,5.46,5.64,4.77,4.39,3.84,3.77,3.69,3.6,3.17,3.17,3.17,0,KP,7.52
2,Hanguk,,429263807,,,31.43,3 시즌 15 주 5 일,150,7,6,7,6,20,TRUE,5,6,1,1,2,1,3,608,2018-10-28,4,KP,630000,0,6.88,6.09,5.65,5.73,5.2,5.84,6.05,5.01,4.63,3.98,3.89,3.85,3.71,3.25,3.37,3.24,0,KP,6.88
7,Hanguk,,429263812,Powerful,,35.65,3 시즌 15 주 5 일,100,2,6,8,5,20,TRUE,1,7,4,4,4,1,5,680,2018-10-31,4,W,290000,16,4.5,7.32,7.06,7.11,6.8,7.17,7.29,6.69,6.43,6.04,6,5.94,5.78,4.52,5.02,4.54,0,WBd,7.32
9,Hanguk,,429263815,Quick,,23.34,3 시즌 15 주 5 일,10220,3,3,8,8,20,TRUE,1,10,6,3,6,2,6,1016,2018-10-28,6,IM,1550000,6,5.65,10.23,9.72,10.04,9.23,10.46,10.39,9.72,8.74,8.11,8.16,7.68,8.32,6.02,6.96,5.7,0,CD,10.46
10,Hanguk,,429263816,Unpredictable,Y×1,27.108,3 시즌 15 주 5 일,5640,4,4,8,7,20,TRUE,1,9,7,2,3,2,4,930,2018-10-31,5.5,IM,870000,4,5.36,9.43,9.07,9.5,8.73,10.07,9.74,9.71,8.3,7.87,8.1,7.22,8.55,5.7,6.38,5.22,0,CD,10.07
11,Hanguk,,429263818,,,29.62,3 시즌 15 주 5 일,2260,2,4,6,6,20,TRUE,2,8,6,3,5,3,5,802,2018-10-31,4.5,IM,570000,9,4.92,7.49,7.24,7.47,7,7.78,7.64,7.48,6.77,6.48,6.56,6.16,6.79,5.33,5.83,5.06,0,CD,7.78
12,Hanguk,,429263819,Powerful,,28.59,3 시즌 15 주 5 일,1220,5,5,7,7,20,TRUE,1,5,7,3,5,3,4,703,2018-10-28,5,IM,410000,14,4.24,6.88,6.93,7.2,7.01,7.56,7.14,7.91,7.24,7.43,7.65,7.09,8.18,6.43,7.11,6.04,0,IMd,8.19
13,Hanguk,,429263820,Technical,Y×2,24.74,3 시즌 15 주 5 일,10570,2,4,7,8,20,TRUE,1,10,6,6,5,3,4,1029,2018-10-28,6.5,W,1430000,5,5.63,10.5,10.11,10.18,9.72,10.28,10.46,9.56,9.1,8.51,8.46,8.33,8.15,6.57,0,6.61,7,WBd,10.5
15,Hanguk,,429263823,,,26.8,3 시즌 15 주 5 일,13440,4,5,7,7,20,TRUE,1,10,6,7,6,2,4,1075,2018-10-28,7,W,1570000,18,5.57,10.44,10.1,10.09,9.75,10.08,10.34,9.39,9.19,8.65,8.55,8.59,8.08,6.37,7.04,6.52,0,WBd,10.44
16,Hanguk,,429263824,,Y×1,22.70,3 시즌 15 주 5 일,2090,5,3,7,8,20,TRUE,1,5,3,5,4,7,6,758,2018-10-28,6,FW,410000,24,4.09,6.48,6.36,6.24,6.22,6.08,6.34,5.72,5.97,5.72,5.6,5.86,5.35,6.86,6.13,7.04,0,FWtw,7.04
18,Hanguk,,429263827,Unpredictable,,29.34,3 시즌 15 주 5 일,1060,2,6,7,6,20,TRUE,1,4,5,3,6,6,3,611,2018-10-31,5.5,FW,300000,32,3.87,5.75,5.78,5.91,5.82,6.08,5.88,6.24,6.06,6.18,6.25,6.08,6.64,6.92,6.97,6.68,0,FWd,6.97
31,Česká republika,,397610518,Head,Inj 1,31.16,3 시즌 6 주 4 일,9560,3,7,7,6,20,FALSE,1,9,9,1,8,4,4,885,2018-10-31,7,IM,1632000,42,4.78,8.68,8.43,9.01,8.22,9.78,9.16,9.78,8.34,8.22,8.52,7.54,9.53,6.96,8.1,6.16,0,CD,9.78
43,Hanguk,,433466579,Technical,,20.83,2 시즌 12 주 4 일,10960,3,2,6,7,20,TRUE,1,11,4,4,3,3,3,1149,2018-10-31,4,W,1950000,0,4.96,9.13,8.52,8.63,7.91,8.78,9.07,7.65,6.98,6.06,5.97,5.8,5.64,4.56,0,4.58,4.59,WBd,9.13
59,Hanguk,,435660098,,Y×2,19.63,1 시즌 11 주 5 일,3270,5,2,6,7,20,TRUE,1,9,4,3,5,2,6,908,2018-10-28,4.5,CD,490000,5,4.47,7.83,7.36,7.52,6.9,7.72,7.85,6.91,6.37,5.73,5.67,5.52,5.57,4.38,4.88,4.28,0,CDtw,7.85
60,Hanguk,,435761718,,,19.50,1 시즌 10 주 4 일,1120,3,1,7,6,20,TRUE,1,4,5,3,3,7,5,720,2018-10-31,5,FW,370000,3,2.96,4.84,4.87,5,4.91,5.17,4.97,5.33,4.95,5.02,5.14,4.83,5.51,5.94,5.45,5.74,0,FW,5.94
61,Schweiz,,434542904,,Y×1,19.30,1 시즌 10 주 3 일,11120,5,3,7,7,15,FALSE,1,9,7,6,7,6,3,895,2018-10-28,5,CD,948000,6,4.33,8.84,8.62,8.73,8.41,8.88,8.89,8.53,8.16,7.87,7.88,7.72,7.91,7.24,7.47,7.13,0,CDtw,8.89
63,Hellas,,377705560,Unpredictable,,36.17,1 시즌 9 주 3 일,5750,6,9,6,4,14,FALSE,1,9,12,11,4,3,14,1180,2018-10-31,6,W,2208000,93,3.76,8.38,8.58,8.59,8.77,8.62,8.45,9.02,8.67,8.88,9.06,8.69,8.9,6.28,6.79,6.33,0,IMd,9.1
64,Hanguk,,435928762,,,19.41,1 시즌 8 주 5 일,5650,3,2,6,7,20,TRUE,1,10,4,3,2,2,3,1030,2018-10-31,5,CD,1130000,3,4.72,8.41,7.86,8.03,7.31,8.25,8.42,7.28,6.46,5.65,5.62,5.3,5.42,3.96,4.11,3.9,0,CDtw,8.42
67,Hanguk,,437472967,,Y×1,19.61,13 주 4 일,4650,3,1,5,6,20,TRUE,1,9,3,3,6,5,3,955,2018-10-31,4,WB,670000,0,3.59,6.39,5.94,6.02,5.48,6.13,6.35,5.29,5,4.37,4.25,4.28,4.15,4.33,4.35,4.29,0,WBd,6.39
68,Sverige,,436113582,,,18.47,10 주 2 일,6330,2,2,8,5,9,FALSE,1,8,7,6,6,5,3,804,2018-10-31,4,CD,564000,0,3.28,7.12,7.01,7.09,6.89,7.21,7.17,7.05,6.73,6.57,6.61,6.43,6.63,5.73,5.99,5.65,0,CD,7.21
69,Hanguk,,437963734,Unpredictable,,17.95,8 주 1 일,1490,6,1,8,6,8,FALSE,1,5,6,2,6,2,2,715,2018-10-31,2.5,CD,350000,0,2.3,4.6,4.56,4.85,4.55,5.22,4.86,5.4,4.78,4.86,5.02,4.56,5.55,3.84,4.76,3.43,0,IM,5.55
70,Hanguk,,438511569,,,18.64,5 주 4 일,260,6,1,7,6,20,TRUE,1,4,3,6,3,3,2,604,2018-10-21,3,WB,270000,0,2.96,4.97,4.97,4.77,4.96,4.5,4.78,4.34,4.76,4.67,4.55,4.88,4.06,4.28,4.13,4.6,0,WB,4.97
71,Schweiz,,436514697,Head,,18.85,5 주 0 일,3400,7,3,4,5,7,FALSE,1,6,8,7,4,5,2,818,2018-10-28,2.5,WB,516000,2,2.12,4.65,4.75,4.78,4.86,4.82,4.7,5.05,4.87,5.01,5.1,4.9,5.13,4.33,4.39,4.31,0,IMd,5.19
72,Hanguk,,438720926,Technical,,18.11,3 주 4 일,1530,5,1,6,5,20,TRUE,1,6,6,7,4,2,4,722,2018-10-31,3.5,WB,330000,0,3.02,5.86,5.89,5.83,5.91,5.74,5.81,5.74,5.78,5.76,5.76,5.77,5.48,4.32,0,4.46,4.64,WBo,5.91
73,Hanguk,,438852692,Technical,,18.50,2 주 1 일,330,6,1,6,6,20,TRUE,1,5,5,4,3,2,2,558,2018-10-28,2.5,CD,270000,1,2.98,5.17,5.14,5.21,5.12,5.3,5.23,5.3,5.02,4.98,5.04,4.84,5.05,3.92,0,3.87,4.2,CD,5.3
74,Hanguk,,436538053,,,18.81,1 주 5 일,7790,5,2,5,6,4,FALSE,9,4,1,1,1,1,8,928,2018-10-21,3.5,KP,1530000,0,6.05,2.68,2.45,2.5,2.23,2.55,2.66,2.13,1.9,1.57,1.53,1.48,1.42,1.16,1.16,1.16,0,KP,6.05
75,Hanguk,,438979409,Head,,18.47,5 일,420,4,1,6,5,20,TRUE,1,3,3,7,3,3,6,707,2018-10-28,2.5,WB,330000,0,2.36,3.93,4.03,3.78,4.12,3.45,3.72,3.45,4.04,4.09,3.96,4.37,3.45,3.82,3.65,4.19,0,Wo,4.37
98,Hanguk,,438902137,,,18.76,1 주 5 일,110,7,1,6,5,20,TRUE,1,3,4,5,3,3,6,501,,,,270000,0,2.36,3.81,3.92,3.84,4.02,3.74,3.77,3.88,4.05,4.16,4.16,4.23,4.02,3.86,3.86,3.97,0,Wo,4.23
99,Hanguk,,429263805,,,44.74,3 시즌 15 주 5 일,0,3,6,3,1,20,TRUE,0,0,0,0,0,0,0,340,,,,250000,0,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0,KP,0.97
