Number,Nat,Player,PlayerID,Special,Stat,Age,Since,TSI,LS,XP,Fo,Stm,Lo,MB,KP,DF,PM,WI,PS,SC,SP,Psico,Last,Rt,Pos,Wage,G,TC,PH,KPPos,WBPos,CDPos,WPos,IMPos,FWPos
2,Hanguk,Jee-Hoon Kim,428709461,,,21.84,2시즌 15주 0일,34610,3,2,7,8,20,TRUE,13,5,1,1,1,2,8,1313,2018-05-23,7,KP,5450000,0,,,12.04,4.99,5.15,3.47,3.26,3.17
3,Hanguk,Eun-Seok Hong,427619235,,,31.109,3시즌 6주 6일,260,5,5,6,6,20,TRUE,1,6,6,3,2,1,7,605,2018-05-27,4,CD,290000,9,,,4.1,6.61,7.09,6.25,6.61,4.5
4,Hanguk,Ji-Woon Lee,427619236,,Y×1,22.13,3시즌 6주 6일,1210,5,3,7,8,20,TRUE,1,7,4,3,5,2,7,718,2018-05-27,4,CD,390000,24,,,4.66,7.35,7.65,6.28,6.23,5.12
6,Hanguk,Jae-Shin Cha,427619238,,,29.106,3시즌 6주 6일,950,5,5,7,6,20,TRUE,1,7,3,6,3,2,10,742,2018-05-23,5,WB,380000,12,,,4.76,7.67,7.3,6.26,5.4,4.97
8,Hanguk,Hong-Chan Son,427619240,,,24.54,3시즌 6주 6일,1100,5,3,6,7,20,TRUE,1,5,6,5,5,1,8,630,2018-05-09,3.5,WB,310000,1,,,3.81,6.53,6.66,6.79,6.86,5.13
9,Hanguk,Hoi-Taek Park,427619241,Unpredictable,Y×1,22.61,3시즌 6주 6일,1420,2,3,8,8,20,TRUE,1,5,6,3,6,3,10,621,2018-05-23,5,IM,330000,10,,,4.24,6.9,7.42,7.24,7.81,6.45
10,Hanguk,Kwang-Eul Jeon,427619242,,,26.60,3시즌 6주 6일,1640,4,4,7,7,20,TRUE,1,6,7,3,3,2,9,763,2018-05-27,5,IM,430000,12,,,4.49,7.52,8.21,7.48,8.14,5.76
11,Hanguk,Kwang-Hwan Yun,427619243,,Y×1,29.27,3시즌 6주 6일,700,6,5,8,7,20,TRUE,2,5,6,2,5,2,9,615,2018-05-23,4,W,320000,12,,,5.07,6.78,7.47,7,7.72,5.86
12,Hanguk,Chan-Myung Lee,427619244,,Y×1,28.36,3시즌 6주 6일,840,3,4,6,7,20,TRUE,1,3,7,3,4,3,8,727,2018-05-23,4.5,IM,410000,8,,,3.36,5.39,5.9,6.46,7.26,5.77
13,Hanguk,Sung-Kook Han,427619245,Technical,,24.24,3시즌 6주 6일,1640,2,4,7,8,20,TRUE,1,5,6,6,5,2,9,628,2018-05-27,5.5,W,330000,18,,,4.27,7.39,7.35,7.68,7.59,6.21
14,Hanguk,Se-Jong Cho,427619246,,,31.24,3시즌 6주 6일,450,4,5,8,6,20,TRUE,1,5,5,6,3,3,8,596,2018-05-23,4.5,WB,280000,18,,,4.3,7.14,6.96,6.98,6.7,5.99
15,Hanguk,Man-Ok Lee,427619247,Unpredictable,,25.77,3시즌 6주 6일,2120,5,4,6,7,20,TRUE,1,5,5,7,6,2,9,770,2018-05-23,5,W,350000,13,,,3.94,6.78,6.44,6.9,6.43,5.71
16,Hanguk,Dong-Shik Kim,427619248,,Y×1,21.71,3시즌 6주 6일,1500,6,3,6,8,20,TRUE,1,3,3,6,4,7,10,751,2018-05-23,5.5,FW,410000,24,,,3.29,5.06,4.55,5.19,4.77,6.49
18,Hanguk,Kwang-Rae Kim,427619250,Head,,29.31,3시즌 6주 6일,780,3,5,6,6,20,TRUE,1,2,5,3,6,6,7,612,2018-05-16,5,FW,300000,32,,,3.19,4.56,4.77,5.63,6.19,6.65
23,Belgium,Mathias Piron,428125893,Technical,,34.110,3시즌 1주 6일,80,6,6,7,5,20,FALSE,2,5,5,5,5,1,8,490,2018-05-27,4.5,W,324000,10,,,4.2,6.03,6.03,6.03,5.9,4.61
25,Polska,Pylyp Nagorniak,406205227,,Y×1,29.71,3시즌 1주 6일,1620,5,3,7,6,20,FALSE,1,6,6,3,6,3,9,658,2018-05-23,5,IM,432000,8,,,3.79,6.56,7.1,6.51,6.99,5.6
31,Hanguk,Se-Hee Park,430626797,,,21.6,2시즌 5주 6일,1250,4,2,6,7,20,TRUE,1,2,5,5,3,7,8,729,2018-05-27,5,FW,390000,21,,,2.81,4.56,4.44,5.44,5.67,6.53
34,Sverige,Axel Hermansson,422526443,,Y×1,30.93,2시즌 3주 5일,1600,5,5,7,6,17,FALSE,2,6,7,2,6,2,9,703,2018-05-27,4.5,IM,492000,13,,,4.5,6.6,7.44,6.8,7.64,5.41
38,Latvija,Artem Skurlatov,409641598,,,28.99,2시즌 2일,2200,5,5,5,7,16,FALSE,1,8,6,3,4,3,4,805,2018-05-23,4,CD,732000,8,,,3.61,6.31,6.82,5.53,5.82,4.4
