Number,Nat,Player,PlayerID,Special,Stat,Age,Since,TSI,LS,XP,Fo,Stm,Lo,MB,KP,DF,PM,WI,PS,SC,SP,Psico,Last,Rt,Pos,Wage,G,KPPos,WBdPos,WBPos,WBtmPos,WBoPos,CDPos,CDtwPos,CDoPos,WdPos,WPos,WtmPos,WoPos,IMdPos,IMPos,IMtwPos,IMoPos,FWPos,FWdPos,FWtwPos,TDFPos,BPo,BPoV
1,Hanguk,Jong-Kyung Ji,429263806,Head,,25.92,4 시즌 3 주 3 일,1990,2,5,5,7,20,TRUE,6,5,1,1,1,1,5,654,2018-11-21,3.5,KP,990000,0,6.57,4.96,4.63,4.69,4.3,4.77,4.93,4.17,3.84,3.35,3.3,3.23,3.35,3.14,3.16,2.93,2.77,2.77,2.77,0,KP,6.57
7,Hanguk,Ang-Ri Choi,429263812,Powerful,,35.91,4 시즌 3 주 3 일,80,2,6,7,5,20,TRUE,1,7,4,4,4,1,5,680,2018-11-21,3.5,W,290000,17,4.35,7.08,6.83,6.87,6.57,6.93,7.05,6.47,6.22,5.84,5.8,5.75,5.79,5.59,5.69,5.38,4.37,4.86,4.39,0,WBd,7.08
9,Hanguk,Seung-Min Lee,429263815,Quick,,23.60,4 시즌 3 주 3 일,10540,3,4,8,8,20,TRUE,1,10,6,3,6,2,6,1022,2018-11-25,6,IM,1550000,8,5.85,10.44,9.93,10.25,9.44,10.68,10.6,9.93,8.95,8.31,8.36,7.88,8.84,8.53,8.41,8.2,6.22,7.16,5.89,0,CD,10.68
10,Hanguk,Jung-Jae Lee,429263816,Unpredictable,,28.22,4 시즌 3 주 3 일,4940,4,4,7,7,20,TRUE,1,9,7,2,3,2,4,910,2018-11-25,6,IM,990000,6,5.27,9.26,8.91,9.33,8.58,9.89,9.57,9.54,8.15,7.73,7.96,7.09,8.75,8.4,8.16,8.01,5.6,6.27,5.13,0,CD,9.89
11,Hanguk,Ryung-Tae Kim,429263818,,,29.88,4 시즌 3 주 3 일,2090,2,4,5,6,20,TRUE,2,8,6,3,5,3,5,802,2018-10-31,4.5,IM,570000,9,4.5,6.85,6.62,6.83,6.4,7.12,6.99,6.83,6.19,5.92,6,5.63,6.36,6.21,6.08,6.03,4.87,5.33,4.63,0,CD,7.12
12,Hanguk,Jung-Eum Yun,429263819,Powerful,,28.85,4 시즌 3 주 3 일,1300,5,5,8,7,20,TRUE,1,5,7,3,5,3,4,704,2018-11-25,5,IM,410000,15,4.4,7.14,7.19,7.48,7.28,7.85,7.41,8.21,7.51,7.71,7.93,7.36,8.5,8.48,8.26,8.44,6.67,7.38,6.27,0,IMd,8.5
13,Hanguk,Hong-Woon Kim,429263820,Technical,,24.100,4 시즌 3 주 3 일,10490,2,4,7,8,20,TRUE,1,10,6,6,5,3,4,1027,2018-11-25,6.5,W,1430000,8,5.65,10.55,10.16,10.23,9.77,10.33,10.51,9.61,9.14,8.55,8.5,8.37,8.52,8.19,8.32,7.84,6.6,0,6.64,7.03,WBd,10.55
15,Hanguk,Bong-Joo Kim,429263823,,,26.34,4 시즌 3 주 3 일,12370,4,5,6,7,20,TRUE,1,10,6,7,6,2,4,1062,2018-11-25,6,W,1570000,19,5.3,9.93,9.6,9.6,9.27,9.59,9.83,8.93,8.74,8.22,8.13,8.17,7.96,7.68,7.91,7.39,6.06,6.7,6.2,0,WBd,9.93
16,Hanguk,Kil-Sung Park,429263824,,Y×1,22.96,4 시즌 3 주 3 일,2100,5,3,7,8,20,TRUE,1,5,3,5,4,7,6,759,2018-11-21,6,FW,410000,27,4.1,6.51,6.38,6.26,6.24,6.1,6.36,5.74,5.99,5.74,5.62,5.88,5.4,5.37,5.41,5.36,6.88,6.15,7.06,0,FWtw,7.06
18,Hanguk,Min-Ho Ji,429263827,Unpredictable,,29.60,4 시즌 3 주 3 일,1080,2,6,7,6,20,TRUE,1,4,5,3,6,6,3,612,2018-11-25,5.5,FW,300000,34,3.87,5.75,5.78,5.91,5.82,6.08,5.88,6.24,6.06,6.18,6.25,6.08,6.54,6.64,6.43,6.76,6.92,6.97,6.68,0,FWd,6.97
31,Česká republika,,397610518,Head,,31.42,3 시즌 10 주 2 일,10470,3,7,7,6,20,FALSE,1,9,9,1,8,4,4,890,2018-11-21,6.5,IM,1632000,43,4.91,8.9,8.65,9.24,8.43,10.03,9.39,10.03,8.56,8.44,8.74,7.74,9.88,9.78,9.26,9.65,7.14,8.31,6.31,0,CD,10.03
