Name,Age,TSI,PayPerWeek,Form,Stamina,Special,Experience,Leadership,Loyalty,Keeper,Defending,Playmaking,Winger,Passing,Scoring,SetPieces
1. Jee-Seung Oh,21세 52일,2430,990000,5,6,,3,4,20,6,3,1,1,1,1,6
2. Myung-Jin Min,27세 103일,2240,930000,5,7,,4,1,20,6,4,1,1,2,1,2
3. Eun-Seok Hong,28세 86일,560,300000,6,6,,4,5,20,1,6,6,3,2,2,4
4. Ji-Woon Lee,18세 102일,870,390000,4,7,,2,5,20,1,7,4,3,5,2,5
5. Jang-Soo Choi,30세 36일,170,280000,3,6,빠름,5,5,20,1,6,4,4,2,1,7
6. Jae-Shin Cha,26세 83일,1140,390000,6,6,,4,5,20,1,7,3,6,3,2,6
7. In-Moo Byon,31세 71일,550,300000,5,6,,5,1,20,2,6,5,5,5,3,6
8. Hong-Chan Son,21세 31일,1010,310000,6,6,,3,5,20,1,5,6,5,5,1,4
9. Hoi-Taek Park,19세 38일,720,330000,3,5,예측못함,2,2,20,1,5,6,3,6,3,6
10. Kwang-Eul Jeon,23세 37일,1350,430000,6,6,,3,4,20,1,6,7,3,3,2,5
11. Kwang-Hwan Yun,26세 4일,810,330000,6,6,,3,6,20,2,5,6,3,5,2,6
12. Chan-Myung Lee,25세 13일,970,410000,6,7,,3,3,20,1,3,7,3,4,3,4
13. Sung-Kook Han,21세 1일,1200,330000,5,6,공 마술사,2,2,20,1,5,6,6,5,2,5
14. Se-Jong Cho,28세 1일,740,290000,5,6,,4,4,20,1,5,5,6,3,4,4
15. Man-Ok Lee,22세 54일,1860,350000,6,6,예측못함,3,5,20,1,5,5,7,6,2,4
16. Dong-Shik Kim,18세 48일,960,410000,4,6,,2,6,20,1,3,3,6,4,7,6
17. Seung-Mee Kim,33세 99일,210,310000,6,6,예측못함,6,2,20,1,3,4,4,4,7,5
18. Kwang-Rae Kim,26세 8일,1070,310000,6,6,헤딩,3,3,20,1,2,5,3,6,6,2
