Number,Nat,Player,PlayerID,Special,Stat,Age,Since,TSI,LS,XP,Fo,Stm,Lo,MB,KP,DF,PM,WI,PS,SC,SP,Psico,Last,Rt,Pos,Wage,G,TC,PH,KPPos,WBPos,CDPos,WPos,IMPos,FWPos
1,Hanguk,Jong-Kyung Ji,429263806,Head,,22.77,1시즌 1주 1일,2100,2,3,5,7,20,TRUE,6,3,1,1,1,1,5,663,2017-12-06,4,KP,990000,0,,,5.81,3.43,3.5,2.8,2.69,2.51
2,Hanguk,Soon Jung,429263807,,,28.54,1시즌 1주 1일,80,7,5,6,7,20,TRUE,5,5,1,1,3,1,3,309,2017-12-10,3.5,KP,770000,0,,,6.41,4.95,5.1,3.74,3.53,3.24
3,Hanguk,Dong-Ho Lee,429263808,,Y×1,29.108,1시즌 1주 1일,500,4,5,7,6,20,TRUE,1,6,5,2,2,2,4,631,2017-12-10,4,W,300000,4,,,4.49,6.85,7.42,6.18,6.58,4.91
4,Hanguk,Sung-Bum Hyun,429263809,Technical,Inj 1,19.34,1시즌 1주 1일,2690,2,2,5,7,20,TRUE,1,9,4,3,4,2,5,916,2017-12-10,4.5,WB,730000,1,,,4.13,6.81,7.13,5.22,5.07,3.92
5,Hanguk,Pyung-Jae Song,429263810,Powerful 있음,Y×1,31.92,1시즌 1주 1일,490,3,5,7,6,20,TRUE,1,7,4,4,3,1,7,699,2017-12-10,4,W,310000,4,,,4.66,7.37,7.49,6.21,5.93,4.54
6,Hanguk,Yong-Seo Kwon,429263811,,,27.64,1시즌 1주 1일,4050,3,4,7,7,20,TRUE,1,9,3,6,4,2,6,948,2017-12-06,5,WB,570000,3,,,5.27,8.77,8.48,6.67,5.69,5.09
7,Hanguk,Ang-Ri Choi,429263812,Powerful 있음,,32.76,1시즌 1주 1일,750,2,5,6,6,20,TRUE,2,7,6,5,5,3,6,681,2017-12-06,4.5,W,320000,2,,,4.86,7.29,7.49,6.87,6.89,5.71
8,Hanguk,Min-Gyu Jung,429263814,,,22.38,1시즌 1주 1일,1620,1,3,5,7,20,TRUE,1,7,6,4,4,2,5,750,2017-12-10,3.5,CD,330000,2,,,3.85,6.58,6.92,6.1,6.25,4.67
9,Hanguk,Seung-Min Lee,429263815,Quick,,20.45,1시즌 1주 1일,2260,3,2,6,7,20,TRUE,1,7,6,3,6,2,6,734,2017-12-10,4,CD,330000,0,,,3.99,6.8,7.33,6.41,6.76,5.05
10,Hanguk,Jung-Jae Lee,429263816,Unpredictable,Y×1,25.7,1시즌 1주 1일,3090,4,3,6,7,20,TRUE,1,8,7,2,3,2,4,839,2017-12-10,4.5,WB,570000,1,,,4.53,7.68,8.57,6.93,7.61,5.1
11,Hanguk,Ryung-Tae Kim,429263818,,,26.73,1시즌 1주 1일,2170,2,3,6,7,20,TRUE,2,7,6,3,5,3,5,757,2017-12-06,4,CD,350000,2,,,4.88,7.12,7.66,6.65,7.04,5.57
12,Hanguk,Jung-Eum Yun,429263819,Powerful 있음,,25.70,1시즌 1주 1일,1090,5,4,6,7,20,TRUE,1,4,7,3,5,3,4,712,2017-12-06,4.5,IM,410000,5,,,3.65,5.95,6.51,6.77,7.53,5.98
13,Hanguk,Hong-Woon Kim,429263820,Technical,Y×1 Bru,21.85,1시즌 1주 1일,3240,2,3,7,8,20,TRUE,1,7,6,6,5,3,4,751,2017-12-10,5,WB,330000,1,,,4.42,7.91,7.95,7.46,7.3,6.11
15,Hanguk,Bong-Joo Kim,429263823,,Inj 1,23.19,1시즌 1주 1일,4110,4,3,7,7,20,TRUE,1,7,6,7,6,2,4,755,2017-12-10,5,WB,410000,4,,,4.61,8.42,8.28,8.06,7.66,6.24
16,Hanguk,Kil-Sung Park,429263824,,,19.81,1시즌 1주 1일,1420,5,2,7,7,20,TRUE,1,3,3,5,4,7,6,765,2017-12-10,5.5,FW,410000,10,,,3.19,4.85,4.5,4.97,4.73,6.39
17,Hanguk,Seung-Ok Lee,429263826,Technical,Y×2,34.30,1시즌 1주 1일,50,5,7,5,5,20,TRUE,1,2,4,3,3,6,5,590,2017-12-10,4.5,FW,290000,9,,,2.92,3.94,4.02,4.45,4.76,5.35
18,Hanguk,Min-Ho Ji,429263827,Unpredictable,,26.45,1시즌 1주 1일,1320,2,5,7,7,20,TRUE,1,3,5,3,6,6,3,637,2017-12-10,4,IM,310000,16,,,3.74,5.5,5.78,6.3,6.85,7.25
28,Portugal,Baltasar Vieira,431142669,,Bru,28.51,8주 6일,950,3,5,5,6,9,FALSE,1,5,6,6,4,4,3,613,2017-11-15,4,W,372000,2,,,2.64,5.1,5.07,5.26,5.25,4.67
29,France,Vincent Wallois,403086843,Unpredictable,Inj 1,28.38,8주 5일,2780,3,3,8,7,9,FALSE,1,6,8,4,6,4,3,792,2017-12-03,5,IM,660000,9,,,3.38,6.88,7.54,7.4,8.18,6.35
31,Česká republika,Leoš Broukal,397610518,Head,Y×1,28.27,8주 0일,16770,3,6,7,6,8,FALSE,1,9,9,2,8,5,4,904,2017-12-06,5.5,IM,1980000,26,,,4.33,8.3,9.54,8.1,9.31,7.08
32,Deutschland,Toktamış Batmaz,413755690,,,23.106,8주 1일,6720,5,2,5,7,8,FALSE,1,6,8,2,8,3,3,881,2017-12-10,3,CD,804000,4,,,2.59,5.21,6.06,5.76,6.73,4.81
33,Hanguk,Dong-Hyeon Lee,431740152,,,17.86,7주 0일,140,5,1,7,6,20,TRUE,1,4,4,2,2,4,1,415,2017-12-06,2.5,CD,250000,0,,,2.95,4.49,4.82,4.29,4.65,4.32
36,Hanguk,Ki-Bum Lee,432028611,,,18.31,3주 6일,70,7,1,6,5,20,TRUE,1,3,3,3,4,3,6,409,2017-12-06,2.5,W,250000,0,,,2.48,3.63,3.63,3.7,3.71,3.76
38,Hanguk,In-Ho Ryu,432215232,Quick,,18.86,1주 6일,90,2,1,6,5,20,TRUE,1,3,4,2,2,5,5,507,2017-12-06,3.5,FW,250000,0,,,2.36,3.47,3.74,3.61,4,4.09
39,Hanguk,Tae-Hong Lee,432319339,,,18.10,5일,30,4,1,6,5,20,TRUE,1,2,3,3,2,4,3,403,2017-12-10,1.5,IM,250000,0,,,2.14,3,2.97,3.24,3.31,3.64
99,Hanguk,In-Guh Park,429263805,,,41.85,1시즌 1주 1일,0,4,6,3,1,20,TRUE,0,0,0,0,0,0,0,340,,,,250000,0,,,0.97,0.97,0.97,0.97,0.97,0.97
