Number,Nat,Player,PlayerID,Special,Stat,Age,Since,TSI,LS,XP,Fo,Stm,Lo,MB,KP,DF,PM,WI,PS,SC,SP,Psico,Last,Rt,Pos,Wage,G,KPPos,WBdPos,WBPos,WBtmPos,WBoPos,CDPos,CDtwPos,CDoPos,WdPos,WPos,WtmPos,WoPos,IMPos,FWPos,FWdPos,FWtwPos,TDFPos,BPo,BPoV
2,Hanguk,,428709461,,,23.20,4 시즌 6 주 0 일,60190,3,2,7,8,20,TRUE,15,5,1,1,1,2,10,1528,2018-10-31,8.5,KP,19050000,0,13.4,5.37,4.99,5.06,4.6,5.15,5.34,4.43,4.04,3.47,3.4,3.32,3.26,3.17,2.98,3.16,0,KP,13.4
4,Hanguk,,427619236,,,23.61,4 시즌 14 주 0 일,1240,5,3,7,8,20,TRUE,1,7,4,3,5,2,9,722,2018-10-31,4.5,CD,390000,26,4.66,7.67,7.34,7.48,7.02,7.65,7.71,7.11,6.71,6.28,6.25,6.11,6.22,5.12,5.68,5,0,CDtw,7.71
6,Hanguk,,427619238,,Y×2,31.42,4 시즌 14 주 0 일,410,5,6,4,6,20,TRUE,1,7,3,6,3,1,11,703,2018-11-04,3.5,WB,350000,24,3.51,5.81,5.61,5.49,5.39,5.34,5.64,4.84,4.96,4.58,4.46,4.67,3.94,3.38,3.53,3.63,0,WBd,5.81
8,Hanguk,,427619240,,Y×1,25.102,4 시즌 14 주 0 일,1260,5,4,8,7,20,TRUE,1,5,6,5,5,1,10,644,2018-11-04,4.5,W,310000,8,4.26,7.13,7.19,7.25,7.26,7.34,7.2,7.51,7.35,7.47,7.54,7.38,7.54,5.68,6.54,5.62,0,IMtw,7.63
10,Hanguk,,427619242,,Y×1,27.108,4 시즌 14 주 0 일,1520,4,5,6,7,20,TRUE,1,6,7,3,3,2,11,758,2018-11-04,4.5,IM,430000,18,4.18,6.96,6.93,7.19,6.91,7.55,7.2,7.71,6.87,6.89,7.11,6.48,7.48,5.33,5.89,5,0,Cdo,7.71
11,Hanguk,,427619243,,Y×1,30.75,4 시즌 14 주 0 일,510,6,5,7,6,20,TRUE,2,5,6,2,5,2,10,611,2018-11-04,3.5,W,310000,14,4.66,6.26,6.23,6.5,6.21,6.87,6.51,7.03,6.37,6.43,6.61,6.11,7.09,5.38,6.15,5,0,IMd,7.12
12,Hanguk,,427619244,,Y×2,29.84,4 시즌 14 주 0 일,720,3,5,7,6,20,TRUE,1,3,7,3,4,3,10,714,2018-10-31,5,IM,390000,9,3.7,5.61,5.86,6.09,6.12,6.4,5.9,7.1,6.55,7,7.26,6.7,7.86,6.27,6.82,5.89,0,IMo,7.89
13,Hanguk,,427619245,Technical,,25.72,4 시즌 14 주 0 일,1200,2,4,4,7,20,TRUE,1,5,6,6,5,2,10,649,2018-11-04,3.5,W,330000,25,3.12,5.33,5.4,5.39,5.47,5.37,5.34,5.5,5.52,5.61,5.64,5.61,5.55,4.53,0,4.57,4.99,IMtw,5.66
15,Hanguk,,427619247,Unpredictable,Y×1,27.13,4 시즌 14 주 0 일,2100,5,4,6,7,20,TRUE,1,5,5,7,6,2,10,767,2018-10-31,5,W,350000,13,3.9,6.65,6.72,6.57,6.77,6.38,6.54,6.38,6.79,6.83,6.74,7.02,6.37,5.65,6.19,5.87,0,Wo,7.02
16,Hanguk,,427619248,,Y×2,23.7,4 시즌 14 주 0 일,1720,6,3,7,8,20,TRUE,1,3,3,6,4,7,12,764,2018-11-04,5.5,FW,410000,44,3.54,5.34,5.44,5.2,5.53,4.89,5.15,4.89,5.52,5.58,5.45,5.88,5.13,6.97,6.2,7.27,0,FWtw,7.27
25,Polska,,406205227,,,31.7,4 시즌 8 주 6 일,920,5,3,6,6,20,FALSE,1,6,6,3,6,3,11,605,2018-10-31,4,IM,396000,12,3.45,6.06,5.97,6.18,5.89,6.46,6.23,6.46,5.96,5.92,6.03,5.69,6.36,5.1,5.74,4.81,0,CD,6.46
31,Hanguk,,430626797,,,22.54,3 시즌 13 주 0 일,1220,4,3,6,8,20,TRUE,1,2,5,5,3,7,9,705,2018-11-04,4.5,FW,390000,28,3.03,4.51,4.77,4.72,5.04,4.66,4.53,5.16,5.29,5.66,5.74,5.7,5.89,6.75,6.16,6.76,0,FWtw,6.76
34,Sverige,,422526443,,,32.29,3 시즌 10 주 6 일,720,5,5,7,5,20,FALSE,2,6,6,2,6,2,9,607,2018-09-23,4,IM,420000,18,4.2,6.03,5.91,6.19,5.81,6.55,6.25,6.55,5.9,5.85,5.99,5.55,6.42,4.78,5.61,4.4,0,CD,6.55
40,Perú,,416567166,,,25.97,3 시즌 6 주 6 일,8580,6,2,6,7,20,FALSE,1,10,8,2,4,4,9,1000,2018-10-28,5.5,CD,1764000,5,4.29,8.41,8.06,8.51,7.73,9.12,8.74,8.8,7.36,6.97,7.21,6.3,7.79,5.45,5.94,4.9,0,CD,9.12
48,Hanguk,,432205385,Technical,,21.68,3 시즌 0 주 6 일,1210,6,2,6,7,20,TRUE,1,5,4,5,6,5,6,623,2018-10-31,4,FW,290000,14,3.48,5.77,5.71,5.66,5.65,5.59,5.7,5.43,5.63,5.55,5.47,5.66,5.35,5.79,0,5.87,5.86,FWtw,5.87
52,Hanguk,,433454317,Unpredictable,,20.36,2 시즌 13 주 1 일,5360,4,2,6,7,20,TRUE,1,7,7,7,4,5,7,781,2018-11-04,4,CD,550000,17,3.97,7.62,7.62,7.62,7.62,7.62,7.62,7.62,7.43,7.39,7.44,7.29,7.31,6.5,6.48,6.55,0,CD,7.62
55,Hanguk,,433728993,,,21.38,2 시즌 10 주 1 일,2230,3,2,6,7,20,TRUE,1,5,6,4,3,7,6,737,2018-10-31,4.5,FW,410000,13,3.58,6.09,6.12,6.25,6.15,6.42,6.22,6.58,6.13,6.19,6.33,5.96,6.64,6.68,6.25,6.5,0,IMd,6.68
61,Oceania,,430364099,Powerful,,20.101,2 시즌 4 주 6 일,6550,3,3,7,7,17,FALSE,1,8,5,7,7,2,7,875,2018-10-31,4,WB,708000,2,4.27,8.38,8.16,8.05,7.92,7.92,8.22,7.38,7.6,7.24,7.08,7.37,6.56,5.51,6.22,5.74,0,WBd,8.38
65,Hanguk,,434942107,,,19.64,2 시즌 0 주 1 일,3120,3,1,7,6,20,TRUE,1,6,5,4,7,4,5,798,2018-10-31,4.5,W,390000,4,3.47,6.17,6.05,6.14,5.94,6.26,6.22,6.09,5.96,5.85,5.84,5.8,5.95,5.53,5.99,5.4,0,CD,6.26
