Number,Nat,Player,PlayerID,Special,Stat,Age,Since,TSI,LS,XP,Fo,Stm,Lo,MB,KP,DF,PM,WI,PS,SC,SP,Psico,Last,Rt,Pos,Wage,G,TC,PH,KPPos,WBPos,CDPos,WPos,IMPos,FWPos
1,Hanguk,Jee-Seung Oh,427619233,,,22.4,13주 1일,6810,4,3,7,6,20,TRUE,8,3,1,1,1,1,6,852,2017-08-06,4.5,KP,1970000,0,,,8,3.95,4.03,3.22,3.1,2.89
2,Hanguk,Jee-Hoon Kim,428709461,,,19.13,5주 1일,2970,3,1,7,5,20,TRUE,6,5,1,1,1,2,2,689,2017-07-30,3.5,KP,930000,0,,,6.24,4.17,4.32,2.79,2.6,2.52
3,Hanguk,Eun-Seok Hong,427619235,,,29.38,13주 1일,460,5,4,6,6,20,TRUE,1,6,6,3,2,2,4,614,2017-08-06,3.5,CD,300000,1,,,4.04,6.58,7.07,6.22,6.61,4.79
4,Hanguk,Ji-Woon Lee,427619236,,,19.54,13주 1일,1070,5,2,6,6,20,TRUE,1,7,4,3,5,2,5,735,2017-08-06,3.5,CD,390000,3,,,3.95,6.33,6.61,5.38,5.34,4.35
5,Hanguk,Jang-Soo Choi,427619237,Quick,,30.100,13주 1일,200,5,5,5,6,20,TRUE,1,6,4,4,2,1,7,603,2017-06-22,2,CD,280000,0,,,3.72,5.79,5.85,5.04,4.85,3.71
6,Hanguk,Jae-Shin Cha,427619238,,Y×1,27.35,13주 1일,880,5,5,4,7,20,TRUE,1,7,3,6,3,2,6,767,2017-08-06,3,WB,390000,5,,,3.61,5.82,5.54,4.74,4.1,3.77
7,Hanguk,In-Moo Byon,427619239,,,32.23,13주 1일,470,1,6,7,6,20,TRUE,2,6,5,5,5,3,6,595,2017-07-30,3.5,CD,300000,4,,,5.09,7.25,7.29,6.9,6.77,6
8,Hanguk,Hong-Chan Son,427619240,,Y×1,21.95,13주 1일,1120,5,3,7,7,20,TRUE,1,5,6,5,5,1,4,624,2017-08-06,3.5,WB,310000,0,,,4.02,6.9,7.04,7.16,7.24,5.41
9,Hanguk,Hoi-Taek Park,427619241,Unpredictable,,19.102,13주 1일,1010,2,2,5,6,20,TRUE,1,5,6,3,6,3,6,648,2017-08-06,4,IM,330000,3,,,3.04,5.05,5.44,5.3,5.74,4.71
10,Hanguk,Kwang-Eul Jeon,427619242,,,23.101,13주 1일,1430,4,3,6,7,20,TRUE,1,6,7,3,3,2,5,748,2017-08-06,4.5,IM,430000,2,,,3.96,6.73,7.36,6.69,7.29,5.12
11,Hanguk,Kwang-Hwan Yun,427619243,,,26.68,13주 1일,740,6,3,5,6,20,TRUE,2,5,6,3,5,2,6,661,2017-07-30,3.5,IM,330000,2,,,3.87,5.39,5.81,5.59,6,4.6
12,Hanguk,Chan-Myung Lee,427619244,,,25.77,13주 1일,860,3,4,5,7,20,TRUE,1,3,7,3,4,3,4,749,2017-08-06,3,FW,410000,2,,,3.08,4.95,5.42,5.93,6.67,5.3
13,Hanguk,Sung-Kook Han,427619245,Technical,,21.65,13주 1일,1280,2,3,5,7,20,TRUE,1,5,6,6,5,2,5,629,2017-08-06,4,W,330000,7,,,3.39,5.97,5.94,6.21,6.14,4.99
14,Hanguk,Se-Jong Cho,427619246,,,28.65,13주 1일,800,4,5,6,6,20,TRUE,1,5,5,6,3,4,4,613,2017-07-30,3.5,WB,290000,8,,,3.89,6.46,6.3,6.32,6.1,5.77
15,Hanguk,Man-Ok Lee,427619247,Unpredictable,Y×1,23.6,13주 1일,2280,5,3,7,7,20,TRUE,1,5,5,7,6,2,4,762,2017-07-30,5,W,350000,7,,,4.03,7.07,6.71,7.19,6.69,5.92
16,Hanguk,Dong-Shik Kim,427619248,,,19.0,13주 1일,1280,6,2,5,6,20,TRUE,1,3,3,6,4,7,6,775,2017-08-06,4.5,FW,410000,12,,,2.69,4.23,3.78,4.34,3.97,5.47
17,Hanguk,Seung-Mee Kim,427619249,Unpredictable,,34.51,13주 1일,60,2,6,5,5,20,TRUE,1,2,4,4,4,7,5,680,2017-07-30,4,FW,300000,12,,,2.78,3.91,3.85,4.49,4.66,5.65
18,Hanguk,Kwang-Rae Kim,427619250,Head,Y×2,26.72,13주 1일,880,3,4,4,7,20,TRUE,1,2,5,3,6,6,2,631,2017-07-30,4,FW,310000,9,,,2.53,3.65,3.82,4.52,4.99,5.37
19,Hanguk,Jin-Cheul Cho,429191748,Quick,,17.54,0일,70,4,1,6,5,20,TRUE,1,2,3,5,2,3,4,507,,,,250000,0,,,2.14,3.3,2.97,3.56,3.28,3.51
20,Brasil,Jader da Matta,427827635,,,32.29,8주 0일,720,4,6,7,6,8,FALSE,2,6,6,5,6,2,5,590,2017-07-30,3.5,WB,384000,1,,,4.09,6.46,6.63,6.45,6.5,5.04
21,Belgium,Jitse Haes,428112207,,Y×1,31.70,8주 0일,890,4,5,6,6,8,FALSE,2,6,6,5,6,2,5,596,2017-07-30,3,CD,384000,2,,,3.73,5.94,6.1,5.93,5.98,4.62
22,Nederland,Keith Esser,428060480,Quick,,31.87,8주 0일,890,5,6,5,6,8,FALSE,2,6,5,6,6,3,6,596,2017-07-30,3.5,W,372000,1,,,3.52,5.54,5.43,5.32,5.05,4.53
23,Belgium,Mathias Piron,428125893,Technical,,32.39,8주 0일,500,6,5,4,6,8,FALSE,2,6,6,6,6,3,6,590,2017-08-06,3,W,372000,2,,,3.02,4.95,4.95,4.95,4.87,4.11
24,Canada,Philippe Morel,425173438,Unpredictable,,33.53,7주 6일,320,5,5,7,5,8,FALSE,2,6,5,5,6,2,6,590,2017-08-06,4,W,360000,3,,,3.85,5.94,5.98,5.68,5.53,4.51
25,Polska,Pylyp Nagorniak,406205227,,Y×2,27.0,8주 0일,1820,5,3,6,5,8,FALSE,1,6,7,3,6,3,6,725,2017-08-06,3.5,IM,444000,2,,,2.77,5.34,5.93,5.53,6.13,4.57
26,Türkiye,Türker Arkan,425734621,,Y×1,33.17,8주 0일,670,1,6,7,6,8,FALSE,2,6,7,5,6,2,5,680,2017-07-30,4.5,IM,456000,11,,,4.01,6.54,6.84,6.78,7.04,5.21
27,Hanguk,Joon Yuk,429133218,,,18.73,4일,170,3,1,6,5,20,TRUE,1,5,4,2,4,3,3,498,,,,250000,0,,,2.8,4.36,4.69,4.03,4.27,3.71
28,Hanguk,Kyoo-Poong Jeon,428976501,,,18.67,2주 1일,40,3,1,6,5,20,TRUE,1,3,3,3,2,4,4,406,2017-07-30,2,CD,250000,1,,,2.36,3.45,3.45,3.37,3.4,3.64
29,Türkiye,Gökhan Menderes,426926338,,,19.35,0일,2860,4,1,6,4,1,FALSE,7,3,2,2,1,1,13,699,2017-07-30,3.5,KP,1428000,0,,,4.16,1.84,1.87,1.49,1.41,1.01
99,Hanguk,Je-Min Jung,427619232,,,41.16,13주 1일,0,4,8,4,1,20,TRUE,0,0,0,0,0,0,2,440,,,,250000,0,,,1.2,1.2,1.2,1.2,1.2,1.2
