Name,Age,TSI,PayPerWeek,Form,Stamina,Special,Experience,Leadership,Loyalty,Keeper,Defending,Playmaking,Winger,Passing,Scoring,SetPieces
1. Jee-Seung Oh,21세 59일,2670,990000,5,6,,3,4,20,6,3,1,1,1,1,6
2. Myung-Jin Min,27세 110일,1950,930000,4,7,,5,1,20,6,4,1,1,2,1,2
3. Eun-Seok Hong,28세 93일,500,300000,5,6,,4,5,20,1,6,6,3,2,2,4
4. Ji-Woon Lee,18세 109일,910,390000,5,6,,2,5,20,1,7,4,3,5,2,5
5. Jang-Soo Choi,30세 43일,150,280000,3,6,빠름,5,5,20,1,6,4,4,2,1,7
6. Jae-Shin Cha,26세 90일,1130,390000,6,6,,4,5,20,1,7,3,6,3,2,6
7. In-Moo Byon,31세 78일,560,300000,5,6,,5,1,20,2,6,5,5,5,3,6
8. Hong-Chan Son,21세 38일,980,310000,6,6,,3,5,20,1,5,6,5,5,1,4
9. Hoi-Taek Park,19세 45일,770,330000,4,5,예측못함,2,2,20,1,5,6,3,6,3,6
10. Kwang-Eul Jeon,23세 44일,1370,430000,6,6,,3,4,20,1,6,7,3,3,2,5
11. Kwang-Hwan Yun,26세 11일,810,330000,6,6,,3,6,20,2,5,6,3,5,2,6
12. Chan-Myung Lee,25세 20일,970,410000,6,7,,3,3,20,1,3,7,3,4,3,4
13. Sung-Kook Han,21세 8일,1190,330000,5,6,공 마술사,2,2,20,1,5,6,6,5,2,5
14. Se-Jong Cho,28세 8일,710,290000,5,6,,4,4,20,1,5,5,6,3,4,4
15. Man-Ok Lee,22세 61일,1970,350000,6,6,예측못함,3,5,20,1,5,5,7,6,2,4
16. Dong-Shik Kim,18세 55일,990,410000,4,6,,2,6,20,1,3,3,6,4,7,6
17. Seung-Mee Kim,33세 106일,200,310000,6,6,예측못함,6,2,20,1,3,4,4,4,7,5
18. Kwang-Rae Kim,26세 15일,1090,310000,6,6,헤딩,3,3,20,1,2,5,3,6,6,2
19. Eui-Soo Park,18세 29일,300,450000,6,5,,1,5,20,4,2,1,1,1,1,2
