Number,Nat,Player,PlayerID,Special,Stat,Age,Since,TSI,LS,XP,Fo,Stm,Lo,MB,KP,DF,PM,WI,PS,SC,SP,Psico,Last,Rt,Pos,Wage,G,TC,PH,KPPos,WBPos,CDPos,WPos,IMPos,FWPos
1,Hanguk,Jong-Kyung Ji,429263806,Head,,24.57,2시즌 14주 0일,2500,2,4,8,8,20,TRUE,6,4,1,1,1,1,5,647,2018-07-01,4.5,KP,990000,0,,,7.64,4.98,5.11,3.81,3.61,3.27
2,Hanguk,Soon Jung,429263807,,,30.34,2시즌 14주 0일,100,7,6,4,6,20,TRUE,5,6,1,1,3,1,3,606,2018-06-27,3,KP,680000,0,,,5.42,4.45,4.6,3.2,2.99,2.67
7,Hanguk,Ang-Ri Choi,429263812,Powerful 있음,,34.56,2시즌 14주 0일,160,2,6,7,5,20,TRUE,2,7,5,4,5,2,5,680,2018-06-27,5,W,310000,16,,,5.27,7.49,7.73,6.77,6.74,5.44
9,Hanguk,Seung-Min Lee,429263815,Quick,,22.25,2시즌 14주 0일,8360,3,3,7,8,20,TRUE,1,10,6,3,6,2,6,1001,2018-07-01,5,IM,1330000,1,,,5.49,9.44,10.16,7.87,8.08,5.84
10,Hanguk,Jung-Jae Lee,429263816,Unpredictable,,26.99,2시즌 14주 0일,4680,4,4,6,7,20,TRUE,1,9,7,2,3,2,4,907,2018-06-27,5.5,IM,770000,4,,,4.93,8.33,9.25,7.23,7.86,5.24
11,Hanguk,Ryung-Tae Kim,429263818,,Y×1,28.53,2시즌 14주 0일,2690,2,4,8,7,20,TRUE,2,8,6,3,5,3,5,803,2018-07-01,5.5,IM,530000,8,,,5.82,8.55,9.19,7.65,8.02,6.29
12,Hanguk,Jung-Eum Yun,429263819,Powerful 있음,Y×1,27.50,2시즌 14주 0일,1350,5,4,7,7,20,TRUE,1,5,7,3,5,3,4,708,2018-07-01,5,IM,410000,6,,,4.19,6.93,7.57,7.44,8.19,6.42
13,Hanguk,Hong-Woon Kim,429263820,Technical,Y×1,23.65,2시즌 14주 0일,8980,2,4,6,8,20,TRUE,1,9,6,6,5,3,4,1000,2018-07-01,6.5,W,1110000,3,,,4.98,8.9,9.02,7.76,7.49,6.12
15,Hanguk,Bong-Joo Kim,429263823,,,24.111,2시즌 14주 0일,12340,4,4,8,8,20,TRUE,1,9,6,7,6,2,4,1009,2018-07-01,7,W,810000,6,,,5.56,10.12,10.06,8.96,8.41,6.7
16,Hanguk,Kil-Sung Park,429263824,,,21.61,2시즌 14주 0일,1770,5,2,7,8,20,TRUE,1,4,3,5,4,7,6,762,2018-06-27,6,FW,410000,14,,,3.6,5.6,5.27,5.34,5.03,6.65
17,Hanguk,Seung-Ok Lee,429263826,Technical,,36.10,2시즌 14주 0일,10,5,7,7,4,20,TRUE,0,2,3,2,2,5,5,490,2018-07-01,4.5,FW,250000,17,,,2.74,4.16,4.28,4.4,4.7,5.28
18,Hanguk,Min-Ho Ji,429263827,Unpredictable,,28.25,2시즌 14주 0일,1130,2,5,6,7,20,TRUE,1,4,5,3,6,6,3,612,2018-07-01,5,FW,310000,28,,,3.75,5.65,5.94,6.04,6.5,6.77
31,Česká republika,Leoš Broukal,397610518,Head,,30.7,2시즌 4주 6일,12080,3,7,6,6,17,FALSE,1,9,9,2,8,4,4,894,2018-06-27,6,IM,1740000,42,,,4.52,8.23,9.38,8.05,9.14,6.74
33,Hanguk,Dong-Hyeon Lee,431740152,,,19.66,2시즌 3주 6일,3130,5,2,7,7,20,TRUE,1,9,4,2,2,4,1,933,2018-06-27,4.5,CD,470000,4,,,4.89,7.89,8.45,5.82,5.9,5
43,Hanguk,Ji-Soo Kim,433466579,Technical,Y×1,19.74,1시즌 11주 0일,5300,3,2,7,7,20,TRUE,1,10,4,4,3,3,3,1007,2018-06-27,5,CD,670000,0,,,5.15,8.76,9.01,6.45,6.05,4.98
44,Hanguk,Sang-Yong Jang,433566477,,Y×1,20.41,1시즌 9주 6일,3390,2,2,5,7,20,TRUE,1,8,6,6,5,4,2,801,2018-06-27,3.5,WB,410000,3,,,3.92,7.21,7.28,6.5,6.33,5.5
46,Hanguk,Jung-Oh Han,433730490,Technical,Y×1,20.47,1시즌 8주 0일,2580,4,2,8,7,20,TRUE,1,8,3,5,1,3,3,865,2018-07-01,5,WB,450000,3,,,4.75,7.88,7.72,5.82,5.1,4.65
48,Hanguk,Jin-Taek Cho,433931826,Powerful 있음,,19.63,1시즌 5주 6일,1760,1,1,7,7,20,TRUE,1,7,5,4,2,4,5,764,2018-06-27,4,W,330000,0,,,3.91,6.9,7.16,5.89,5.92,5.06
54,Hanguk,Kwang-Hyun Seo,434869614,Unpredictable,,19.38,14주 6일,660,2,1,6,6,20,TRUE,1,5,5,4,5,4,2,528,2018-07-01,2.5,WB,250000,7,,,3.1,5.34,5.5,5.33,5.47,5.05
58,Hanguk,Yi-Sub Kang,435570656,,,19.69,11주 0일,940,5,1,6,6,20,TRUE,1,5,3,5,5,5,4,610,2018-06-27,2.5,WB,270000,0,,,3,4.95,4.71,4.48,4.1,4.83
59,Hanguk,Hyung-Hwa Jung,435660098,,Y×1,18.54,10주 0일,730,5,1,8,6,20,TRUE,1,6,4,3,5,2,6,659,2018-07-01,3.5,CD,250000,3,,,3.66,6,6.26,5.33,5.34,4.38
60,Hanguk,Chu-Seok Ahn,435761718,,Y×1,18.41,8주 6일,970,3,1,7,6,20,TRUE,1,4,5,3,3,7,5,704,2018-06-24,4.5,FW,350000,0,,,2.96,4.87,5.17,5.02,5.51,5.94
61,Schweiz,Francois Baumgartner,434542904,,,18.21,8주 5일,5150,5,2,6,7,9,FALSE,1,6,7,6,7,6,3,682,2018-07-01,3,CD,492000,3,,,2.83,6.11,6.24,6.44,6.65,6.32
63,Hellas,Damianos Yiannopoulos,377705560,Unpredictable,,35.8,7주 6일,8180,6,8,6,5,8,FALSE,1,9,13,11,5,3,14,1280,2018-06-27,5.5,W,4308000,90,,,3.84,9.34,9.5,9.98,10.18,6.99
64,Hanguk,Koo-Joong Kim,435928762,,,18.32,7주 0일,1450,3,1,8,6,20,TRUE,1,8,4,3,2,2,3,834,2018-07-01,4.5,CD,370000,1,,,4.16,7.01,7.35,5.36,5.24,3.89
66,Hanguk,Jong-Yong Yoo,436538587,Head,,17.40,3주 0일,80,3,1,6,5,20,TRUE,1,5,3,3,3,2,6,490,2018-06-27,2,CD,250000,0,,,2.89,4.47,4.54,3.84,3.71,3.23
98,Hanguk,Hyung-Hwa Han,436809117,,,18.66,15주 6일,640,3,1,6,5,20,TRUE,1,4,4,4,6,5,3,614,,,,290000,0,,,2.58,4.21,4.21,4.35,4.39,4.78
99,Hanguk,In-Guh Park,429263805,,,43.65,2시즌 14주 0일,0,3,6,4,1,20,TRUE,0,0,0,0,0,0,0,440,,,,250000,0,,,1.13,1.13,1.13,1.13,1.13,1.13
