Number,Nat,Player,PlayerID,Special,Stat,Age,Since,TSI,LS,XP,Fo,Stm,Lo,MB,KP,DF,PM,WI,PS,SC,SP,Psico,Last,Rt,Pos,Wage,G,KPPos,WBdPos,WBPos,WBtmPos,WBoPos,CDPos,CDtwPos,CDoPos,WdPos,WPos,WtmPos,WoPos,IMdPos,IMPos,IMtwPos,IMoPos,FWPos,FWdPos,FWtwPos,TDFPos,BPo,BPoV
1,Hanguk,Jong-Kyung Ji,429263806,Head,,26.56,4 시즌 14 주 2 일,2500,2,5,7,7,20,TRUE,6,5,1,1,1,1,5,660,2019-02-06,4.5,KP,1010000,0,7.72,5.83,5.44,5.51,5.05,5.61,5.79,4.89,4.51,3.94,3.87,3.79,3.94,3.69,3.71,3.44,3.25,3.25,3.25,0,KP,7.72
7,Hanguk,Ang-Ri Choi,429263812,Powerful,,36.55,4 시즌 14 주 2 일,50,2,6,7,4,20,TRUE,1,6,4,3,4,0,5,590,2019-02-06,4,W,270000,17,4.07,6.31,6.12,6.22,5.93,6.35,6.35,6.04,5.72,5.46,5.46,5.32,5.55,5.4,5.45,5.24,3.88,4.57,3.81,0,CD,6.35
10,Hanguk,Jung-Jae Lee,429263816,Unpredictable,R,28.98,4 시즌 14 주 2 일,5520,4,5,8,7,20,TRUE,1,9,7,2,3,2,4,926,2019-02-10,6,IM,990000,6,5.54,9.65,9.28,9.72,8.94,10.3,9.96,9.93,8.51,8.08,8.31,7.41,9.12,8.76,8.51,8.36,5.88,6.57,5.4,0,CD,10.3
12,Hanguk,Jung-Eum Yun,429263819,Powerful,Bru,29.49,4 시즌 14 주 2 일,1140,5,5,8,7,20,TRUE,1,5,7,3,5,3,4,701,2019-02-06,5.5,IM,390000,18,4.18,6.78,6.83,7.1,6.91,7.45,7.04,7.8,7.14,7.32,7.54,6.99,8.07,8.06,7.85,8.02,6.34,7.01,5.95,0,IMd,8.07
13,Hanguk,Hong-Woon Kim,429263820,Technical,Y×1,25.64,4 시즌 14 주 2 일,11980,2,5,7,8,20,TRUE,1,10,6,6,5,3,4,1059,2019-02-10,6.5,W,1650000,11,5.75,10.62,10.23,10.3,9.84,10.4,10.58,9.68,9.22,8.63,8.58,8.45,8.6,8.27,8.4,7.92,6.69,0,6.73,7.12,WBd,10.62
15,Hanguk,Bong-Joo Kim,429263823,,,26.110,4 시즌 14 주 2 일,13840,4,5,7,7,20,TRUE,1,10,6,7,6,2,4,1082,2019-02-10,6.5,W,1570000,23,5.71,10.69,10.34,10.33,9.98,10.32,10.59,9.61,9.41,8.85,8.75,8.8,8.57,8.27,8.52,7.95,6.52,7.21,6.67,0,WBd,10.69
16,Hanguk,Kil-Sung Park,429263824,,,23.60,4 시즌 14 주 2 일,2360,5,3,8,8,20,TRUE,1,5,3,5,4,7,6,775,2019-02-06,6,FW,410000,32,4.25,6.74,6.61,6.49,6.47,6.32,6.59,5.95,6.2,5.95,5.82,6.1,5.59,5.56,5.61,5.56,7.13,6.38,7.32,0,FWtw,7.32
18,Hanguk,Min-Ho Ji,429263827,Unpredictable,,30.24,4 시즌 14 주 2 일,890,2,6,7,6,20,TRUE,1,4,5,3,6,6,3,607,2019-02-10,5.5,FW,300000,38,3.87,5.75,5.78,5.91,5.82,6.08,5.88,6.24,6.06,6.18,6.25,6.08,6.54,6.64,6.43,6.76,6.92,6.97,6.68,0,FWd,6.97
31,Česká republika,,397610518,Head,,32.6,4 시즌 5 주 1 일,6870,3,7,6,6,20,FALSE,1,10,9,1,8,4,4,980,2019-02-10,6,IM,1500000,46,4.81,8.86,8.54,9.11,8.25,9.86,9.31,9.71,8.25,8.01,8.28,7.33,9.35,9.2,8.72,9.03,6.65,7.73,5.88,0,CD,9.86
43,Hanguk,Ji-Soo Kim,433466579,Technical,Y×2,21.73,3 시즌 11 주 1 일,14250,3,2,8,8,20,TRUE,1,11,4,4,3,3,3,1173,2019-02-06,6,W,3310000,1,5.74,10.56,9.86,9.98,9.15,10.16,10.49,8.85,8.07,7.01,6.91,6.7,7.02,6.52,6.59,6,5.28,0,5.3,5.31,WBd,10.56
59,Hanguk,Hyung-Hwa Jung,435660098,,,20.53,2 시즌 10 주 2 일,9540,5,2,7,8,20,TRUE,1,11,4,3,5,2,6,1103,2019-02-10,6,CD,1470000,14,5.51,9.99,9.28,9.48,8.57,9.75,9.99,8.5,7.71,6.71,6.61,6.4,6.83,6.41,6.41,5.99,4.87,5.42,4.75,0,CDtw,9.99
60,Hanguk,Chu-Seok Ahn,435761718,,,20.40,2 시즌 9 주 1 일,1210,3,1,8,7,20,TRUE,1,5,5,3,3,7,5,701,2019-01-30,4.5,FW,370000,8,3.49,5.91,5.84,6,5.78,6.21,6.04,6.21,5.69,5.63,5.74,5.38,6.15,6.09,5.85,6.03,6.45,5.92,6.23,0,FW,6.45
61,Schweiz,Francois Baumgartner,434542904,,,20.20,2 시즌 9 주 0 일,18200,5,3,7,7,18,FALSE,1,10,7,6,7,6,3,1003,2019-02-10,6,IM,2292000,9,4.82,9.77,9.45,9.58,9.14,9.75,9.81,9.23,8.76,8.32,8.31,8.12,8.49,8.3,8.25,8.1,7.5,7.74,7.4,0,CDtw,9.81
