Number,Nat,Player,PlayerID,Special,Stat,Age,Since,TSI,LS,XP,Fo,Stm,Lo,MB,KP,DF,PM,WI,PS,SC,SP,Psico,Last,Rt,Pos,Wage,G,TC,PH,KPPos,WBPos,CDPos,WPos,IMPos,FWPos
2,Hanguk,Jee-Hoon Kim,428709461,,,22.21,3시즌 6주 0일,44670,3,2,8,8,20,TRUE,14,5,1,1,1,2,8,1376,2018-07-11,7.5,KP,11930000,0,,,13.16,5.16,5.33,3.59,3.37,3.28
3,Hanguk,Eun-Seok Hong,427619235,,,32.46,3시즌 14주 0일,180,5,5,7,6,20,TRUE,1,6,5,3,2,1,7,590,2018-07-15,4,CD,290000,9,,,4.42,6.92,7.3,6.27,6.44,4.57
4,Hanguk,Ji-Woon Lee,427619236,,,22.62,3시즌 14주 0일,1290,5,3,8,8,20,TRUE,1,7,4,3,5,2,7,727,2018-07-15,4.5,CD,390000,25,,,4.8,7.56,7.88,6.46,6.41,5.27
6,Hanguk,Jae-Shin Cha,427619238,,,30.43,3시즌 14주 0일,780,5,5,8,6,20,TRUE,1,7,3,6,3,1,10,730,2018-07-15,5,WB,360000,13,,,4.93,7.93,7.55,6.47,5.55,4.74
8,Hanguk,Hong-Chan Son,427619240,,,24.103,3시즌 14주 0일,1190,5,3,7,7,20,TRUE,1,5,6,5,5,1,8,636,2018-07-15,4.5,W,310000,1,,,4.07,6.99,7.13,7.26,7.34,5.49
9,Hanguk,Hoi-Taek Park,427619241,Unpredictable,Y×1,22.110,3시즌 14주 0일,950,2,3,4,8,20,TRUE,1,5,6,3,6,3,10,614,2018-07-11,3.5,IM,330000,10,,,3.11,5.06,5.44,5.31,5.73,4.73
10,Hanguk,Kwang-Eul Jeon,427619242,,Y×2,26.109,3시즌 14주 0일,1690,4,5,8,7,20,TRUE,1,6,7,3,3,2,9,764,2018-07-15,5,IM,430000,14,,,4.77,7.9,8.61,7.86,8.54,6.08
11,Hanguk,Kwang-Hwan Yun,427619243,,Y×1,29.76,3시즌 14주 0일,660,6,5,7,6,20,TRUE,2,5,6,2,5,2,9,628,2018-07-11,3.5,W,320000,12,,,4.89,6.54,7.2,6.75,7.44,5.65
12,Hanguk,Chan-Myung Lee,427619244,,Y×1,28.85,3시즌 14주 0일,940,3,4,8,7,20,TRUE,1,3,7,3,4,3,8,734,2018-07-11,5,IM,410000,8,,,3.75,6,6.58,7.2,8.1,6.44
13,Hanguk,Sung-Kook Han,427619245,Technical,,24.73,3시즌 14주 0일,1650,2,4,8,8,20,TRUE,1,5,6,6,5,2,9,626,2018-07-15,5,W,330000,19,,,4.41,7.65,7.6,7.95,7.86,6.42
14,Hanguk,Se-Jong Cho,427619246,,,31.73,3시즌 14주 0일,380,4,6,6,6,20,TRUE,1,5,5,6,3,3,8,597,2018-07-11,3.5,WB,280000,18,,,3.93,6.47,6.31,6.33,6.08,5.45
15,Hanguk,Man-Ok Lee,427619247,Unpredictable,,26.14,3시즌 14주 0일,2320,5,4,7,7,20,TRUE,1,5,5,7,6,2,9,767,2018-07-11,5.5,W,350000,13,,,4.23,7.3,6.93,7.42,6.92,6.14
16,Hanguk,Dong-Shik Kim,427619248,,Y×1,22.8,3시즌 14주 0일,1690,6,3,7,8,20,TRUE,1,3,3,6,4,7,10,760,2018-07-11,5.5,FW,410000,26,,,3.54,5.44,4.89,5.58,5.13,6.97
18,Hanguk,Kwang-Rae Kim,427619250,Head,,29.80,3시즌 14주 0일,530,3,5,3,6,20,TRUE,1,2,5,3,6,6,7,612,2018-06-21,4,FW,300000,32,,,2.23,3.18,3.33,3.92,4.32,4.64
25,Polska,Pylyp Nagorniak,406205227,,Y×1,30.8,3시즌 8주 6일,1300,5,3,7,6,20,FALSE,1,6,6,3,6,3,9,614,2018-07-11,4.5,IM,420000,8,,,3.79,6.56,7.1,6.51,6.99,5.6
31,Hanguk,Se-Hee Park,430626797,,,21.55,2시즌 13주 0일,1350,4,2,7,8,20,TRUE,1,2,5,5,3,7,8,706,2018-07-15,5,FW,390000,23,,,3.05,4.94,4.81,5.9,6.14,7.07
34,Sverige,Axel Hermansson,422526443,,Y×1,31.30,2시즌 10주 6일,1220,5,5,7,6,18,FALSE,2,6,7,2,6,2,9,696,2018-07-15,4.5,IM,456000,16,,,4.51,6.6,7.43,6.8,7.63,5.42
38,Latvija,Artem Skurlatov,409641598,,,29.36,2시즌 7주 3일,2170,5,5,7,6,18,FALSE,1,8,6,3,4,3,4,804,2018-07-15,5,CD,684000,8,,,4.35,7.54,8.14,6.61,6.95,5.29
40,Perú,Matías Pichis,416567166,,,24.98,2시즌 6주 5일,9290,6,2,6,8,18,FALSE,1,10,8,2,4,4,6,1000,2018-07-11,4.5,CD,1764000,4,,,4.35,8.25,9.35,7.13,7.98,5.55
41,Deutschland,Reinold Kisch,413993877,,,25.102,2시즌 6주 5일,2520,5,2,6,7,18,FALSE,1,8,6,2,4,5,3,803,2018-07-11,4,CD,588000,11,,,3.8,6.75,7.5,5.83,6.41,5.33
48,Hanguk,Dong-Suk Lee,432205385,Technical,,20.69,2시즌 6일,1310,6,1,8,7,20,TRUE,1,5,4,5,6,5,4,614,2018-07-15,5.5,FW,290000,10,,,3.54,6.06,5.92,5.88,5.66,6.15
52,Hanguk,Seong-Gong Choi,433454317,Unpredictable,Y×2,19.37,1시즌 13주 0일,5670,4,2,7,7,20,TRUE,1,7,7,7,4,5,4,793,2018-07-15,5,WB,550000,13,,,4.35,8.34,8.34,8.08,8,7.11
55,Hanguk,Geun-Ho Han,433728993,,Y×1,20.39,1시즌 10주 0일,1990,3,2,5,7,20,TRUE,1,5,6,4,3,7,3,735,2018-07-11,5,FW,410000,5,,,3.22,5.51,5.78,5.57,5.98,6.02
61,Oceania,Cedrick Williamson,430364099,Powerful 있음,,19.102,1시즌 4주 5일,6420,3,3,7,7,13,FALSE,1,8,5,7,7,2,4,870,2018-07-15,5,WB,708000,2,,,3.98,7.77,7.54,6.87,6.21,5.19
65,Hanguk,Sang-Hyun Yun,434942107,,Y×1,18.65,1시즌 0일,2930,3,1,7,6,20,TRUE,1,6,5,4,7,4,2,786,2018-07-15,4.5,W,390000,2,,,3.47,6.05,6.26,5.85,5.95,5.53
70,Hanguk,Min-Gyu Jung,429263814,,,24.31,11주 4일,6010,1,4,8,8,10,FALSE,1,9,6,4,4,2,5,945,2018-07-11,5.5,CD,1030000,2,,,4.53,8.5,9.01,7.11,7.18,4.98
72,Hanguk,Gyeong-Ryeol Kim,435840503,,,18.79,10주 0일,1740,3,1,7,5,20,TRUE,1,7,6,4,4,3,5,757,2018-07-11,4,WB,390000,0,,,3.5,6.35,6.7,5.84,6.03,4.7
76,Hanguk,Nam-Han Kim,436538053,,,17.85,5주 0일,2360,5,1,6,5,20,TRUE,6,4,1,1,1,1,5,666,2018-07-15,3.5,KP,530000,0,,,5.56,3.4,3.5,2.44,2.29,2.01
98,Hanguk,Duk-Jin Kim,436986529,Technical,,17.80,0일,150,5,1,6,5,20,TRUE,1,4,3,2,5,3,2,509,,,,250000,0,,,2.58,3.74,3.92,3.56,3.68,3.6
99,Hanguk,Je-Min Jung,427619232,,,44.24,3시즌 14주 0일,0,3,8,3,1,20,TRUE,0,0,0,0,0,0,0,340,,,,250000,0,,,1.03,1.03,1.03,1.03,1.03,1.03
