Number,Nat,Player,PlayerID,Special,Stat,Age,Since,TSI,LS,XP,Fo,Stm,Lo,FALSE,KP,DF,PM,WI,PS,SC,SP,Psico,Last,Rt,Pos,Wage,G,KPPos,WBdPos,WBPos,WBtmPos,WBoPos,CDPos,CDtwPos,CDoPos,WPos,IMPos,FWPos,FWdPos,FWtwPos,TDFPos,BPo,BPoV
2,Hanguk,Jee-Hoon Kim,428709461,,,22.108,4 시즌 2 주 5 일,52790,3,2,6,8,20,TRUE,15,5,1,1,1,2,9,1511,2018-10-10,7.5,KP,11930000,0,12.42,4.98,4.62,4.69,4.26,4.78,4.95,4.11,3.21,3.02,2.94,2.77,2.93,0,KP,12.42
4,Hanguk,Ji-Woon Lee,427619236,,,23.37,4 시즌 10 주 4 일,1230,5,3,7,8,20,TRUE,1,7,4,3,5,2,8,721,2018-10-10,4.5,CD,390000,26,4.65,7.66,7.33,7.46,7.01,7.64,7.69,7.1,6.27,6.21,5.11,5.67,5,0,CDtw,7.69
6,Hanguk,Jae-Shin Cha,427619238,,Y×2,31.18,4 시즌 10 주 4 일,470,5,6,5,6,20,TRUE,1,7,3,6,3,1,11,703,2018-10-10,4,WB,350000,23,4.08,6.75,6.52,6.38,6.27,6.21,6.56,5.62,5.33,4.58,3.93,4.1,4.22,0,WBd,6.75
8,Hanguk,Hong-Chan Son,427619240,,Y×1,25.78,4 시즌 10 주 4 일,1080,5,4,6,7,20,TRUE,1,5,6,5,5,1,9,627,2018-10-10,4.5,W,310000,6,3.92,6.56,6.62,6.68,6.69,6.75,6.63,6.92,6.88,6.95,5.23,6.02,5.17,0,IMtw,7.03
10,Hanguk,Kwang-Eul Jeon,427619242,,Y×1,27.84,4 시즌 10 주 4 일,1170,4,5,4,7,20,TRUE,1,6,7,3,3,2,9,757,2018-10-07,3.5,IM,430000,16,3.46,5.76,5.73,5.95,5.72,6.25,5.96,6.38,5.7,6.19,4.41,4.88,4.14,0,Cdo,6.38
11,Hanguk,Kwang-Hwan Yun,427619243,,Y×1,30.51,4 시즌 10 주 4 일,540,6,5,8,6,20,TRUE,2,5,6,2,5,2,9,612,2018-10-07,4,W,310000,14,4.98,6.7,6.66,6.95,6.64,7.34,6.96,7.52,6.88,7.58,5.75,6.57,5.34,0,IMd,7.61
12,Hanguk,Chan-Myung Lee,427619244,,Y×2,29.60,4 시즌 10 주 4 일,780,3,5,8,6,20,TRUE,1,3,7,3,4,3,9,724,2018-10-10,5,IM,390000,9,3.83,5.81,6.06,6.3,6.34,6.63,6.1,7.34,7.24,8.13,6.48,7.05,6.1,0,IMo,8.17
13,Hanguk,Sung-Kook Han,427619245,Technical,,25.48,4 시즌 10 주 4 일,1070,2,4,4,7,20,TRUE,1,5,6,6,5,2,9,623,2018-10-07,3.5,W,330000,24,3.21,5.49,5.56,5.55,5.64,5.53,5.5,5.67,5.78,5.72,4.67,0,4.71,5.14,IMtw,5.83
15,Hanguk,Man-Ok Lee,427619247,Unpredictable,Y×1,26.101,4 시즌 10 주 4 일,2110,5,4,6,7,20,TRUE,1,5,5,7,6,2,9,768,2018-10-10,5,W,350000,13,3.89,6.64,6.7,6.56,6.75,6.37,6.52,6.37,6.81,6.35,5.64,6.17,5.86,0,Wo,7.01
16,Hanguk,Dong-Shik Kim,427619248,,Y×1,22.95,4 시즌 10 주 4 일,1620,6,3,7,8,20,TRUE,1,3,3,6,4,7,11,753,2018-10-10,5.5,FW,410000,39,3.54,5.34,5.44,5.2,5.53,4.89,5.15,4.89,5.58,5.13,6.97,6.2,7.27,0,FWtw,7.27
25,Polska,Pylyp Nagorniak,406205227,,,30.95,4 시즌 5 주 4 일,1270,5,3,7,6,20,FALSE,1,6,6,3,6,3,10,613,2018-10-10,4.5,IM,420000,12,3.71,6.52,6.42,6.65,6.34,6.95,6.71,6.95,6.38,6.85,5.48,6.17,5.18,0,CD,6.95
31,Hanguk,Se-Hee Park,430626797,,,22.30,3 시즌 9 주 4 일,1160,4,2,5,7,20,TRUE,1,2,5,5,3,7,8,733,2018-10-10,4.5,FW,390000,26,2.58,3.93,4.17,4.13,4.42,4.07,3.95,4.52,4.98,5.19,5.98,5.44,5.98,0,FW,5.98
34,Sverige,Axel Hermansson,422526443,,,32.5,3 시즌 7 주 3 일,660,5,5,5,6,20,FALSE,2,6,6,2,6,2,9,605,2018-09-23,4,IM,420000,18,3.86,5.54,5.44,5.69,5.35,6.02,5.75,6.02,5.38,5.91,4.39,5.16,4.05,0,CD,6.02
38,Latvija,Artem Skurlatov,409641598,,,30.11,3 시즌 4 주 0 일,1360,5,5,4,6,20,FALSE,1,8,6,3,4,3,5,798,2018-10-07,3.5,CD,648000,10,3.45,6.14,5.93,6.13,5.73,6.39,6.27,6.13,5.21,5.47,4.18,4.52,3.96,0,CD,6.39
40,Perú,Matías Pichis,416567166,,,25.73,3 시즌 3 주 3 일,10150,6,2,8,7,20,FALSE,1,10,8,2,4,4,7,1003,2018-10-07,5.5,CD,1764000,5,4.92,9.64,9.24,9.76,8.86,10.45,10.03,10.08,7.99,8.93,6.25,6.81,5.62,0,CD,10.45
48,Hanguk,Dong-Suk Lee,432205385,Technical,,21.44,2 시즌 13 주 3 일,930,6,2,4,7,20,TRUE,1,5,4,5,6,5,5,620,2018-10-03,2.5,FW,290000,14,2.9,4.81,4.76,4.72,4.71,4.66,4.75,4.52,4.62,4.46,4.83,0,4.89,4.88,FWtw,4.89
52,Hanguk,Seong-Gong Choi,433454317,Unpredictable,,20.12,2 시즌 9 주 5 일,5820,4,2,7,7,20,TRUE,1,7,7,7,4,5,5,801,2018-10-07,5,CD,550000,15,4.34,8.32,8.32,8.32,8.32,8.32,8.32,8.32,8.07,7.98,7.09,7.07,7.15,0,CD,8.32
