Number,Nat,Player,PlayerID,Special,Stat,Age,Since,TSI,LS,XP,Fo,Stm,Lo,MB,KP,DF,PM,WI,PS,SC,SP,Psico,Last,Rt,Pos,Wage,G,KPPos,WBdPos,WBPos,WBtmPos,WBoPos,CDPos,CDtwPos,CDoPos,WdPos,WPos,WtmPos,WoPos,IMdPos,IMPos,IMtwPos,IMoPos,FWPos,FWdPos,FWtwPos,TDFPos,BPo,BPoV
1,Hanguk,Jong-Kyung Ji,429263806,Head,,26.105,5 s 5 wk 2 d,2220,2,5,6,7,20,TRUE,6,5,1,1,1,1,5,656,2019-03-31,0,KP,1010000,0,7.13,5.39,5.03,5.1,4.67,5.18,5.35,4.53,4.17,3.64,3.58,3.5,3.64,3.41,3.43,3.18,3.01,3.01,3.01,0,KP,7.13
7,Hanguk,Ang-Ri Choi,429263812,Powerful,,36.104,5 s 5 wk 2 d,30,2,6,7,4,20,TRUE,1,6,3,3,3,0,5,590,2019-03-06,4,W,270000,17,4.07,6.18,5.93,5.98,5.68,6.04,6.16,5.58,5.33,4.96,4.92,4.87,4.9,4.71,4.81,4.51,3.51,3.98,3.53,0,WBd,6.18
10,Hanguk,Jung-Jae Lee,429263816,Unpredictable,,29.35,5 s 5 wk 2 d,4920,4,5,7,7,20,TRUE,1,9,7,2,3,2,4,909,2019-03-27,5.5,IM,1060000,6,5.33,9.29,8.93,9.35,8.61,9.91,9.58,9.56,8.19,7.77,8,7.13,8.78,8.43,8.19,8.04,5.66,6.32,5.19,0,CD,9.91
12,Hanguk,Jung-Eum Yun,429263819,Powerful,,29.98,5 s 5 wk 2 d,510,5,5,2,7,20,TRUE,1,5,7,3,5,3,4,699,2019-03-24,2.5,IM,390000,20,2.2,3.57,3.6,3.74,3.64,3.92,3.71,4.1,3.76,3.86,3.97,3.68,4.25,4.24,4.13,4.22,3.34,3.69,3.13,0,IMd,4.25
13,Hanguk,Hong-Woon Kim,429263820,Technical,Y×1,26.1,5 s 5 wk 2 d,12750,2,5,7,8,20,TRUE,1,10,6,6,5,3,4,1073,2019-03-31,0,W,1930000,11,5.75,10.62,10.24,10.31,9.85,10.4,10.59,9.69,9.23,8.64,8.59,8.45,8.6,8.28,8.41,7.93,6.7,0,6.74,7.12,WBd,10.62
15,Hanguk,Bong-Joo Kim,429263823,,,27.47,5 s 5 wk 2 d,14860,4,5,7,7,20,TRUE,1,10,6,7,6,2,4,1099,2019-03-31,0,W,1790000,24,5.69,10.65,10.3,10.29,9.94,10.29,10.55,9.58,9.38,8.82,8.72,8.76,8.54,8.24,8.49,7.93,6.5,7.18,6.65,0,WBd,10.65
16,Hanguk,Kil-Sung Park,429263824,,Y×1,23.109,5 s 5 wk 2 d,2470,5,3,7,8,20,TRUE,1,6,3,5,4,7,6,746,2019-03-27,5.5,FW,410000,32,4.4,7.18,6.96,6.85,6.72,6.71,7.02,6.17,6.33,5.94,5.79,6.04,5.59,5.5,5.54,5.43,6.9,6.18,7.09,0,WBd,7.18
18,Hanguk,Min-Ho Ji,429263827,Unpredictable,,30.73,5 s 5 wk 2 d,880,2,6,7,6,20,TRUE,1,5,5,3,6,6,3,600,2019-03-31,0,FW,300000,42,4.13,6.35,6.29,6.43,6.24,6.63,6.47,6.63,6.35,6.34,6.39,6.21,6.69,6.74,6.54,6.8,6.92,6.97,6.68,0,FWd,6.97
31,Česká republika,,397610518,Head,,32.55,4 s 12 wk 1 d,6790,3,7,6,6,20,FALSE,1,10,9,1,8,4,4,980,2019-03-31,0,IM,1500000,50,4.8,8.83,8.51,9.08,8.23,9.84,9.28,9.68,8.23,7.98,8.26,7.3,9.32,9.17,8.7,9,6.63,7.71,5.86,0,CD,9.84
43,Hanguk,Ji-Soo Kim,433466579,Technical,,22.10,4 s 2 wk 2 d,15160,3,3,8,8,20,TRUE,1,11,4,4,3,3,3,1185,2019-03-27,5.5,W,3810000,3,5.98,10.81,10.1,10.23,9.39,10.41,10.74,9.1,8.32,7.25,7.15,6.95,7.27,6.76,6.83,6.24,5.52,0,5.54,5.55,WBd,10.81
59,Hanguk,Hyung-Hwa Jung,435660098,,,20.102,3 s 1 wk 2 d,14560,5,2,7,8,20,TRUE,1,11,4,3,5,2,6,1171,2019-03-31,0,CD,1470000,16,5.55,10.06,9.35,9.55,8.63,9.82,10.06,8.56,7.76,6.75,6.66,6.44,6.87,6.46,6.46,6.03,4.9,5.46,4.79,0,CDtw,10.06
60,Hanguk,Chu-Seok Ahn,435761718,,,20.89,3 s 0 wk 1 d,1020,3,1,5,7,20,TRUE,1,5,5,3,3,7,5,702,2019-03-27,4.5,FW,370000,8,2.86,4.84,4.79,4.92,4.74,5.09,4.95,5.09,4.67,4.62,4.71,4.41,5.04,5,4.8,4.95,5.29,4.86,5.11,0,FW,5.29
61,Schweiz,Francois Baumgartner,434542904,,,20.69,3 s 0 wk 0 d,19350,5,3,7,8,20,FALSE,1,10,7,6,7,6,3,1004,2019-03-31,0,IM,2292000,10,5,10.03,9.71,9.84,9.39,10.02,10.07,9.48,9,8.56,8.54,8.36,8.73,8.54,8.49,8.33,7.73,7.97,7.62,0,CDtw,10.07
63,Hellas,Damianos Yiannopoulos,377705560,Unpredictable,,37.56,2 s 15 wk 1 d,2370,6,9,6,4,19,FALSE,0,8,11,9,3,1,13,1080,2019-03-27,5,W,888000,94,3.29,7.89,8.06,8.14,8.24,8.25,8.01,8.66,8.16,8.37,8.57,8.1,8.72,8.51,8.67,8.23,5.47,6.18,5.44,0,IMd,8.72
64,Hanguk,Koo-Joong Kim,435928762,,,20.80,2 s 14 wk 2 d,18700,3,2,6,8,20,TRUE,1,12,4,3,2,2,3,1224,2019-03-27,5.5,WB,3010000,3,5.41,9.94,9.19,9.39,8.43,9.67,9.93,8.33,7.3,6.18,6.13,5.76,6.39,5.83,5.85,5.25,4.11,4.27,4.05,0,WBd,9.94
