Number,Nat,Player,PlayerID,Special,Stat,Age,Since,TSI,LS,XP,Fo,Stm,Lo,MB,KP,DF,PM,WI,PS,SC,SP,Psico,Last,Rt,Pos,Wage,G,KPPos,WBdPos,WBPos,WBtmPos,WBoPos,CDPos,CDtwPos,CDoPos,WdPos,WPos,WtmPos,WoPos,IMdPos,IMPos,IMtwPos,IMoPos,FWPos,FWdPos,FWtwPos,TDFPos,BPo,BPoV
2,Hanguk,Jee-Hoon Kim,428709461,,,24.45,5 시즌 9 주 4 일,89650,3,3,7,8,20,TRUE,17,5,1,1,1,2,10,1705,2019-03-20,9.5,KP,28890000,0,14.99,5.6,5.21,5.28,4.82,5.38,5.57,4.66,4.27,3.69,3.63,3.55,3.71,3.48,3.46,3.25,3.4,3.21,3.39,0,KP,14.99
4,Hanguk,Ji-Woon Lee,427619236,,,24.86,6 시즌 1 주 4 일,1160,5,4,6,7,20,TRUE,1,7,4,3,5,2,9,733,2019-03-17,4,CD,390000,26,4.46,7.25,6.95,7.07,6.65,7.23,7.28,6.73,6.36,5.96,5.93,5.81,6.07,5.91,5.9,5.75,4.89,5.41,4.78,0,CDtw,7.28
8,Hanguk,Hong-Chan Son,427619240,,,27.15,6 시즌 1 주 4 일,1190,5,4,7,7,20,TRUE,1,5,6,5,5,1,10,636,2019-03-17,4.5,W,310000,9,4.21,7.06,7.12,7.18,7.19,7.26,7.13,7.44,7.28,7.39,7.46,7.3,7.51,7.47,7.56,7.4,5.62,6.47,5.56,0,IMtw,7.56
10,Hanguk,Kwang-Eul Jeon,427619242,,,29.21,6 시즌 1 주 4 일,1150,4,5,7,6,20,TRUE,1,6,7,3,3,2,11,725,2019-03-17,5,IM,410000,19,4.49,7.48,7.45,7.73,7.43,8.11,7.74,8.29,7.39,7.41,7.64,6.96,8.21,8.04,7.88,7.84,5.73,6.33,5.38,0,Cdo,8.29
11,Hanguk,Kwang-Hwan Yun,427619243,,,31.100,6 시즌 1 주 4 일,360,6,5,8,6,20,TRUE,2,5,6,2,5,2,10,602,2019-03-17,4,W,310000,19,4.96,6.67,6.63,6.92,6.61,7.31,6.93,7.48,6.78,6.85,7.03,6.51,7.58,7.55,7.33,7.5,5.73,6.55,5.32,0,IMd,7.58
12,Hanguk,Chan-Myung Lee,427619244,,,30.109,6 시즌 1 주 4 일,440,3,5,5,6,20,TRUE,1,3,7,3,4,3,10,700,2019-03-17,3.5,IM,380000,10,3.11,4.72,4.92,5.12,5.15,5.38,4.96,5.97,5.5,5.88,6.1,5.63,6.55,6.6,6.42,6.63,5.27,5.73,4.95,0,IMo,6.63
13,Hanguk,Sung-Kook Han,427619245,Technical,,26.97,6 시즌 1 주 4 일,1590,2,5,8,7,20,TRUE,1,5,6,6,5,2,10,643,2019-03-20,4.5,W,330000,29,4.48,7.57,7.67,7.65,7.77,7.63,7.58,7.81,7.84,7.97,8,7.97,7.91,7.88,8.03,7.82,6.46,0,6.51,7.1,IMtw,8.03
15,Hanguk,Man-Ok Lee,427619247,Unpredictable,Y×1,28.38,6 시즌 1 주 4 일,1960,5,5,8,7,20,TRUE,1,5,5,7,6,2,10,705,2019-03-20,5.5,W,350000,20,4.43,7.48,7.55,7.39,7.61,7.18,7.35,7.18,7.63,7.67,7.58,7.89,7.17,7.16,7.45,7.16,6.37,6.97,6.62,0,Wo,7.89
16,Hanguk,Dong-Shik Kim,427619248,,,24.32,6 시즌 1 주 4 일,1660,6,4,7,8,20,TRUE,1,3,3,6,4,7,12,757,2019-03-20,5.5,FW,410000,68,3.7,5.5,5.6,5.36,5.68,5.05,5.3,5.05,5.68,5.74,5.6,6.03,5.19,5.29,5.41,5.4,7.13,6.35,7.43,0,FWtw,7.43
25,Polska,Pylyp Nagorniak,406205227,,,32.32,5 시즌 12 주 4 일,600,5,4,8,6,20,FALSE,1,6,6,3,6,3,11,590,2019-03-17,4.5,IM,372000,13,3.92,6.77,6.67,6.9,6.59,7.2,6.96,7.2,6.66,6.62,6.73,6.37,7.14,7.1,6.94,7.05,5.72,6.42,5.41,0,CD,7.2
31,Hanguk,Se-Hee Park,430626797,,,23.79,5 시즌 0 주 4 일,1150,4,3,5,8,20,TRUE,1,2,5,5,3,7,9,708,2019-03-20,4.5,FW,390000,36,2.78,4.14,4.38,4.34,4.63,4.28,4.16,4.73,4.86,5.2,5.27,5.23,5.3,5.41,5.35,5.51,6.2,5.65,6.2,0,FW,6.2
34,Sverige,Axel Hermansson,422526443,,Y×1,33.54,4 시즌 14 주 3 일,370,5,6,7,6,20,FALSE,2,6,6,2,6,1,9,590,2019-03-20,4.5,IM,384000,21,4.57,6.52,6.4,6.69,6.29,7.07,6.76,7.07,6.39,6.33,6.48,6.01,6.97,6.91,6.73,6.83,4.82,5.88,4.43,0,CD,7.07
