Number,Nat,Player,PlayerID,Special,Stat,Age,Since,TSI,LS,XP,Fo,Stm,Lo,MB,KP,DF,PM,WI,PS,SC,SP,Psico,Last,Rt,Pos,Wage,G,KPPos,WBdPos,WBPos,WBtmPos,WBoPos,CDPos,CDtwPos,CDoPos,WdPos,WPos,WtmPos,WoPos,IMdPos,IMPos,IMtwPos,IMoPos,FWPos,FWdPos,FWtwPos,TDFPos,BPo,BPoV
2,Hanguk,Jee-Hoon Kim,428709461,,,24.87,5 s 15 wk 4 d,88430,3,3,6,8,20,TRUE,17,5,1,1,1,2,10,1742,2019-05-01,8.5,KP,28890000,0,13.91,5.2,4.84,4.9,4.47,4.99,5.16,4.32,3.96,3.43,3.36,3.29,3.45,3.23,3.21,3.01,3.15,2.98,3.14,0,KP,13.91
4,Hanguk,Ji-Woon Lee,427619236,,,25.16,6 s 7 wk 4 d,1120,5,4,6,7,20,TRUE,1,7,4,3,5,2,9,727,2019-04-28,4,CD,390000,26,4.44,7.21,6.91,7.03,6.61,7.19,7.24,6.69,6.32,5.92,5.9,5.77,6.03,5.88,5.86,5.72,4.86,5.37,4.75,0,CDtw,7.24
8,Hanguk,Hong-Chan Son,427619240,,,27.57,6 s 7 wk 4 d,1210,5,4,8,7,20,TRUE,1,5,6,5,5,1,10,636,2019-04-28,4.5,W,310000,12,4.32,7.23,7.3,7.36,7.37,7.44,7.31,7.62,7.46,7.57,7.65,7.49,7.7,7.65,7.74,7.58,5.76,6.63,5.7,0,IMtw,7.74
10,Hanguk,Kwang-Eul Jeon,427619242,,Y×1,29.63,6 s 7 wk 4 d,1170,4,5,7,6,20,TRUE,1,6,7,3,3,2,11,727,2019-04-28,5,IM,410000,26,4.5,7.49,7.45,7.74,7.44,8.12,7.75,8.3,7.4,7.41,7.65,6.97,8.22,8.05,7.89,7.85,5.74,6.34,5.38,0,Cdo,8.3
11,Hanguk,Kwang-Hwan Yun,427619243,,,32.30,6 s 7 wk 4 d,240,6,6,7,6,20,TRUE,2,5,6,2,5,2,10,592,2019-04-28,4,W,300000,24,4.83,6.46,6.42,6.7,6.41,7.07,6.71,7.24,6.57,6.63,6.81,6.31,7.33,7.3,7.09,7.25,5.56,6.35,5.18,0,IMd,7.33
12,Hanguk,Chan-Myung Lee,427619244,,Y×1,31.39,6 s 7 wk 4 d,400,3,5,6,6,20,TRUE,1,3,7,3,4,3,10,696,2019-05-01,4.5,IM,360000,11,3.4,5.16,5.38,5.6,5.63,5.89,5.42,6.53,6.02,6.44,6.68,6.16,7.16,7.22,7.03,7.26,5.76,6.27,5.42,0,IMo,7.26
13,Hanguk,Sung-Kook Han,427619245,Technical,Inj 2,27.27,6 s 7 wk 4 d,980,2,5,8,7,20,TRUE,1,5,6,6,5,2,10,605,2019-05-01,4.5,W,330000,31,4.46,7.53,7.63,7.61,7.73,7.59,7.54,7.77,7.8,7.93,7.96,7.93,7.87,7.84,7.99,7.78,6.43,0,6.48,7.06,IMtw,7.99
15,Hanguk,Man-Ok Lee,427619247,Unpredictable,Y×1,28.80,6 s 7 wk 4 d,1830,5,5,7,7,20,TRUE,1,5,5,7,6,2,10,704,2019-05-01,5,W,350000,22,4.26,7.19,7.26,7.1,7.31,6.9,7.07,6.9,7.33,7.38,7.28,7.58,6.89,6.89,7.16,6.88,6.13,6.69,6.36,0,Wo,7.58
16,Hanguk,Dong-Shik Kim,427619248,,,24.74,6 s 7 wk 4 d,1640,6,4,7,8,20,TRUE,1,3,3,6,4,7,12,755,2019-05-01,5.5,FW,410000,71,3.71,5.52,5.62,5.38,5.71,5.07,5.32,5.07,5.7,5.76,5.63,6.06,5.21,5.31,5.43,5.42,7.16,6.38,7.46,0,FWtw,7.46
25,Polska,Pylyp Nagorniak,406205227,,Inj 2,32.74,6 s 2 wk 4 d,440,5,4,8,6,20,FALSE,1,6,6,3,6,3,11,590,2019-04-21,4.5,IM,372000,14,3.91,6.74,6.64,6.87,6.56,7.17,6.93,7.17,6.64,6.59,6.71,6.34,7.11,7.07,6.91,7.02,5.69,6.39,5.38,0,CD,7.17
