Number,Nat,Player,PlayerID,Special,Stat,Age,Since,TSI,LS,XP,Fo,Stm,Lo,MB,KP,DF,PM,WI,PS,SC,SP,Psico,Last,Rt,Pos,Wage,G,TC,PH,KPPos,WBPos,CDPos,WPos,IMPos,FWPos
1,Hanguk,Jong-Kyung Ji,429263806,Head,,22.27,10주 1일,2320,2,3,7,7,20,TRUE,6,3,1,1,1,1,5,648,2017-10-18,3.5,KP,990000,0,,,6.72,3.97,4.05,3.24,3.12,2.9
2,Hanguk,Soon Jung,429263807,,,28.4,10주 1일,1320,7,5,6,7,20,TRUE,5,5,1,1,3,1,3,577,2017-10-22,3.5,KP,770000,0,,,6.38,4.93,5.08,3.73,3.51,3.23
3,Hanguk,Dong-Ho Lee,429263808,,,29.58,10주 1일,390,4,5,6,6,20,TRUE,1,6,5,2,2,2,4,611,2017-10-22,3,W,300000,1,,,4.16,6.34,6.86,5.72,6.09,4.55
4,Hanguk,Sung-Bum Hyun,429263809,Technical,,18.96,10주 1일,2130,2,2,8,7,20,TRUE,1,8,4,3,4,2,5,855,2017-10-18,4.5,WB,370000,1,,,4.69,7.64,7.99,6.11,5.99,4.72
5,Hanguk,Pyung-Jae Song,429263810,Powerful,Y×1,31.42,10주 1일,330,3,5,4,6,20,TRUE,1,7,4,4,3,1,7,696,2017-10-22,3,CD,310000,2,,,3.51,5.55,5.64,4.68,4.47,3.42
6,Hanguk,Yong-Seo Kwon,429263811,,,27.14,10주 1일,2470,3,4,6,7,20,TRUE,1,8,3,6,4,2,6,874,2017-10-22,4.5,CD,570000,1,,,4.66,7.67,7.35,6.06,5.2,4.74
7,Hanguk,Ang-Ri Choi,429263812,Powerful,,32.26,10주 1일,720,2,5,6,6,20,TRUE,2,7,6,5,6,3,6,680,2017-10-18,5,W,320000,2,,,4.82,7.23,7.42,6.89,6.91,5.79
8,Hanguk,Min-Gyu Jung,429263814,,,21.100,10주 1일,1030,1,3,6,6,20,TRUE,1,6,6,4,4,2,5,669,2017-10-22,3.5,CD,310000,1,,,3.84,6.5,6.82,6.31,6.53,4.95
9,Hanguk,Seung-Min Lee,429263815,Quick,,19.107,10주 1일,1370,3,2,6,6,20,TRUE,1,6,6,3,6,2,6,646,2017-10-18,3,CD,330000,0,,,3.61,6.09,6.57,6.04,6.44,4.89
10,Hanguk,Jung-Jae Lee,429263816,Unpredictable,Y×1,24.69,10주 1일,2030,4,3,6,7,20,TRUE,1,7,7,2,3,2,4,772,2017-10-18,4,CD,430000,1,,,4.21,7.06,7.89,6.66,7.39,5.01
11,Hanguk,Ryung-Tae Kim,429263818,,,26.23,10주 1일,1320,2,3,5,7,20,TRUE,2,6,6,3,5,3,5,687,2017-10-18,3.5,CD,350000,2,,,4.19,5.99,6.44,5.87,6.28,5.04
12,Hanguk,Jung-Eum Yun,429263819,Powerful,,25.20,10주 1일,1040,5,4,7,7,20,TRUE,1,3,7,3,5,3,4,716,2017-10-18,4.5,IM,410000,5,,,3.61,5.78,6.34,7.02,7.89,6.35
13,Hanguk,Hong-Woon Kim,429263820,Technical,Y×1,21.35,10주 1일,2180,2,3,7,7,20,TRUE,1,6,6,6,5,3,4,652,2017-10-18,4.5,WB,330000,0,,,4.35,7.73,7.73,7.64,7.53,6.4
14,Hanguk,Moon-Hak Park,429263822,Powerful,,28.59,10주 1일,980,4,4,3,6,20,TRUE,1,7,5,6,4,4,3,701,2017-10-22,2.5,WB,310000,0,,,3.02,5.18,5.12,4.66,4.43,4.1
15,Hanguk,Bong-Joo Kim,429263823,,,22.81,10주 1일,2580,4,3,4,7,20,TRUE,1,6,6,7,6,2,4,772,2017-10-22,3.5,WB,370000,2,,,3.22,5.86,5.72,5.87,5.61,4.64
16,Hanguk,Kil-Sung Park,429263824,,Y×2,19.31,10주 1일,1010,5,2,4,6,20,TRUE,1,3,3,5,4,7,6,774,2017-10-22,4,FW,410000,8,,,2.37,3.61,3.34,3.69,3.51,4.75
17,Hanguk,Seung-Ok Lee,429263826,Technical,Y×2,33.92,10주 1일,140,5,7,6,6,20,TRUE,1,2,4,3,3,7,5,680,2017-10-22,7,FW,310000,4,,,3.34,4.51,4.6,5.09,5.47,6.47
18,Hanguk,Min-Ho Ji,429263827,Unpredictable,,25.107,10주 1일,1230,2,4,7,6,20,TRUE,1,2,5,3,6,6,3,662,2017-10-22,3.5,IM,310000,11,,,3.28,4.74,4.97,5.88,6.47,6.97
19,Hanguk,Yong-Jae Kim,429284705,Unpredictable,Bru,18.40,10주 0일,10,3,1,5,6,20,TRUE,1,2,2,3,3,2,2,292,2017-10-22,2,W,250000,3,,,1.99,2.64,2.5,2.72,2.57,2.71
20,Hanguk,Yi-Chun Jin,429677916,,,19.28,9주 0일,30,3,1,5,6,20,TRUE,1,2,4,3,2,1,2,413,2017-10-11,2,IM,250000,0,,,2.1,3.13,3.21,3.58,3.74,2.87
21,Hanguk,Chung-Ho Seo,430376571,,,19.42,8주 1일,60,4,1,7,6,20,TRUE,1,3,3,2,3,4,3,406,2017-10-11,2.5,IM,250000,2,,,2.69,3.76,3.93,3.74,3.96,4.18
