Number,Nat,Player,PlayerID,Special,Stat,Age,Since,TSI,LS,XP,Fo,Stm,Lo,MB,KP,DF,PM,WI,PS,SC,SP,Psico,Last,Rt,Pos,Wage,G,TC,PH,KPPos,WBPos,CDPos,WPos,IMPos,FWPos
2,Hanguk,Jee-Hoon Kim,428709461,,,22.0,3시즌 3주 0일,39680,3,2,7,8,20,TRUE,13,5,1,1,1,2,8,1363,2018-06-21,7,KP,11930000,0,,,12.05,4.99,5.16,3.47,3.26,3.17
3,Hanguk,Eun-Seok Hong,427619235,,,32.25,3시즌 11주 0일,190,5,5,6,6,20,TRUE,1,6,5,3,2,1,7,590,2018-06-24,4,CD,290000,9,,,4.1,6.41,6.78,5.82,5.98,4.24
4,Hanguk,Ji-Woon Lee,427619236,,R,22.41,3시즌 11주 0일,1280,5,3,7,8,20,TRUE,1,7,4,3,5,2,7,728,2018-06-24,4.5,CD,390000,25,,,4.66,7.35,7.65,6.28,6.23,5.12
6,Hanguk,Jae-Shin Cha,427619238,,,30.22,3시즌 11주 0일,790,5,5,8,6,20,TRUE,1,7,3,6,3,1,10,732,2018-06-24,5,WB,360000,13,,,4.93,7.93,7.55,6.47,5.55,4.74
8,Hanguk,Hong-Chan Son,427619240,,,24.82,3시즌 11주 0일,1190,5,3,7,7,20,TRUE,1,5,6,5,5,1,8,636,2018-06-21,4,WB,310000,1,,,4.07,6.99,7.13,7.26,7.34,5.49
9,Hanguk,Hoi-Taek Park,427619241,Unpredictable,Y×1,22.89,3시즌 11주 0일,1170,2,3,5,8,20,TRUE,1,5,6,3,6,3,10,619,2018-06-21,4.5,IM,330000,10,,,3.48,5.66,6.1,5.94,6.41,5.3
10,Hanguk,Kwang-Eul Jeon,427619242,,Y×2,26.88,3시즌 11주 0일,1690,4,5,8,7,20,TRUE,1,6,7,3,3,2,9,764,2018-06-24,5,IM,430000,13,,,4.77,7.9,8.61,7.86,8.54,6.08
11,Hanguk,Kwang-Hwan Yun,427619243,,Y×1,29.55,3시즌 11주 0일,650,6,5,7,6,20,TRUE,2,5,6,2,5,2,9,626,2018-06-21,4,W,320000,12,,,4.89,6.54,7.21,6.75,7.44,5.65
12,Hanguk,Chan-Myung Lee,427619244,,Y×1,28.64,3시즌 11주 0일,900,3,4,7,7,20,TRUE,1,3,7,3,4,3,8,729,2018-06-21,4.5,IM,410000,8,,,3.62,5.81,6.36,6.96,7.83,6.22
13,Hanguk,Sung-Kook Han,427619245,Technical,,24.52,3시즌 11주 0일,1470,2,4,6,8,20,TRUE,1,5,6,6,5,2,9,615,2018-06-24,5,W,330000,18,,,3.96,6.86,6.82,7.13,7.05,5.76
14,Hanguk,Se-Jong Cho,427619246,,,31.52,3시즌 11주 0일,420,4,6,7,6,20,TRUE,1,5,5,6,3,3,8,596,2018-06-21,4,WB,280000,18,,,4.24,6.98,6.8,6.83,6.56,5.87
