Number,Nat,Player,PlayerID,Special,Stat,Age,Since,TSI,LS,XP,Fo,Stm,Lo,FALSE,KP,DF,PM,WI,PS,SC,SP,Psico,Last,Rt,Pos,Wage,G,KPPos,WBdPos,WBPos,WBtmPos,WBoPos,CDPos,CDtwPos,CDoPos,WPos,IMPos,FWPos,FWdPos,FWtwPos,TDFPos,BPo,BPoV
2,Hanguk,Jee-Hoon Kim,428709461,,,23.15,4 시즌 5 주 2 일,58100,3,2,7,8,20,TRUE,15,5,1,1,1,2,10,1513,2018-10-24,8,KP,19050000,0,13.4,5.37,4.99,5.06,4.59,5.15,5.34,4.43,3.47,3.26,3.17,2.98,3.16,0,KP,13.4
4,Hanguk,Ji-Woon Lee,427619236,,,23.56,4 시즌 13 주 2 일,1260,5,3,7,8,20,TRUE,1,7,4,3,5,2,9,725,2018-10-24,4.5,CD,390000,26,4.66,7.66,7.34,7.47,7.02,7.65,7.7,7.11,6.27,6.22,5.11,5.67,5,0,CDtw,7.7
6,Hanguk,Jae-Shin Cha,427619238,,Y×2,31.37,4 시즌 13 주 2 일,410,5,6,4,6,20,TRUE,1,7,3,6,3,1,11,703,2018-10-28,3.5,WB,350000,24,3.64,6.02,5.82,5.7,5.6,5.54,5.86,5.02,4.76,4.09,3.51,3.66,3.77,0,WBd,6.02
8,Hanguk,Hong-Chan Son,427619240,,Y×1,25.97,4 시즌 13 주 2 일,1220,5,4,7,7,20,TRUE,1,5,6,5,5,1,10,641,2018-10-28,5,W,310000,8,4.23,7.08,7.14,7.2,7.21,7.28,7.15,7.46,7.41,7.49,5.64,6.49,5.58,0,IMtw,7.58
10,Hanguk,Kwang-Eul Jeon,427619242,,Y×1,27.103,4 시즌 13 주 2 일,1520,4,5,6,7,20,TRUE,1,6,7,3,3,2,11,758,2018-10-28,4.5,IM,430000,18,4.24,7.06,7.03,7.3,7.01,7.66,7.31,7.82,6.99,7.59,5.41,5.98,5.07,0,Cdo,7.82
11,Hanguk,Kwang-Hwan Yun,427619243,,Y×1,30.70,4 시즌 13 주 2 일,490,6,5,6,6,20,TRUE,2,5,6,2,5,2,10,611,2018-10-28,4,W,310000,14,4.47,6.01,5.98,6.24,5.96,6.59,6.25,6.75,6.17,6.81,5.17,5.9,4.8,0,IMd,6.84
12,Hanguk,Chan-Myung Lee,427619244,,Y×2,29.79,4 시즌 13 주 2 일,780,3,5,8,6,20,TRUE,1,3,7,3,4,3,10,724,2018-10-24,5,IM,390000,9,3.82,5.8,6.06,6.3,6.33,6.62,6.1,7.34,7.24,8.13,6.48,7.05,6.09,0,IMo,8.16
13,Hanguk,Sung-Kook Han,427619245,Technical,,25.67,4 시즌 13 주 2 일,940,2,4,3,7,20,TRUE,1,5,6,6,5,2,10,632,2018-10-28,3,W,330000,25,2.76,4.72,4.78,4.77,4.84,4.75,4.72,4.87,4.97,4.91,4.01,0,4.04,4.42,IMtw,5.01
15,Hanguk,Man-Ok Lee,427619247,Unpredictable,Y×1,27.8,4 시즌 13 주 2 일,2120,5,4,6,7,20,TRUE,1,5,5,7,6,2,10,770,2018-10-24,5,W,350000,13,3.9,6.66,6.73,6.58,6.78,6.39,6.55,6.39,6.84,6.38,5.66,6.2,5.88,0,Wo,7.03
16,Hanguk,Dong-Shik Kim,427619248,,Y×2,23.2,4 시즌 13 주 2 일,1620,6,3,7,8,20,TRUE,1,3,3,6,4,7,12,753,2018-10-28,5.5,FW,410000,42,3.54,5.35,5.45,5.21,5.53,4.9,5.15,4.9,5.59,5.14,6.98,6.21,7.28,0,FWtw,7.28
25,Polska,Pylyp Nagorniak,406205227,,,31.2,4 시즌 8 주 1 일,830,5,3,5,6,20,FALSE,1,6,6,3,6,3,11,606,2018-10-24,4,IM,396000,12,3.16,5.54,5.46,5.65,5.39,5.9,5.7,5.9,5.42,5.82,4.66,5.25,4.4,0,CD,5.9
31,Hanguk,Se-Hee Park,430626797,,,22.49,3 시즌 12 주 2 일,1120,4,3,5,7,20,TRUE,1,2,5,5,3,7,9,726,2018-10-28,4,FW,390000,28,2.76,4.11,4.36,4.31,4.6,4.25,4.13,4.71,5.17,5.38,6.16,5.62,6.17,0,FWtw,6.17
34,Sverige,Axel Hermansson,422526443,,,32.24,3 시즌 10 주 1 일,700,5,5,6,6,20,FALSE,2,6,6,2,6,2,9,604,2018-09-23,4,IM,420000,18,4.23,6.07,5.95,6.22,5.85,6.59,6.29,6.59,5.89,6.46,4.8,5.64,4.43,0,CD,6.59
40,Perú,Matías Pichis,416567166,,Bru,25.92,3 시즌 6 주 0 일,8690,6,2,6,7,20,FALSE,1,10,8,2,4,4,9,1000,2018-10-28,5.5,CD,1764000,5,4.19,8.22,7.87,8.32,7.55,8.91,8.55,8.6,6.81,7.61,5.33,5.81,4.79,0,CD,8.91
48,Hanguk,Dong-Suk Lee,432205385,Technical,,21.63,3 시즌 0 주 1 일,1140,6,2,6,7,20,TRUE,1,5,4,5,6,5,6,615,2018-10-24,3.5,FW,290000,14,3.55,5.89,5.83,5.78,5.77,5.7,5.82,5.54,5.66,5.47,5.91,0,5.99,5.98,FWtw,5.99
52,Hanguk,Seong-Gong Choi,433454317,Unpredictable,,20.31,2 시즌 12 주 2 일,4910,4,2,5,7,20,TRUE,1,7,7,7,4,5,7,775,2018-10-28,4,CD,550000,16,3.68,7.06,7.06,7.06,7.06,7.06,7.06,7.06,6.84,6.77,6.02,6,6.06,0,CD,7.06
55,Hanguk,Geun-Ho Han,433728993,,,21.33,2 시즌 9 주 2 일,2130,3,2,6,7,20,TRUE,1,5,6,4,3,7,6,727,2018-10-24,4,FW,410000,13,3.57,6.08,6.11,6.24,6.15,6.41,6.21,6.57,6.18,6.63,6.67,6.24,6.49,0,IMd,6.67
