Number,Nat,Player,PlayerID,Special,Stat,Age,Since,TSI,LS,XP,Fo,Stm,Lo,MB,KP,DF,PM,WI,PS,SC,SP,Psico,Last,Rt,Pos,Wage,G,KPPos,WBdPos,WBPos,WBtmPos,WBoPos,CDPos,CDtwPos,CDoPos,WdPos,WPos,WtmPos,WoPos,IMdPos,IMPos,IMtwPos,IMoPos,FWPos,FWdPos,FWtwPos,TDFPos,BPo,BPoV
2,Hanguk,Jee-Hoon Kim,428709461,,,24.33,5 시즌 7 주 6 일,88410,3,3,8,8,20,TRUE,17,5,1,1,1,2,10,1660,2019-03-06,9,KP,28890000,0,15.5,5.79,5.39,5.46,4.99,5.56,5.76,4.82,4.42,3.82,3.75,3.67,3.84,3.6,3.58,3.36,3.51,3.32,3.5,0,KP,15.5
84,Hanguk,Kang Jung,440669717,,,17.70,9 주 6 일,6850,5,1,7,6,20,TRUE,8,4,1,1,1,1,4,853,2019-02-27,4.5,KP,710000,0,7.47,4.06,3.79,3.84,3.51,3.91,4.04,3.4,3.13,2.72,2.68,2.62,2.72,2.55,2.56,2.37,2.24,2.24,2.24,0,KP,7.47
78,Hanguk,Jung-Oh Han,433730490,Technical,,22.72,1 시즌 11 주 3 일,4960,4,2,8,8,15,FALSE,1,9,3,5,1,3,6,955,2019-02-27,5,WB,1270000,5,4.41,8.44,7.91,7.85,7.36,7.79,8.25,6.67,6.3,5.4,5.26,5.28,5.06,4.59,4.82,4.1,4.02,0,4.28,3.56,WBd,8.44
81,Hanguk,Sang-Yong Jang,433566477,,,22.66,1 시즌 6 주 6 일,8620,2,3,7,8,14,FALSE,1,9,6,6,5,4,5,954,2019-03-06,5,WB,1170000,14,4.43,8.95,8.66,8.71,8.37,8.79,8.92,8.25,7.88,7.43,7.4,7.29,7.42,7.17,7.26,6.9,6.06,6.3,6.09,0,WBd,8.95
80,Andorra,Joaquim Muntaner,427020395,Technical,,28.74,1 시즌 7 주 2 일,12390,6,6,6,7,14,FALSE,1,9,6,8,7,4,10,930,2019-03-06,4.5,WB,1404000,33,4.35,8.7,8.5,8.4,8.28,8.28,8.56,7.79,7.93,7.58,7.45,7.67,7.14,6.99,7.22,6.83,6.31,0,6.52,6.71,WBd,8.7
61,Oceania,Cedrick Williamson,430364099,Powerful,,22.2,3 시즌 6 주 4 일,6610,3,3,7,8,20,FALSE,1,8,5,7,7,2,7,864,2019-02-27,4,WB,708000,3,4.46,8.6,8.38,8.27,8.14,8.13,8.44,7.59,7.82,7.45,7.28,7.58,6.91,6.76,7.05,6.62,5.71,6.42,5.94,0,WBd,8.6
83,Hanguk,Kwang-Hyun Seo,434869614,Unpredictable,,21.63,1 시즌 4 주 0 일,2960,2,2,7,8,13,FALSE,1,8,5,4,5,4,2,804,2019-03-06,4,WB,530000,12,3.87,7.55,7.22,7.35,6.9,7.53,7.58,6.99,6.51,6.07,6.06,5.87,6.25,6.05,6,5.84,5.24,5.48,5.13,0,CDtw,7.58
99,Danmark,Torben Boesen,321795066,Head,,42.65,1 시즌 9 주 6 일,0,4,13,4,1,14,FALSE,0,6,0,0,0,0,0,590,2018-06-06,4,WB,312000,79,1.73,2.77,2.5,2.55,2.23,2.62,2.75,2.12,1.85,1.44,1.4,1.34,1.44,1.27,1.28,1.1,0.96,0.96,0.96,0,WBd,2.77
15,Hanguk,Man-Ok Lee,427619247,Unpredictable,Y×1 Bru,28.26,5 시즌 15 주 6 일,1780,5,5,7,7,20,TRUE,1,5,5,7,6,2,10,703,2019-03-03,5,W,350000,20,4.07,6.87,6.94,6.79,6.99,6.6,6.75,6.6,7.01,7.05,6.96,7.25,6.58,6.58,6.85,6.58,5.86,6.4,6.08,0,Wo,7.25
13,Hanguk,Sung-Kook Han,427619245,Technical,,26.85,5 시즌 15 주 6 일,1590,2,4,8,7,20,TRUE,1,5,6,6,5,2,10,643,2019-03-06,4.5,W,330000,28,4.35,7.44,7.54,7.52,7.64,7.5,7.45,7.68,7.71,7.84,7.87,7.84,7.78,7.75,7.9,7.69,6.33,0,6.38,6.97,IMtw,7.9
