Number,Nat,Player,PlayerID,Special,Stat,Age,Since,TSI,LS,XP,Fo,Stm,Lo,FALSE,KP,DF,PM,WI,PS,SC,SP,Psico,Last,Rt,Pos,Wage,G,KPPos,WBPos,CDPos,WPos,IMPos,FWPos,FWdPos,FWtwPos,TDFPos,BPo,BPoV
1,Hanguk,Jong-Kyung Ji,429263806,Head,,25.15,3 시즌 8 주 3 일,2500,2,4,8,8,20,TRUE,6,4,1,1,1,1,5,647,2018-09-09,4.5,KP,990000,0,7.64,4.98,5.11,3.81,3.61,3.27,3.27,3.27,0,KP,7.64
2,Hanguk,Soon Jung,429263807,,,30.104,3 시즌 8 주 3 일,170,7,6,7,6,20,TRUE,5,6,1,1,3,1,3,609,2018-09-05,4,KP,680000,0,7.14,5.86,6.06,4.22,3.94,3.52,3.78,3.5,0,KP,7.14
7,Hanguk,Ang-Ri Choi,429263812,Powerful,,35.14,3 시즌 8 주 3 일,130,2,6,8,5,20,TRUE,2,7,5,4,5,1,5,680,2018-09-05,4.5,W,290000,16,5.45,7.74,8,7,6.94,5.25,6.01,5.17,0,CD,8
9,Hanguk,Seung-Min Lee,429263815,Quick,,22.95,3 시즌 8 주 3 일,8790,3,3,6,8,20,TRUE,1,10,6,3,6,2,6,1003,2018-09-09,5,IM,1330000,4,5.09,8.76,9.43,7.3,7.5,5.43,6.27,5.13,0,CD,9.43
10,Hanguk,Jung-Jae Lee,429263816,Unpredictable,,27.57,3 시즌 8 주 3 일,5130,4,4,7,7,20,TRUE,1,9,7,2,3,2,4,916,2018-09-09,5.5,IM,870000,4,5.31,8.98,9.97,7.8,8.47,5.65,6.32,5.17,0,CD,9.97
11,Hanguk,Ryung-Tae Kim,429263818,,,29.11,3 시즌 8 주 3 일,2380,2,4,7,7,20,TRUE,2,8,6,3,5,3,5,800,2018-09-05,5,IM,570000,9,5.62,8.27,8.89,7.4,7.75,6.08,6.66,5.78,0,CD,8.89
12,Hanguk,Jung-Eum Yun,429263819,Powerful,,28.8,3 시즌 8 주 3 일,1080,5,5,6,7,20,TRUE,1,5,7,3,5,3,4,701,2018-09-09,4.5,IM,410000,13,4,6.54,7.14,7.01,7.71,6.07,6.71,5.7,0,IMd,7.73
13,Hanguk,Hong-Woon Kim,429263820,Technical,Y×1,24.23,3 시즌 8 주 3 일,10410,2,4,8,8,20,TRUE,1,10,6,6,5,3,4,1021,2018-09-09,7,W,1430000,5,5.84,10.5,10.67,8.84,8.46,6.82,0,6.86,7.27,WBd,10.9
15,Hanguk,Bong-Joo Kim,429263823,,,25.69,3 시즌 8 주 3 일,12710,4,4,7,7,20,TRUE,1,10,6,7,6,2,4,1061,2018-09-09,6.5,W,1350000,12,5.62,10.28,10.27,8.79,8.2,6.44,7.13,6.59,0,WBd,10.63
16,Hanguk,Kil-Sung Park,429263824,,,22.19,3 시즌 8 주 3 일,1990,5,3,8,8,20,TRUE,1,5,3,5,4,7,6,743,2018-09-09,6,FW,410000,21,4.24,6.59,6.3,5.93,5.54,7.11,6.36,7.3,0,FWtw,7.3
18,Hanguk,Min-Ho Ji,429263827,Unpredictable,,28.95,3 시즌 8 주 3 일,1170,2,6,7,6,20,TRUE,1,4,5,3,6,6,3,614,2018-08-12,5,FW,310000,32,4.14,6.19,6.51,6.61,7.11,7.4,7.46,7.15,0,FWd,7.46
31,Česká republika,,397610518,Head,,30.77,2 시즌 15 주 2 일,12120,3,7,6,6,19,FALSE,1,9,9,1,8,4,4,899,2018-09-05,6,IM,1740000,42,4.56,8.07,9.37,7.87,9.13,6.65,7.75,5.88,0,CD,9.37
43,Hanguk,Ji-Soo Kim,433466579,Technical,,20.32,2 시즌 5 주 2 일,10080,3,2,8,7,20,TRUE,1,11,4,4,3,3,3,1121,2018-09-09,6,WB,1950000,0,5.67,9.73,10.03,6.92,6.44,5.21,0,5.23,5.24,WBd,10.42
44,Hanguk,Sang-Yong Jang,433566477,,,20.111,2 시즌 4 주 2 일,6870,2,2,6,7,20,TRUE,1,9,6,6,5,4,2,924,2018-09-09,5,WB,410000,4,4.59,8.49,8.6,7.36,7.12,6.09,6.31,6.12,0,WBd,8.76
48,Hanguk,Jin-Taek Cho,433931826,Powerful,,20.21,2 시즌 0 주 2 일,1700,1,1,6,7,20,TRUE,1,8,5,4,2,4,5,801,2018-09-05,3.5,W,470000,1,3.88,6.89,7.17,5.62,5.59,4.69,4.56,4.63,0,CDtw,7.22
54,Hanguk,Kwang-Hyun Seo,434869614,Unpredictable,,19.108,1 시즌 9 주 2 일,1690,2,1,7,7,20,TRUE,1,7,5,4,5,4,2,704,2018-09-05,4,WB,250000,9,3.96,6.97,7.23,6.21,6.25,5.57,5.8,5.46,0,CDtw,7.24
58,Hanguk,Yi-Sub Kang,435570656,,Y×1,20.27,1 시즌 5 주 3 일,2200,5,1,7,7,20,TRUE,1,7,3,5,5,5,4,736,2018-09-05,4,WB,330000,0,3.91,6.64,6.45,5.38,4.83,5.44,5.23,5.63,0,WBd,6.95
59,Hanguk,Hyung-Hwa Jung,435660098,,,19.12,1 시즌 4 주 3 일,2050,5,2,7,7,20,TRUE,1,8,4,3,5,2,6,822,2018-09-05,4.5,CD,490000,3,4.57,7.43,7.77,6.03,5.92,4.74,5.28,4.63,0,CDtw,7.87
60,Hanguk,Chu-Seok Ahn,435761718,,,18.111,1 시즌 3 주 2 일,1050,3,1,7,6,20,TRUE,1,4,5,3,3,7,5,709,2018-09-09,5,FW,350000,3,2.99,4.91,5.21,5.07,5.56,5.99,5.5,5.79,0,FW,5.99
61,Schweiz,Francois Baumgartner,434542904,,,18.91,1 시즌 3 주 1 일,8690,5,2,7,7,13,FALSE,1,8,7,6,7,6,3,797,2018-09-02,4.5,CD,492000,5,3.81,7.9,8.12,7.51,7.61,7.03,7.27,6.93,0,CD,8.12
63,Hellas,Damianos Yiannopoulos,377705560,Unpredictable,,35.78,1 시즌 2 주 1 일,7570,6,9,8,5,12,FALSE,1,9,12,11,4,3,14,1180,2018-09-05,7,W,4308000,93,4.44,10.25,10.31,10.63,10.65,7.49,8.1,7.55,0,IMtw,10.89
64,Hanguk,Koo-Joong Kim,435928762,,,18.102,1 시즌 1 주 3 일,3730,3,2,8,7,20,TRUE,1,9,4,3,2,2,3,953,2018-09-09,5,CD,370000,3,4.98,8.21,8.6,6.12,5.93,4.42,4.58,4.35,0,CDtw,8.75
67,Hanguk,Hae-Won Kim,437472967,,Y×1,19.10,6 주 2 일,3120,3,1,7,6,20,TRUE,1,8,3,3,6,5,3,835,2018-09-09,4,CD,670000,0,3.94,6.44,6.63,4.95,4.75,5.07,5.09,5.02,0,WBd,6.88
