Number,Nat,Player,PlayerID,Special,Stat,Age,Since,TSI,LS,XP,Fo,Stm,Lo,MB,KP,DF,PM,WI,PS,SC,SP,Psico,Last,Rt,Pos,Wage,G,KPPos,WBdPos,WBPos,WBtmPos,WBoPos,CDPos,CDtwPos,CDoPos,WdPos,WPos,WtmPos,WoPos,IMdPos,IMPos,IMtwPos,IMoPos,FWPos,FWdPos,FWtwPos,TDFPos,BPo,BPoV
2,Hanguk,Jee-Hoon Kim,428709461,,,25.67,6 s 12 wk 5 d,116690,3,4,7,7,20,TRUE,18,5,1,1,1,2,10,1835,2019-07-31,10,KP,40300000,0,15.83,5.76,5.37,5.44,4.98,5.54,5.72,4.82,4.43,3.85,3.79,3.7,3.87,3.64,3.62,3.41,3.56,3.37,3.55,0,KP,15.83
4,Hanguk,Ji-Woon Lee,427619236,,,25.108,7 s 4 wk 5 d,1110,5,4,6,7,20,TRUE,1,7,4,3,5,2,9,725,2019-07-28,4,CD,390000,29,4.44,7.2,6.91,7.03,6.61,7.19,7.24,6.69,6.32,5.92,5.9,5.77,6.03,5.88,5.86,5.71,4.86,5.37,4.75,0,CDtw,7.24
8,Hanguk,Hong-Chan Son,427619240,,Y×1,28.37,7 s 4 wk 5 d,1040,5,5,8,7,20,TRUE,1,5,6,5,5,1,10,614,2019-07-28,4.5,W,310000,18,4.45,7.36,7.43,7.49,7.5,7.57,7.44,7.75,7.59,7.7,7.78,7.62,7.83,7.78,7.87,7.71,5.89,6.76,5.83,0,IMtw,7.87
10,Hanguk,Kwang-Eul Jeon,427619242,,,30.43,7 s 4 wk 5 d,940,4,6,8,6,20,TRUE,1,6,7,3,3,2,11,703,2019-07-31,5.5,IM,390000,33,4.75,7.85,7.81,8.11,7.79,8.5,8.12,8.68,7.75,7.77,8.01,7.31,8.6,8.43,8.26,8.22,6.03,6.66,5.67,0,Cdo,8.68
11,Hanguk,Kwang-Hwan Yun,427619243,,,33.10,7 s 4 wk 5 d,100,6,6,5,5,20,TRUE,2,5,6,2,5,1,10,590,2019-06-19,4,W,280000,24,4.09,5.48,5.45,5.68,5.44,6,5.69,6.14,5.57,5.62,5.77,5.35,6.2,6.16,6.02,6.11,4.41,5.22,4.08,0,IMd,6.2
12,Hanguk,Chan-Myung Lee,427619244,,,32.19,7 s 4 wk 5 d,260,3,5,7,6,20,TRUE,1,3,7,3,4,3,10,686,2019-07-31,4.5,IM,330000,13,3.66,5.56,5.8,6.04,6.07,6.35,5.85,7.03,6.49,6.94,7.2,6.64,7.72,7.79,7.58,7.82,6.21,6.76,5.84,0,IMo,7.82
13,Hanguk,Sung-Kook Han,427619245,Technical,,28.7,7 s 4 wk 5 d,1360,2,5,8,7,20,TRUE,1,5,6,6,5,2,10,614,2019-07-28,4.5,W,330000,43,4.46,7.53,7.63,7.61,7.73,7.58,7.54,7.77,7.79,7.92,7.96,7.92,7.87,7.83,7.98,7.78,6.42,0,6.47,7.06,IMtw,7.98
15,Hanguk,Man-Ok Lee,427619247,Unpredictable,Inj 2,29.60,7 s 4 wk 5 d,1050,5,5,6,6,20,TRUE,1,5,5,7,6,2,10,692,2019-07-24,5,W,340000,22,3.95,6.67,6.73,6.59,6.78,6.4,6.55,6.4,6.8,6.84,6.76,7.03,6.39,6.39,6.65,6.38,5.68,6.21,5.9,0,Wo,7.03
16,Hanguk,Dong-Shik Kim,427619248,,Y×1,25.54,7 s 4 wk 5 d,1570,6,4,7,7,20,TRUE,1,3,3,6,4,7,12,766,2019-07-31,5.5,FW,410000,75,3.71,5.52,5.62,5.39,5.71,5.07,5.33,5.07,5.7,5.76,5.63,6.06,5.21,5.31,5.44,5.43,7.16,6.38,7.46,0,FWtw,7.46
31,Hanguk,Se-Hee Park,430626797,,,24.101,6 s 3 wk 5 d,1370,4,4,7,8,20,TRUE,1,2,5,5,3,7,9,709,2019-07-28,5,FW,390000,58,3.44,5.04,5.33,5.28,5.62,5.2,5.06,5.74,5.89,6.29,6.38,6.33,6.41,6.54,6.47,6.66,7.47,6.83,7.48,0,FWtw,7.48
34,Sverige,Axel Hermansson,422526443,,,34.76,6 s 1 wk 4 d,110,5,6,8,5,20,FALSE,2,6,6,1,5,1,9,590,2019-07-28,4,CD,348000,25,4.72,6.59,6.43,6.81,6.29,7.3,6.9,7.3,6.35,6.26,6.46,5.81,7.15,7.04,6.78,6.91,4.72,5.74,4.22,0,CD,7.3
40,Perú,Matías Pichis,416567166,,,28.32,5 s 13 wk 3 d,8490,6,3,8,7,20,FALSE,1,10,8,2,4,4,9,998,2019-07-31,6,CD,1764000,7,5.09,9.76,9.36,9.87,8.99,10.56,10.14,10.2,8.57,8.12,8.4,7.37,9.4,9.05,8.67,8.66,6.4,6.96,5.78,0,CD,10.56
48,Hanguk,Dong-Suk Lee,432205385,Technical,,24.3,5 s 7 wk 4 d,1140,6,3,5,8,20,TRUE,1,5,4,5,6,5,6,615,2019-07-28,4,FW,290000,25,3.48,5.66,5.6,5.55,5.54,5.48,5.59,5.33,5.53,5.45,5.37,5.55,5.23,5.26,5.3,5.3,5.68,0,5.75,5.74,FWtw,5.75
52,Hanguk,Seong-Gong Choi,433454317,Unpredictable,Y×1,22.83,5 s 3 wk 5 d,6320,4,3,8,8,20,TRUE,1,7,7,7,4,5,7,800,2019-07-31,5,CD,550000,25,4.82,9.04,9.04,9.04,9.04,9.04,9.04,9.04,8.82,8.77,8.82,8.66,8.83,8.68,8.77,8.49,7.74,7.72,7.8,0,CD,9.04
55,Hanguk,Geun-Ho Han,433728993,,,23.85,5 s 0 wk 5 d,2330,3,3,7,8,20,TRUE,1,5,6,4,3,7,6,705,2019-07-31,5,FW,410000,36,4.11,6.83,6.86,7,6.91,7.19,6.97,7.37,6.88,6.94,7.09,6.7,7.48,7.43,7.22,7.36,7.48,7,7.28,0,IMd,7.48
61,Oceania,Cedrick Williamson,430364099,Powerful,,23.36,4 s 11 wk 3 d,7080,3,4,8,8,20,FALSE,1,8,5,7,7,2,7,879,2019-07-28,5,WB,708000,7,4.78,9.06,8.83,8.72,8.58,8.58,8.89,8.02,8.25,7.87,7.7,8.01,7.31,7.16,7.46,7.01,6.07,6.81,6.31,0,WBd,9.06
70,Hanguk,Min-Gyu Jung,429263814,,,27.77,4 s 2 wk 2 d,5060,1,4,6,7,20,FALSE,1,9,6,4,4,2,7,939,2019-07-31,4.5,CD,1050000,5,4.49,8.35,8.02,8.22,7.7,8.48,8.45,7.98,7.24,6.79,6.84,6.46,7.14,6.84,6.83,6.52,4.89,5.44,4.73,0,CD,8.48
78,Hanguk,Jung-Oh Han,433730490,Technical,,23.106,3 s 0 wk 2 d,5010,4,3,8,8,20,FALSE,1,9,3,5,1,3,6,957,2019-07-31,5.5,WB,1270000,6,4.89,8.91,8.38,8.33,7.83,8.26,8.72,7.15,6.78,5.88,5.74,5.76,5.54,5.08,5.3,4.59,4.5,0,4.77,4.04,WBd,8.91
79,España,Jimeno Eguiruren,415605434,,Y×1,28.50,2 s 13 wk 5 d,21880,5,6,7,7,19,FALSE,1,8,11,3,9,2,6,1087,2019-07-31,6.5,IM,4116000,35,4.7,9.1,9.12,9.68,9.18,10.44,9.63,10.96,9.65,9.93,10.31,9.28,11.38,11.36,10.95,11.29,7.46,9.29,6.66,0,IMd,11.38
