Number,Nat,Player,PlayerID,Special,Stat,Age,Since,TSI,LS,XP,Fo,Stm,Lo,FALSE,KP,DF,PM,WI,PS,SC,SP,Psico,Last,Rt,Pos,Wage,G,KPPos,WBdPos,WBPos,WBtmPos,WBoPos,CDPos,CDtwPos,CDoPos,WPos,IMPos,FWPos,FWdPos,FWtwPos,TDFPos,BPo,BPoV
2,Hanguk,Jee-Hoon Kim,428709461,,,23.5,4 시즌 3 주 6 일,55750,3,2,7,8,20,TRUE,15,5,1,1,1,2,10,1496,2018-10-17,8,KP,19050000,0,13.4,5.37,4.99,5.06,4.59,5.15,5.34,4.43,3.47,3.26,3.17,2.98,3.16,0,KP,13.4
4,Hanguk,Ji-Woon Lee,427619236,,,23.46,4 시즌 11 주 6 일,1300,5,3,8,8,20,TRUE,1,7,4,3,5,2,9,728,2018-10-17,4.5,CD,390000,26,4.81,7.92,7.59,7.72,7.26,7.91,7.96,7.35,6.48,6.43,5.29,5.87,5.17,0,CDtw,7.96
6,Hanguk,Jae-Shin Cha,427619238,,Y×2,31.27,4 시즌 11 주 6 일,430,5,6,4,6,20,TRUE,1,7,3,6,3,1,11,704,2018-10-17,3.5,WB,350000,23,3.64,6.02,5.82,5.7,5.6,5.54,5.86,5.02,4.76,4.09,3.51,3.66,3.77,0,WBd,6.02
8,Hanguk,Hong-Chan Son,427619240,,Y×1,25.87,4 시즌 11 주 6 일,1140,5,4,6,7,20,TRUE,1,5,6,5,5,1,10,637,2018-10-17,4,W,310000,7,3.92,6.56,6.62,6.68,6.69,6.75,6.63,6.92,6.88,6.95,5.23,6.02,5.17,0,IMtw,7.03
10,Hanguk,Kwang-Eul Jeon,427619242,,Y×1,27.93,4 시즌 11 주 6 일,1460,4,5,6,7,20,TRUE,1,6,7,3,3,2,11,752,2018-10-14,4,IM,430000,18,4.24,7.06,7.03,7.3,7.01,7.66,7.31,7.82,6.99,7.59,5.41,5.98,5.07,0,Cdo,7.82
11,Hanguk,Kwang-Hwan Yun,427619243,,Y×1,30.60,4 시즌 11 주 6 일,500,6,5,6,6,20,TRUE,2,5,6,2,5,2,10,612,2018-10-14,4,W,310000,14,4.47,6.01,5.98,6.24,5.96,6.59,6.25,6.75,6.17,6.81,5.17,5.9,4.8,0,IMd,6.84
12,Hanguk,Chan-Myung Lee,427619244,,Y×2,29.69,4 시즌 11 주 6 일,780,3,5,8,6,20,TRUE,1,3,7,3,4,3,10,724,2018-10-17,5,IM,390000,9,3.83,5.81,6.06,6.3,6.34,6.63,6.1,7.34,7.24,8.13,6.48,7.05,6.1,0,IMo,8.17
13,Hanguk,Sung-Kook Han,427619245,Technical,,25.57,4 시즌 11 주 6 일,970,2,4,3,7,20,TRUE,1,5,6,6,5,2,10,639,2018-10-14,3,W,330000,24,2.76,4.72,4.78,4.77,4.84,4.75,4.72,4.87,4.97,4.91,4.01,0,4.04,4.42,IMtw,5.01
15,Hanguk,Man-Ok Lee,427619247,Unpredictable,Y×1,26.110,4 시즌 11 주 6 일,2160,5,4,7,7,20,TRUE,1,5,5,7,6,2,10,747,2018-10-17,5,W,350000,13,4.2,7.18,7.24,7.09,7.3,6.88,7.05,6.88,7.37,6.87,6.1,6.67,6.34,0,Wo,7.57
16,Hanguk,Dong-Shik Kim,427619248,,Y×1,22.104,4 시즌 11 주 6 일,1650,6,3,7,8,20,TRUE,1,3,3,6,4,7,12,756,2018-10-17,5.5,FW,410000,41,3.54,5.35,5.45,5.21,5.53,4.9,5.15,4.9,5.59,5.14,6.98,6.21,7.28,0,FWtw,7.28
25,Polska,Pylyp Nagorniak,406205227,,,30.104,4 시즌 6 주 5 일,1100,5,3,6,6,20,FALSE,1,6,6,3,6,3,11,611,2018-10-17,4,IM,420000,12,3.45,6.06,5.97,6.18,5.89,6.45,6.23,6.45,5.92,6.36,5.09,5.74,4.81,0,CD,6.45
31,Hanguk,Se-Hee Park,430626797,,,22.39,3 시즌 10 주 6 일,940,4,2,4,7,20,TRUE,1,2,5,5,3,7,9,718,2018-10-14,4,FW,390000,27,2.3,3.5,3.72,3.68,3.94,3.63,3.52,4.03,4.44,4.63,5.33,4.85,5.34,0,FWtw,5.34
34,Sverige,Axel Hermansson,422526443,,,32.14,3 시즌 8 주 5 일,700,5,5,6,6,20,FALSE,2,6,6,2,6,2,9,604,2018-09-23,4,IM,420000,18,4.23,6.07,5.95,6.22,5.85,6.59,6.29,6.59,5.89,6.46,4.8,5.64,4.43,0,CD,6.59
38,Latvija,Artem Skurlatov,409641598,,,30.20,3 시즌 5 주 2 일,1540,5,5,5,6,20,FALSE,1,8,6,3,4,3,7,799,2018-10-14,3.5,CD,648000,11,3.87,6.88,6.64,6.87,6.41,7.16,7.03,6.87,5.84,6.13,4.68,5.06,4.44,0,CD,7.16
40,Perú,Matías Pichis,416567166,,,25.82,3 시즌 4 주 4 일,10170,6,2,8,7,20,FALSE,1,10,8,2,4,4,9,1003,2018-10-14,5.5,CD,1764000,5,4.92,9.65,9.24,9.77,8.86,10.46,10.03,10.09,7.99,8.93,6.25,6.81,5.62,0,CD,10.46
48,Hanguk,Dong-Suk Lee,432205385,Technical,,21.53,2 시즌 14 주 5 일,1020,6,2,5,7,20,TRUE,1,5,4,5,6,5,6,615,2018-10-17,4,FW,290000,14,3.24,5.39,5.33,5.28,5.28,5.21,5.32,5.06,5.18,5,5.41,0,5.47,5.47,TDF,5.47
52,Hanguk,Seong-Gong Choi,433454317,Unpredictable,,20.21,2 시즌 11 주 0 일,5300,4,2,6,7,20,TRUE,1,7,7,7,4,5,7,778,2018-10-14,5,CD,550000,15,4.02,7.72,7.72,7.72,7.72,7.72,7.72,7.72,7.48,7.4,6.58,6.56,6.63,0,CD,7.72
55,Hanguk,Geun-Ho Han,433728993,,,21.23,2 시즌 8 주 0 일,1970,3,2,5,7,20,TRUE,1,5,6,4,3,7,6,733,2018-10-17,4,FW,410000,13,3.26,5.55,5.58,5.69,5.61,5.85,5.67,6,5.64,6.05,6.09,5.69,5.92,0,IMd,6.09
61,Oceania,Cedrick Williamson,430364099,Powerful,,20.86,2 시즌 2 주 5 일,6750,3,3,7,7,17,FALSE,1,8,5,7,7,2,7,883,2018-10-17,4.5,WB,708000,2,4.26,8.35,8.13,8.03,7.9,7.89,8.2,7.36,7.21,6.54,5.5,6.2,5.72,0,WBd,8.35
65,Hanguk,Sang-Hyun Yun,434942107,,,19.49,1 시즌 14 주 0 일,3050,3,1,7,6,20,TRUE,1,6,5,4,7,4,5,794,2018-10-17,4.5,W,390000,4,3.47,6.17,6.05,6.14,5.94,6.26,6.22,6.09,5.85,5.95,5.53,5.99,5.4,0,CD,6.26
70,Hanguk,Min-Gyu Jung,429263814,,,25.15,1 시즌 9 주 4 일,5850,1,4,7,7,14,FALSE,1,9,6,4,4,2,7,958,2018-10-17,5,CD,1030000,2,4.56,8.74,8.39,8.6,8.04,8.88,8.85,8.34,7.05,7.11,4.99,5.58,4.82,0,CD,8.88
72,Hanguk,Gyeong-Ryeol Kim,435840503,,,19.63,1 시즌 8 주 0 일,1310,3,1,4,6,20,TRUE,1,7,6,4,4,3,7,731,2018-10-10,4,CD,390000,0,2.86,5.31,5.19,5.32,5.08,5.48,5.4,5.36,4.78,4.93,3.84,4.13,3.71,0,CD,5.48
78,Hanguk,Jung-Oh Han,433730490,Technical,,21.44,7 주 4 일,4510,4,2,6,7,8,FALSE,1,9,3,5,1,3,6,974,2018-10-17,4,WB,1270000,4,3.6,7.19,6.72,6.67,6.23,6.61,7.02,5.61,4.48,3.77,3.25,0,3.49,2.84,WBd,7.19
79,España,Jimeno Eguiruren,415605434,,Y×2,25.100,4 주 6 일,24320,5,5,6,7,7,FALSE,1,8,11,3,9,2,6,1095,2018-10-14,6,IM,4068000,22,3.73,7.82,7.84,8.37,7.9,9.07,8.32,9.56,8.6,9.93,6.31,8,5.55,0,IMd,9.95
80,Andorra,Joaquim Muntaner,427020395,Technical,,27.46,3 주 2 일,16230,6,6,7,7,6,FALSE,1,9,6,8,7,4,10,1000,2018-10-14,5,WB,1260000,29,4.35,9.09,8.87,8.76,8.63,8.63,8.93,8.1,7.87,7.22,6.48,0,6.71,6.92,WBd,9.09
81,Hanguk,Sang-Yong Jang,433566477,,,21.38,2 주 6 일,7430,2,2,6,8,5,FALSE,1,9,6,6,5,4,5,928,2018-10-14,4.5,WB,970000,5,3.47,7.64,7.37,7.42,7.1,7.49,7.62,6.99,6.24,6,4.97,5.19,5,0,WBd,7.64
82,Hanguk,Si-Yul Sa,438852209,,,17.53,3 일,1290,4,0,6,5,20,TRUE,5,3,1,2,1,1,2,574,,,,750000,0,4.53,3.07,2.95,2.91,2.81,2.87,3.01,2.58,2.35,2.09,2.01,1.96,2.1,0,KP,4.53
83,Hanguk,Kwang-Hyun Seo,434869614,Unpredictable,,20.35,0 일,2580,2,1,6,7,1,FALSE,1,8,5,4,5,4,2,803,2018-10-14,4,CD,390000,9,2.59,5.89,5.6,5.72,5.31,5.88,5.93,5.4,4.57,4.55,3.82,4.04,3.73,0,CDtw,5.93
