Number,Nat,Player,PlayerID,Special,Stat,Age,Since,TSI,LS,XP,Fo,Stm,Lo,MB,KP,DF,PM,WI,PS,SC,SP,Psico,Last,Rt,Pos,Wage,G,TC,PH,KPPos,WBPos,CDPos,WPos,IMPos,FWPos
1,Hanguk,Jong-Kyung Ji,429263806,Head,,23.64,1시즌 15주 0일,2320,2,4,7,8,20,TRUE,6,3,1,1,1,1,5,648,2018-03-18,4,KP,990000,0,,,7.11,4.26,4.35,3.5,3.38,3.16
2,Hanguk,Soon Jung,429263807,,,29.41,1시즌 15주 0일,90,7,5,5,7,20,TRUE,5,6,1,1,3,1,3,591,2018-03-14,3.5,KP,720000,0,,,6.05,4.95,5.12,3.54,3.3,2.94
3,Hanguk,Dong-Ho Lee,429263808,,,30.95,1시즌 15주 0일,480,4,5,7,6,20,TRUE,1,7,5,2,2,2,4,695,2018-03-14,4,W,310000,5,,,4.72,7.31,7.92,6.28,6.62,4.87
4,Hanguk,Sung-Bum Hyun,429263809,Technical,,20.21,1시즌 15주 0일,6350,2,2,5,7,20,TRUE,1,10,4,3,4,2,5,1065,2018-03-14,4.5,CD,1890000,1,,,4.4,7.33,7.7,5.41,5.21,3.96
5,Hanguk,Pyung-Jae Song,429263810,Powerful 있음,,32.79,1시즌 15주 0일,380,3,6,6,6,20,TRUE,1,7,4,3,3,1,7,693,2018-03-14,4,W,350000,5,,,4.36,6.68,6.95,5.61,5.52,4.15
7,Hanguk,Ang-Ri Choi,429263812,Powerful 있음,,33.63,1시즌 15주 0일,350,2,5,5,6,20,TRUE,2,7,5,5,5,2,6,680,2018-03-18,3.5,W,320000,11,,,4.39,6.42,6.48,5.82,5.64,4.63
8,Hanguk,Min-Gyu Jung,429263814,,,23.25,1시즌 15주 0일,3720,1,3,5,7,20,TRUE,1,8,6,4,4,2,5,895,2018-03-14,4,CD,670000,2,,,4.16,7.18,7.56,6.37,6.47,4.77
9,Hanguk,Seung-Min Lee,429263815,Quick,,21.32,1시즌 15주 0일,4900,3,3,5,8,20,TRUE,1,9,6,3,6,2,6,901,2018-03-14,4.5,CD,630000,0,,,4.4,7.51,8.08,6.5,6.73,4.94
10,Hanguk,Jung-Jae Lee,429263816,Unpredictable,,25.106,1시즌 15주 0일,4350,4,4,7,7,20,TRUE,1,8,7,2,3,2,4,889,2018-03-14,5,IM,570000,1,,,5.06,8.48,9.43,7.67,8.4,5.68
11,Hanguk,Ryung-Tae Kim,429263818,,,27.60,1시즌 15주 0일,2460,2,4,6,7,20,TRUE,2,7,6,3,5,3,5,781,2018-03-18,4.5,IM,490000,5,,,4.99,7.21,7.75,6.74,7.13,5.67
