Number,Nat,Player,PlayerID,Special,Stat,Age,Since,TSI,LS,XP,Fo,Stm,Lo,MB,KP,DF,PM,WI,PS,SC,SP,Psico,Last,Rt,Pos,Wage,G,TC,PH,KPPos,WBPos,CDPos,WPos,IMPos,FWPos
1,Hanguk,Jee-Seung Oh,427619233,,,22.42,1시즌 2주 3일,9270,4,3,7,7,20,TRUE,9,3,1,1,1,1,6,924,2017-09-13,5,KP,1970000,0,,,8.68,3.96,4.04,3.23,3.11,2.9
2,Hanguk,Jee-Hoon Kim,428709461,,,19.51,10주 4일,4260,3,1,6,6,20,TRUE,7,5,1,1,1,2,2,773,2017-09-13,4.5,KP,930000,0,,,6.46,3.92,4.07,2.63,2.45,2.38
3,Hanguk,Eun-Seok Hong,427619235,,,29.76,1시즌 2주 3일,280,5,4,3,6,20,TRUE,1,6,6,3,2,2,4,613,2017-09-10,2,CD,300000,1,,,2.72,4.42,4.75,4.18,4.44,3.22
4,Hanguk,Ji-Woon Lee,427619236,,,19.92,1시즌 2주 3일,930,5,2,5,7,20,TRUE,1,7,4,3,5,2,5,706,2017-09-13,3,CD,390000,3,,,3.65,5.85,6.1,4.97,4.93,4.02
5,Hanguk,Jang-Soo Choi,427619237,Quick,,31.26,1시즌 2주 3일,130,5,5,4,5,20,TRUE,1,6,4,4,2,1,7,594,2017-09-06,2.5,WB,280000,0,,,3.2,4.97,5.03,4.33,4.16,3.19
6,Hanguk,Jae-Shin Cha,427619238,,,27.73,1시즌 2주 3일,1030,5,5,4,7,20,TRUE,1,7,3,6,3,2,6,791,2017-09-10,3.5,WB,390000,6,,,3.65,5.87,5.59,4.79,4.13,3.8
7,Hanguk,In-Moo Byon,427619239,,Inj 5,32.61,1시즌 2주 3일,390,1,6,6,6,20,TRUE,2,6,5,5,5,3,6,591,2017-09-13,4,CD,300000,4,,,4.71,6.71,6.75,6.39,6.27,5.55
8,Hanguk,Hong-Chan Son,427619240,,,22.21,1시즌 2주 3일,1100,5,3,6,7,20,TRUE,1,5,6,5,5,1,4,630,2017-09-10,3.5,WB,310000,0,,,3.77,6.47,6.6,6.72,6.79,5.08
9,Hanguk,Hoi-Taek Park,427619241,Unpredictable,Y×1,20.28,1시즌 2주 3일,1050,2,3,5,6,20,TRUE,1,5,6,3,6,3,6,656,2017-09-06,3.5,IM,330000,4,,,3.3,5.37,5.78,5.63,6.08,5.02
10,Hanguk,Kwang-Eul Jeon,427619242,,,24.27,1시즌 2주 3일,1610,4,3,7,7,20,TRUE,1,6,7,3,3,2,5,760,2017-09-10,5,IM,430000,5,,,4.32,7.35,8.03,7.31,7.96,5.59
11,Hanguk,Kwang-Hwan Yun,427619243,,,26.106,1시즌 2주 3일,930,6,4,7,7,20,TRUE,2,5,6,3,5,2,6,648,2017-09-13,4.5,IM,330000,3,,,4.8,6.63,7.12,6.86,7.36,5.67
12,Hanguk,Chan-Myung Lee,427619244,,,26.3,1시즌 2주 3일,780,3,4,4,7,20,TRUE,1,3,7,3,4,3,4,759,2017-09-10,2.5,FW,410000,2,,,2.76,4.43,4.85,5.31,5.98,4.75
13,Hanguk,Sung-Kook Han,427619245,Technical,,21.103,1시즌 2주 3일,1310,2,3,5,7,20,TRUE,1,5,6,6,5,2,5,635,2017-09-13,4,W,330000,7,,,3.36,5.92,5.88,6.16,6.09,4.95
14,Hanguk,Se-Jong Cho,427619246,,,28.103,1시즌 2주 3일,830,4,5,6,6,20,TRUE,1,5,5,6,3,4,4,614,2017-09-13,4,WB,290000,8,,,3.92,6.52,6.36,6.38,6.16,5.83
15,Hanguk,Man-Ok Lee,427619247,Unpredictable,,23.44,1시즌 2주 3일,2270,5,3,7,7,20,TRUE,1,5,5,7,6,2,4,761,2017-09-13,5,W,350000,7,,,4.06,7.11,6.74,7.23,6.73,5.96
16,Hanguk,Dong-Shik Kim,427619248,,,19.38,1시즌 2주 3일,1320,6,2,5,7,20,TRUE,1,3,3,6,4,7,6,764,2017-09-13,5,FW,410000,13,,,2.72,4.28,3.83,4.39,4.02,5.54
17,Hanguk,Seung-Mee Kim,427619249,Unpredictable,Inj 1,34.89,1시즌 2주 3일,50,2,6,7,5,20,TRUE,1,2,4,3,3,6,5,590,2017-09-10,5,FW,300000,16,,,3.28,4.44,4.53,5.03,5.38,6.06
18,Hanguk,Kwang-Rae Kim,427619250,Head,,26.110,1시즌 2주 3일,800,3,4,3,7,20,TRUE,1,2,5,3,6,6,2,648,2017-09-13,3.5,FW,310000,10,,,2.19,3.16,3.31,3.92,4.32,4.65
20,Brasil,Jader da Matta,427827635,,,32.67,13주 2일,620,4,6,6,6,11,FALSE,2,6,6,5,6,2,5,590,2017-09-06,3.5,WB,384000,1,,,3.91,6.1,6.26,6.09,6.14,4.79
21,Belgium,Jitse Haes,428112207,,Y×1,31.108,13주 3일,850,4,5,6,6,11,FALSE,2,6,6,5,6,2,5,595,2017-09-10,3,CD,384000,2,,,3.86,6.07,6.23,6.06,6.11,4.75
22,Nederland,Keith Esser,428060480,Quick,,32.13,13주 2일,550,5,6,4,6,11,FALSE,2,6,5,6,6,2,6,590,2017-09-10,3,W,372000,1,,,3.2,4.97,4.87,4.77,4.51,3.8
23,Belgium,Mathias Piron,428125893,Technical,,32.77,13주 3일,640,6,5,7,6,11,FALSE,2,6,6,5,6,3,6,590,2017-09-06,3.5,W,372000,2,,,4.1,6.46,6.63,6.44,6.53,5.41
24,Canada,Philippe Morel,425173438,Unpredictable,Y×1,33.91,13주 2일,300,5,6,7,5,11,FALSE,2,6,5,5,5,2,6,590,2017-09-13,3.5,WB,360000,4,,,4.08,6.17,6.21,5.83,5.68,4.6
25,Polska,Pylyp Nagorniak,406205227,,,27.38,13주 3일,1620,5,3,4,6,11,FALSE,1,6,7,3,6,3,6,734,2017-09-10,3.5,IM,444000,2,,,2.42,4.57,5.05,4.72,5.22,3.92
