Number,Nat,Player,PlayerID,Special,Stat,Age,Since,TSI,LS,XP,Fo,Stm,Lo,MB,KP,DF,PM,WI,PS,SC,SP,Psico,Last,Rt,Pos,Wage,G,KPPos,WBdPos,WBPos,WBtmPos,WBoPos,CDPos,CDtwPos,CDoPos,WdPos,WPos,WtmPos,WoPos,IMPos,FWPos,FWdPos,FWtwPos,TDFPos,BPo,BPoV
2,Hanguk,,428709461,,,23.17,4 시즌 5 주 4 일,58100,3,2,7,8,20,TRUE,15,5,1,1,1,2,10,1513,2018-10-31,8.5,KP,19050000,0,13.34,5.35,4.96,5.04,4.58,5.13,5.32,4.41,4.03,3.45,3.39,3.3,3.24,3.16,2.97,3.15,0,KP,13.34
4,Hanguk,,427619236,,,23.58,4 시즌 13 주 4 일,1260,5,3,7,8,20,TRUE,1,7,4,3,5,2,9,725,2018-10-31,4.5,CD,390000,26,4.64,7.64,7.31,7.44,6.99,7.62,7.67,7.08,6.68,6.25,6.22,6.09,6.2,5.09,5.65,4.98,0,CDtw,7.67
6,Hanguk,,427619238,,Y×2,31.39,4 시즌 13 주 4 일,410,5,6,4,6,20,TRUE,1,7,3,6,3,1,11,703,2018-10-31,3.5,WB,350000,24,3.51,5.81,5.61,5.49,5.39,5.34,5.64,4.84,4.96,4.58,4.46,4.67,3.94,3.38,3.53,3.63,0,WBd,5.81
8,Hanguk,,427619240,,Y×1,25.99,4 시즌 13 주 4 일,1220,5,4,7,7,20,TRUE,1,5,6,5,5,1,10,641,2018-10-31,4.5,W,310000,8,4.12,6.9,6.96,7.02,7.02,7.09,6.97,7.27,7.11,7.22,7.29,7.14,7.3,5.49,6.32,5.44,0,IMtw,7.38
10,Hanguk,,427619242,,Y×1,27.105,4 시즌 13 주 4 일,1520,4,5,6,7,20,TRUE,1,6,7,3,3,2,11,758,2018-10-28,4.5,IM,430000,18,4.18,6.96,6.93,7.19,6.91,7.55,7.2,7.71,6.87,6.89,7.11,6.48,7.48,5.33,5.89,5,0,Cdo,7.71
11,Hanguk,,427619243,,Y×1,30.72,4 시즌 13 주 4 일,490,6,5,6,6,20,TRUE,2,5,6,2,5,2,10,611,2018-10-28,4,W,310000,14,4.32,5.81,5.78,6.03,5.76,6.37,6.04,6.52,5.91,5.97,6.13,5.67,6.58,4.99,5.71,4.64,0,IMd,6.61
12,Hanguk,,427619244,,Y×2,29.81,4 시즌 13 주 4 일,780,3,5,8,6,20,TRUE,1,3,7,3,4,3,10,724,2018-10-31,5,IM,390000,9,3.65,5.53,5.77,6.01,6.04,6.31,5.82,7,6.46,6.9,7.16,6.61,7.75,6.18,6.72,5.81,0,IMo,7.78
13,Hanguk,,427619245,Technical,,25.69,4 시즌 13 주 4 일,940,2,4,3,7,20,TRUE,1,5,6,6,5,2,10,632,2018-10-28,3,W,330000,25,2.68,4.58,4.64,4.63,4.7,4.61,4.58,4.73,4.74,4.82,4.84,4.82,4.77,3.9,0,3.93,4.29,IMtw,4.86
15,Hanguk,,427619247,Unpredictable,Y×1,27.10,4 시즌 13 주 4 일,2120,5,4,6,7,20,TRUE,1,5,5,7,6,2,10,770,2018-10-31,5,W,350000,13,3.82,6.52,6.58,6.44,6.64,6.26,6.41,6.26,6.65,6.69,6.61,6.88,6.24,5.54,6.07,5.76,0,Wo,6.88
16,Hanguk,,427619248,,Y×2,23.4,4 시즌 13 주 4 일,1620,6,3,7,8,20,TRUE,1,3,3,6,4,7,12,753,2018-10-31,5.5,FW,410000,42,3.54,5.34,5.44,5.2,5.53,4.89,5.15,4.89,5.52,5.58,5.45,5.88,5.13,6.97,6.2,7.27,0,FWtw,7.27
