Number,Nat,Player,PlayerID,Special,Stat,Age,Since,TSI,LS,XP,Fo,Stm,Lo,MB,KP,DF,PM,WI,PS,SC,SP,Psico,Last,Rt,Pos,Wage,G,KPPos,WBdPos,WBPos,WBtmPos,WBoPos,CDPos,CDtwPos,CDoPos,WdPos,WPos,WtmPos,WoPos,IMdPos,IMPos,IMtwPos,IMoPos,FWPos,FWdPos,FWtwPos,TDFPos,BPo,BPoV
2,Hanguk,Jee-Hoon Kim,428709461,,,23.90,5 시즌 0 주 0 일,65820,3,3,6,8,20,TRUE,16,5,1,1,1,2,10,1606,2019-01-13,7.5,KP,19050000,0,13.28,5.2,4.84,4.9,4.47,4.99,5.16,4.32,3.96,3.43,3.36,3.29,3.45,3.23,3.21,3.01,3.15,2.98,3.14,0,KP,13.28
4,Hanguk,Ji-Woon Lee,427619236,,Y×1,24.19,5 시즌 8 주 0 일,1100,5,4,5,8,20,TRUE,1,7,4,3,5,2,9,719,2019-01-13,4,CD,390000,26,4.08,6.63,6.36,6.47,6.08,6.62,6.66,6.16,5.82,5.45,5.43,5.31,5.55,5.41,5.4,5.26,4.47,4.95,4.37,0,CDtw,6.66
6,Hanguk,Jae-Shin Cha,427619238,,,32.0,5 시즌 8 주 0 일,420,5,6,5,6,20,TRUE,1,7,3,6,3,1,11,701,2019-01-13,4,WB,320000,26,3.93,6.5,6.28,6.15,6.04,5.98,6.32,5.42,5.55,5.14,4.99,5.23,4.63,4.42,4.7,4.2,3.79,3.95,4.07,0,WBd,6.5
8,Hanguk,Hong-Chan Son,427619240,,R,26.60,5 시즌 8 주 0 일,1000,5,4,5,7,20,TRUE,1,5,6,5,5,1,10,633,2019-01-13,3.5,W,310000,9,3.49,5.85,5.9,5.95,5.96,6.01,5.91,6.16,6.03,6.12,6.18,6.05,6.23,6.19,6.26,6.13,4.66,5.36,4.61,0,IMtw,6.26
10,Hanguk,Kwang-Eul Jeon,427619242,,,28.66,5 시즌 8 주 0 일,1330,4,5,7,7,20,TRUE,1,6,7,3,3,2,11,730,2019-01-09,4.5,IM,430000,19,4.5,7.49,7.45,7.74,7.44,8.12,7.75,8.3,7.4,7.41,7.65,6.97,8.22,8.05,7.89,7.85,5.74,6.34,5.38,0,Cdo,8.3
11,Hanguk,Kwang-Hwan Yun,427619243,,,31.33,5 시즌 8 주 0 일,380,6,5,7,6,20,TRUE,2,5,6,2,5,2,10,604,2019-01-13,4,W,310000,19,4.8,6.45,6.41,6.69,6.4,7.07,6.7,7.24,6.56,6.62,6.8,6.29,7.33,7.3,7.09,7.25,5.54,6.33,5.15,0,IMd,7.33
12,Hanguk,Chan-Myung Lee,427619244,,Y×1,30.42,5 시즌 8 주 0 일,540,3,5,6,6,20,TRUE,1,3,7,3,4,3,10,702,2019-01-09,4,IM,380000,10,3.4,5.16,5.39,5.6,5.63,5.89,5.43,6.53,6.02,6.44,6.68,6.16,7.17,7.23,7.03,7.26,5.77,6.27,5.42,0,IMo,7.26
13,Hanguk,Sung-Kook Han,427619245,Technical,,26.30,5 시즌 8 주 0 일,1580,2,4,7,7,20,TRUE,1,5,6,6,5,2,10,644,2019-01-09,4.5,W,330000,27,4.21,7.2,7.29,7.27,7.39,7.25,7.2,7.43,7.45,7.58,7.61,7.58,7.53,7.49,7.64,7.44,6.12,0,6.17,6.74,IMtw,7.64
15,Hanguk,Man-Ok Lee,427619247,Unpredictable,,27.83,5 시즌 8 주 0 일,2200,5,5,7,7,20,TRUE,1,5,5,7,6,2,10,752,2019-01-09,5,W,350000,16,4.3,7.26,7.32,7.17,7.38,6.96,7.13,6.96,7.4,7.44,7.35,7.65,6.95,6.95,7.23,6.94,6.18,6.75,6.42,0,Wo,7.65
16,Hanguk,Dong-Shik Kim,427619248,,Y×1,23.77,5 시즌 8 주 0 일,1440,6,4,5,8,20,TRUE,1,3,3,6,4,7,12,761,2019-01-13,4.5,FW,410000,60,3.15,4.68,4.77,4.57,4.84,4.3,4.52,4.3,4.84,4.89,4.77,5.14,4.42,4.5,4.61,4.6,6.08,5.41,6.33,0,FWtw,6.33
