Number,Nat,Player,PlayerID,Special,Stat,Age,Since,TSI,LS,XP,Fo,Stm,Lo,MB,KP,DF,PM,WI,PS,SC,SP,Psico,Last,Rt,Pos,Wage,G,KPPos,WBdPos,WBPos,WBtmPos,WBoPos,CDPos,CDtwPos,CDoPos,WdPos,WPos,WtmPos,WoPos,IMdPos,IMPos,IMtwPos,IMoPos,FWPos,FWdPos,FWtwPos,TDFPos,BPo,BPoV
1,Hanguk,Jong-Kyung Ji,429263806,Head,,27.108,6 s 5 wk 5 d,2110,2,6,5,7,20,TRUE,6,6,1,1,1,1,5,664,2019-07-21,4,KP,1010000,0,6.83,5.55,5.14,5.22,4.73,5.32,5.51,4.57,4.16,3.55,3.49,3.4,3.55,3.3,3.31,3.03,2.83,2.83,2.83,0,KP,6.83
10,Hanguk,Jung-Jae Lee,429263816,Unpredictable,,30.38,6 s 5 wk 5 d,4200,4,5,6,6,20,TRUE,1,10,7,2,3,1,4,993,2019-07-24,5.5,IM,1130000,7,5.19,9.18,8.77,9.18,8.38,9.71,9.45,9.22,7.87,7.35,7.55,6.73,8.26,7.88,7.69,7.44,4.89,5.67,4.46,0,CD,9.71
12,Hanguk,Jung-Eum Yun,429263819,Powerful,,30.101,6 s 5 wk 5 d,980,5,5,8,6,20,TRUE,1,6,7,3,5,3,4,694,2019-07-21,5.5,IM,380000,20,4.67,7.79,7.75,8.05,7.73,8.44,8.06,8.62,7.83,7.88,8.09,7.5,8.67,8.6,8.38,8.49,6.67,7.38,6.27,0,IMd,8.67
13,Hanguk,Hong-Woon Kim,429263820,Technical,,27.4,6 s 5 wk 5 d,14110,2,5,8,7,20,TRUE,1,10,6,6,5,3,4,1105,2019-07-21,7,W,2250000,14,5.93,10.95,10.56,10.63,10.15,10.73,10.92,9.99,9.52,8.9,8.86,8.72,8.87,8.54,8.67,8.18,6.91,0,6.95,7.35,WBd,10.95
15,Hanguk,Bong-Joo Kim,429263823,,Y×1,28.50,6 s 5 wk 5 d,14070,4,6,7,7,20,TRUE,1,10,6,7,6,2,4,1086,2019-07-21,7,W,2110000,27,5.79,10.75,10.4,10.39,10.04,10.39,10.65,9.68,9.48,8.92,8.82,8.86,8.64,8.34,8.59,8.03,6.6,7.28,6.75,0,WBd,10.75
16,Hanguk,Kil-Sung Park,429263824,,,25.0,6 s 5 wk 5 d,2760,5,4,7,8,20,TRUE,1,6,3,5,4,7,6,769,2019-07-24,6,FW,430000,34,4.55,7.34,7.12,7.01,6.88,6.87,7.18,6.33,6.49,6.1,5.95,6.2,5.75,5.66,5.7,5.59,7.06,6.34,7.25,0,WBd,7.34
18,Hanguk,Min-Ho Ji,429263827,Unpredictable,,31.76,6 s 5 wk 5 d,730,2,7,8,6,20,TRUE,1,5,4,3,6,6,3,602,2019-07-21,5.5,FW,290000,49,4.35,6.5,6.37,6.47,6.25,6.59,6.55,6.42,6.28,6.17,6.15,6.11,6.33,6.38,6.21,6.44,6.96,6.91,6.81,0,FW,6.96
31,Česká republika,,397610518,Head,Y×2,33.58,5 s 12 wk 4 d,3990,3,8,6,6,20,FALSE,1,10,9,1,8,4,4,980,2019-07-24,6,IM,1332000,53,4.84,8.85,8.53,9.1,8.25,9.85,9.29,9.69,8.24,8,8.27,7.33,9.34,9.19,8.71,9.02,6.65,7.73,5.89,0,CD,9.85
43,Hanguk,Ji-Soo Kim,433466579,Technical,,23.13,5 s 2 wk 4 d,16650,3,3,8,8,20,TRUE,1,12,4,4,3,3,3,1205,2019-07-24,6,W,4290000,3,6.27,11.48,10.68,10.82,9.86,11.02,11.41,9.53,8.65,7.43,7.31,7.09,7.45,6.88,6.95,6.29,5.52,0,5.54,5.55,WBd,11.48
59,Hanguk,Hyung-Hwa Jung,435660098,,,21.105,4 s 1 wk 5 d,30890,5,3,7,8,20,TRUE,1,13,4,3,5,2,6,1325,2019-07-21,7,CD,3890000,20,6.34,11.6,10.69,10.93,9.78,11.26,11.59,9.63,8.64,7.34,7.21,6.95,7.46,6.92,6.92,6.36,5.13,5.7,5.02,0,WBd,11.6
60,Hanguk,Chu-Seok Ahn,435761718,,,21.92,4 s 0 wk 4 d,1330,3,1,8,7,20,TRUE,1,5,5,3,3,7,5,703,2019-07-17,5,FW,370000,8,3.49,5.91,5.84,6,5.78,6.21,6.04,6.21,5.69,5.63,5.74,5.38,6.15,6.09,5.85,6.03,6.45,5.92,6.23,0,FW,6.45
