Number,Nat,Player,PlayerID,Special,Stat,Age,Since,TSI,LS,XP,Fo,Stm,Lo,FALSE,KP,DF,PM,WI,PS,SC,SP,Psico,Last,Rt,Pos,Wage,G,KPPos,WBdPos,WBPos,WBtmPos,WBoPos,CDPos,CDtwPos,CDoPos,WPos,IMPos,FWPos,FWdPos,FWtwPos,TDFPos,BPo,BPoV
1,Hanguk,Jong-Kyung Ji,429263806,Head,,25.45,3 시즌 12 주 5 일,2330,2,5,7,7,20,TRUE,6,4,1,1,1,1,5,649,2018-10-10,4,KP,990000,0,7.48,5.21,4.92,4.97,4.62,5.04,5.18,4.5,3.78,3.6,3.27,3.27,3.27,0,KP,7.48
2,Hanguk,Soon Jung,429263807,,Bru,31.22,3 시즌 12 주 5 일,130,7,6,6,6,20,TRUE,5,6,1,1,3,1,3,603,2018-10-10,4,KP,630000,0,6.26,5.54,5.14,5.21,4.73,5.31,5.51,4.56,3.7,3.45,3.09,3.31,3.07,0,KP,6.26
7,Hanguk,Ang-Ri Choi,429263812,Powerful,,35.44,3 시즌 12 주 5 일,110,2,6,8,5,20,TRUE,2,7,5,4,4,1,5,680,2018-10-10,4,W,290000,16,5.45,7.96,7.74,7.85,7.53,8,8,7.65,6.92,6.85,5.1,5.74,5.03,0,CD,8
9,Hanguk,Seung-Min Lee,429263815,Quick,,23.13,3 시즌 12 주 5 일,9820,3,3,7,8,20,TRUE,1,10,6,3,6,2,6,1007,2018-10-07,6,IM,1550000,4,5.49,9.94,9.45,9.76,8.97,10.17,10.1,9.45,7.88,8.09,5.85,6.76,5.54,0,CD,10.17
10,Hanguk,Jung-Jae Lee,429263816,Unpredictable,Y×1,27.87,3 시즌 12 주 5 일,5420,4,4,7,7,20,TRUE,1,9,7,2,3,2,4,925,2018-10-10,5.5,IM,870000,4,5.31,9.34,8.98,9.41,8.65,9.97,9.65,9.62,7.8,8.47,5.65,6.32,5.17,0,CD,9.97
11,Hanguk,Ryung-Tae Kim,429263818,,,29.41,3 시즌 12 주 5 일,2400,2,4,7,6,20,TRUE,2,8,6,3,5,3,5,803,2018-10-10,5,IM,570000,9,5.62,8.56,8.27,8.54,8,8.89,8.73,8.54,7.4,7.75,6.08,6.66,5.78,0,CD,8.89
12,Hanguk,Jung-Eum Yun,429263819,Powerful,,28.38,3 시즌 12 주 5 일,1220,5,5,7,7,20,TRUE,1,5,7,3,5,3,4,703,2018-10-07,5,IM,410000,14,4.31,6.99,7.05,7.33,7.13,7.69,7.27,8.05,7.56,8.32,6.54,7.23,6.14,0,IMd,8.33
13,Hanguk,Hong-Woon Kim,429263820,Technical,Y×2,24.53,3 시즌 12 주 5 일,9730,2,4,6,8,20,TRUE,1,10,6,6,5,3,4,1019,2018-10-07,6,W,1430000,5,5.24,9.78,9.42,9.49,9.06,9.58,9.75,8.91,7.93,7.6,6.12,0,6.16,6.52,WBd,9.78
15,Hanguk,Bong-Joo Kim,429263823,,,25.99,3 시즌 12 주 5 일,13300,4,4,8,7,20,TRUE,1,10,6,7,6,2,4,1070,2018-10-07,7,W,1350000,12,5.81,10.99,10.63,10.62,10.26,10.61,10.89,9.87,9.08,8.48,6.66,7.37,6.81,0,WBd,10.99
16,Hanguk,Kil-Sung Park,429263824,,Y×1,22.49,3 시즌 12 주 5 일,1970,5,3,7,8,20,TRUE,1,5,3,5,4,7,6,747,2018-10-07,6,FW,410000,21,4.1,6.5,6.37,6.25,6.23,6.09,6.35,5.73,5.74,5.36,6.87,6.15,7.06,0,FWtw,7.06
18,Hanguk,Min-Ho Ji,429263827,Unpredictable,,29.13,3 시즌 12 주 5 일,1030,2,6,7,6,20,TRUE,1,4,5,3,6,6,3,611,2018-10-10,5.5,FW,300000,32,4.05,6.02,6.05,6.18,6.09,6.36,6.16,6.54,6.47,6.95,7.24,7.29,7,0,FWd,7.29
31,Česká republika,,397610518,Head,,30.107,3 시즌 3 주 4 일,12810,3,7,7,6,20,FALSE,1,9,9,1,8,4,4,900,2018-10-10,6,IM,1740000,42,4.96,9.01,8.75,9.35,8.53,10.15,9.5,10.15,8.54,9.89,7.22,8.41,6.39,0,CD,10.15
43,Hanguk,Ji-Soo Kim,433466579,Technical,,20.62,2 시즌 9 주 4 일,11210,3,2,6,7,20,TRUE,1,11,4,4,3,3,3,1153,2018-10-10,4.5,W,1950000,0,5.11,9.4,8.77,8.89,8.14,9.05,9.34,7.88,6.24,5.81,4.7,0,4.72,4.73,WBd,9.4
48,Hanguk,Jin-Taek Cho,433931826,Powerful,,20.51,2 시즌 4 주 4 일,1780,1,1,6,7,20,TRUE,1,8,5,4,2,4,5,802,2018-10-03,3.5,W,470000,1,3.88,7.18,6.89,7.01,6.6,7.17,7.22,6.69,5.62,5.59,4.69,4.56,4.63,0,CDtw,7.22
54,Hanguk,Kwang-Hyun Seo,434869614,Unpredictable,,20.26,1 시즌 13 주 4 일,2320,2,1,7,7,20,TRUE,1,7,5,4,5,4,2,759,2018-10-07,4.5,CD,390000,9,3.99,7.26,7.03,7.15,6.81,7.3,7.3,6.94,6.27,6.31,5.62,5.86,5.51,0,CD,7.3
59,Hanguk,Hyung-Hwa Jung,435660098,,Y×1,19.42,1 시즌 8 주 5 일,2670,5,2,6,7,20,TRUE,1,8,4,3,5,2,6,873,2018-10-07,4.5,CD,490000,4,4.27,7.34,6.95,7.09,6.57,7.27,7.36,6.62,5.64,5.54,4.43,4.94,4.33,0,CDtw,7.36
60,Hanguk,Chu-Seok Ahn,435761718,,,19.29,1 시즌 7 주 4 일,890,3,1,5,6,20,TRUE,1,4,5,3,3,7,5,711,2018-10-07,4,FW,370000,3,2.53,4.14,4.17,4.28,4.2,4.42,4.25,4.56,4.3,4.71,5.08,4.67,4.91,0,FW,5.08
61,Schweiz,Francois Baumgartner,434542904,,Y×1,19.9,1 시즌 7 주 3 일,8600,5,2,5,7,14,FALSE,1,8,7,6,7,6,3,799,2018-10-07,4,CD,948000,5,3.27,6.85,6.74,6.82,6.64,6.93,6.9,6.78,6.41,6.5,6.01,6.21,5.92,0,CD,6.93
63,Hellas,Damianos Yiannopoulos,377705560,Unpredictable,,35.108,1 시즌 6 주 4 일,6990,6,9,8,5,14,FALSE,1,9,12,11,4,3,14,1180,2018-10-10,6.5,W,4308000,93,4.53,10.11,10.34,10.36,10.58,10.39,10.19,10.88,10.71,10.73,7.57,8.19,7.63,0,IMd,10.97
64,Hanguk,Koo-Joong Kim,435928762,,,19.20,1 시즌 5 주 5 일,4850,3,2,7,7,20,TRUE,1,10,4,3,2,2,3,1004,2018-10-10,5.5,CD,1130000,3,5.12,9.14,8.54,8.72,7.94,8.96,9.15,7.91,6.13,5.89,4.31,4.47,4.23,0,CDtw,9.15
67,Hanguk,Hae-Won Kim,437472967,,Y×1,19.40,10 주 4 일,4230,3,1,7,6,20,TRUE,1,9,3,3,6,5,3,905,2018-10-10,4,WB,670000,0,4.3,7.66,7.12,7.22,6.57,7.35,7.61,6.34,5.24,4.97,5.19,5.21,5.14,0,WBd,7.66
68,Sverige,Elmin Polovina,436113582,,,18.26,7 주 2 일,5220,2,2,8,5,8,FALSE,1,8,7,6,6,5,3,798,2018-10-10,4,CD,564000,0,3.34,7.29,7.17,7.26,7.06,7.38,7.34,7.21,6.73,6.78,5.85,6.13,5.78,0,CD,7.38
69,Hanguk,Seung-Chul Ki,437963734,Unpredictable,,17.74,5 주 1 일,1060,6,1,6,6,7,FALSE,1,5,6,2,6,2,2,666,2018-10-10,2,CD,350000,0,2.02,4.1,4.06,4.32,4.05,4.66,4.33,4.81,4.33,4.95,3.41,4.24,3.04,0,IM,4.95
70,Hanguk,Sang-Shik Won,438511569,,,18.43,2 주 5 일,180,6,1,6,6,20,TRUE,1,3,3,6,3,3,2,604,2018-10-07,2.5,WB,270000,0,2.51,4.06,4.15,3.94,4.22,3.68,3.89,3.68,4.19,3.68,3.98,3.84,4.27,0,Wo,4.42
71,Schweiz,Nathanael Zimmer,436514697,Head,,18.64,2 주 1 일,2790,7,2,4,4,5,FALSE,1,6,8,7,4,5,2,804,2018-10-07,2,WB,516000,1,1.84,4.27,4.38,4.4,4.48,4.44,4.33,4.66,4.62,4.74,3.97,4.03,3.95,0,IMd,4.79
72,Hanguk,Hoon Paeng,438720926,Technical,,17.102,4 일,1190,5,1,6,5,20,TRUE,1,5,6,7,4,2,4,717,2018-10-10,3.5,WB,330000,0,2.8,5.34,5.45,5.37,5.55,5.27,5.3,5.41,5.62,5.39,4.32,0,4.46,4.64,Wo,5.67
99,Hanguk,In-Guh Park,429263805,,,44.53,3 시즌 12 주 5 일,0,3,6,4,1,20,TRUE,0,0,0,0,0,0,0,440,,,,250000,0,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,0,KP,1.13
