Number,Nat,Player,PlayerID,Special,Stat,Age,Since,TSI,LS,XP,Fo,Stm,Lo,MB,KP,DF,PM,WI,PS,SC,SP,Psico,Last,Rt,Pos,Wage,G,TC,PH,KPPos,WBPos,CDPos,WPos,IMPos,FWPos
1,Hanguk,Jong-Kyung Ji,429263806,Head,,24.78,3시즌 1주 1일,2500,2,4,8,8,20,TRUE,6,4,1,1,1,1,5,647,2018-07-22,4.5,KP,990000,0,,,7.64,4.98,5.11,3.81,3.61,3.27
2,Hanguk,Soon Jung,429263807,,,30.55,3시즌 1주 1일,150,7,6,7,6,20,TRUE,5,6,1,1,3,1,3,605,2018-07-18,4,KP,680000,0,,,7.15,5.87,6.07,4.22,3.94,3.53
7,Hanguk,Ang-Ri Choi,429263812,Powerful 있음,,34.77,3시즌 1주 1일,140,2,6,6,5,20,TRUE,2,7,5,4,5,2,5,680,2018-07-18,4.5,W,310000,16,,,4.89,6.94,7.17,6.28,6.25,5.04
9,Hanguk,Seung-Min Lee,429263815,Quick,,22.46,3시즌 1주 1일,7720,3,3,5,8,20,TRUE,1,10,6,3,6,2,6,1000,2018-07-22,4.5,IM,1330000,2,,,4.66,8.01,8.62,6.68,6.86,4.96
10,Hanguk,Jung-Jae Lee,429263816,Unpredictable,,27.8,3시즌 1주 1일,5130,4,4,7,7,20,TRUE,1,9,7,2,3,2,4,916,2018-07-18,5.5,IM,870000,4,,,5.31,8.98,9.97,7.8,8.47,5.65
11,Hanguk,Ryung-Tae Kim,429263818,,Y×1,28.74,3시즌 1주 1일,2770,2,4,8,7,20,TRUE,2,8,6,3,5,3,5,804,2018-07-22,5.5,IM,530000,8,,,5.82,8.55,9.19,7.65,8.02,6.29
12,Hanguk,Jung-Eum Yun,429263819,Powerful 있음,Y×1,27.71,3시즌 1주 1일,1310,5,4,7,7,20,TRUE,1,5,7,3,5,3,4,705,2018-07-22,5,IM,410000,10,,,4.19,6.93,7.57,7.44,8.19,6.42
13,Hanguk,Hong-Woon Kim,429263820,Technical,Y×2,23.86,3시즌 1주 1일,9710,2,4,7,8,20,TRUE,1,10,6,6,5,3,4,1008,2018-07-22,6.5,W,1110000,4,,,5.65,10.15,10.32,8.54,8.19,6.6
15,Hanguk,Bong-Joo Kim,429263823,,,25.20,3시즌 1주 1일,12180,4,4,7,7,20,TRUE,1,9,6,7,6,2,4,1011,2018-07-22,6.5,W,1350000,9,,,5.35,9.75,9.69,8.63,8.1,6.45
16,Hanguk,Kil-Sung Park,429263824,,,21.82,3시즌 1주 1일,1780,5,2,7,7,20,TRUE,1,4,3,5,4,7,6,780,2018-07-11,5.5,FW,410000,14,,,3.6,5.6,5.27,5.34,5.03,6.65
18,Hanguk,Min-Ho Ji,429263827,Unpredictable,,28.46,3시즌 1주 1일,1140,2,6,6,7,20,TRUE,1,4,5,3,6,6,3,612,2018-07-22,5.5,FW,310000,32,,,3.84,5.74,6.04,6.14,6.6,6.87
31,Česká republika,Leoš Broukal,397610518,Head,,30.28,2시즌 8주 0일,11650,3,7,6,6,18,FALSE,1,9,9,2,8,4,4,892,2018-07-18,6,IM,1740000,42,,,4.54,8.23,9.38,8.05,9.13,6.75
33,Hanguk,Dong-Hyeon Lee,431740152,,,19.87,2시즌 7주 0일,3680,5,2,6,7,20,TRUE,1,9,4,2,2,4,1,969,2018-07-18,4.5,CD,470000,4,,,4.54,7.31,7.84,5.4,5.47,4.64
43,Hanguk,Ji-Soo Kim,433466579,Technical,Y×1,19.95,1시즌 14주 0일,6390,3,2,7,7,20,TRUE,1,10,4,4,3,3,3,1041,2018-07-18,5.5,CD,670000,0,,,5.16,8.78,9.02,6.46,6.06,4.99
44,Hanguk,Sang-Yong Jang,433566477,,Y×2 Inj 1,20.62,1시즌 13주 0일,4470,2,2,7,7,20,TRUE,1,8,6,6,5,4,2,807,2018-07-15,4.5,WB,410000,4,,,4.64,8.54,8.62,7.7,7.51,6.52
46,Hanguk,Jung-Oh Han,433730490,Technical,Y×2,20.68,1시즌 11주 1일,3230,4,2,7,7,20,TRUE,1,9,3,5,1,3,3,906,2018-07-22,5,WB,450000,3,,,4.9,8.23,8.11,5.85,5.08,4.53
48,Hanguk,Jin-Taek Cho,433931826,Powerful 있음,,19.84,1시즌 9주 0일,1820,1,1,7,7,20,TRUE,1,7,5,4,2,4,5,769,2018-07-22,4.5,W,330000,0,,,3.91,6.9,7.16,5.89,5.92,5.06
54,Hanguk,Kwang-Hyun Seo,434869614,Unpredictable,,19.59,1시즌 2주 0일,830,2,1,6,7,20,TRUE,1,6,5,4,5,4,2,608,2018-07-22,3,WB,250000,8,,,3.37,5.88,6.09,5.53,5.62,5.1
58,Hanguk,Yi-Sub Kang,435570656,,,19.90,14주 1일,1090,5,1,6,6,20,TRUE,1,6,3,5,5,5,4,623,2018-07-18,3.5,WB,270000,0,,,3.27,5.49,5.28,4.68,4.25,4.89
59,Hanguk,Hyung-Hwa Jung,435660098,,Y×1,18.75,13주 1일,1010,5,1,7,6,20,TRUE,1,7,4,3,5,2,6,718,2018-07-18,4,CD,250000,3,,,3.85,6.4,6.69,5.38,5.34,4.28
60,Hanguk,Chu-Seok Ahn,435761718,,Y×1,18.62,12주 0일,1020,3,1,7,6,20,TRUE,1,4,5,3,3,7,5,705,2018-07-22,5,FW,350000,1,,,2.99,4.91,5.21,5.07,5.56,5.99
61,Schweiz,Francois Baumgartner,434542904,,,18.42,11주 6일,5580,5,2,6,7,10,FALSE,1,7,7,6,7,6,3,680,2018-07-22,3.5,CD,492000,4,,,3.14,6.68,6.84,6.66,6.81,6.38
