Number,Nat,Player,PlayerID,Special,Stat,Age,Since,TSI,LS,XP,Fo,Stm,Lo,MB,KP,DF,PM,WI,PS,SC,SP,Psico,Last,Rt,Pos,Wage,G,KPPos,WBdPos,WBPos,WBtmPos,WBoPos,CDPos,CDtwPos,CDoPos,WdPos,WPos,WtmPos,WoPos,IMdPos,IMPos,IMtwPos,IMoPos,FWPos,FWdPos,FWtwPos,TDFPos,BPo,BPoV
1,Hanguk,Jong-Kyung Ji,429263806,Head,,27.79,6 s 1 wk 4 d,2500,2,5,8,7,20,TRUE,6,6,1,1,1,1,5,647,2019-06-26,4.5,KP,1010000,0,8.23,6.66,6.17,6.26,5.67,6.38,6.62,5.46,4.97,4.23,4.15,4.04,4.23,3.92,3.94,3.6,3.35,3.35,3.35,0,KP,8.23
10,Hanguk,Jung-Jae Lee,429263816,Unpredictable,,30.9,6 s 1 wk 4 d,4500,4,5,8,6,20,TRUE,1,9,7,2,3,2,4,910,2019-06-23,6,IM,1130000,7,5.51,9.59,9.22,9.66,8.89,10.23,9.9,9.87,8.45,8.02,8.26,7.37,9.06,8.71,8.46,8.3,5.85,6.53,5.36,0,CD,10.23
12,Hanguk,Jung-Eum Yun,429263819,Powerful,,30.72,6 s 1 wk 4 d,970,5,5,7,6,20,TRUE,1,6,7,3,5,3,4,694,2019-06-26,5,IM,380000,20,4.52,7.53,7.49,7.78,7.48,8.16,7.79,8.34,7.57,7.62,7.82,7.25,8.38,8.31,8.1,8.21,6.45,7.13,6.06,0,IMd,8.38
13,Hanguk,Hong-Woon Kim,429263820,Technical,Y×1 Inj 1,26.87,6 s 1 wk 4 d,13760,2,5,7,7,20,TRUE,1,10,6,6,5,3,4,1105,2019-06-26,7.5,W,1930000,13,5.73,10.59,10.21,10.28,9.82,10.37,10.56,9.66,9.2,8.61,8.56,8.43,8.58,8.25,8.38,7.91,6.68,0,6.72,7.1,WBd,10.59
15,Hanguk,Bong-Joo Kim,429263823,,,28.21,6 s 1 wk 4 d,13410,4,5,7,7,20,TRUE,1,10,6,7,6,2,4,1074,2019-06-26,6.5,W,2110000,26,5.69,10.65,10.3,10.29,9.94,10.29,10.55,9.58,9.38,8.82,8.72,8.76,8.54,8.24,8.49,7.93,6.5,7.18,6.65,0,WBd,10.65
16,Hanguk,Kil-Sung Park,429263824,,Y×1,24.83,6 s 1 wk 4 d,2480,5,4,6,8,20,TRUE,1,6,3,5,4,7,6,762,2019-06-23,5.5,FW,410000,34,4.23,6.81,6.6,6.5,6.38,6.38,6.66,5.87,6.02,5.66,5.52,5.75,5.33,5.25,5.29,5.18,6.55,5.88,6.72,0,WBd,6.81
18,Hanguk,Min-Ho Ji,429263827,Unpredictable,,31.47,6 s 1 wk 4 d,690,2,6,7,6,20,TRUE,1,5,4,3,6,6,3,602,2019-06-26,5.5,FW,290000,43,4.13,6.21,6.09,6.17,5.97,6.29,6.26,6.13,6,5.88,5.87,5.83,6.04,6.09,5.93,6.15,6.65,6.6,6.51,0,FW,6.65
31,Česká republika,,397610518,Head,,33.29,5 s 8 wk 3 d,4540,3,8,7,6,20,FALSE,1,10,9,1,8,4,4,980,2019-06-26,6,IM,1332000,52,5.21,9.54,9.19,9.81,8.89,10.61,10.02,10.44,8.89,8.63,8.92,7.9,10.06,9.9,9.39,9.72,7.17,8.34,6.35,0,CD,10.61
43,Hanguk,Ji-Soo Kim,433466579,Technical,,22.96,4 s 14 wk 3 d,13180,3,3,5,8,20,TRUE,1,12,4,4,3,3,3,1203,2019-06-23,5,W,3810000,3,5.14,9.41,8.75,8.88,8.09,9.04,9.35,7.81,7.09,6.09,6,5.81,6.11,5.64,5.7,5.16,4.52,0,4.54,4.55,WBd,9.41
59,Hanguk,Hyung-Hwa Jung,435660098,,Y×1,21.76,3 s 13 wk 4 d,24790,5,3,7,8,20,TRUE,1,12,4,3,5,2,6,1279,2019-06-26,6.5,CD,3890000,18,6.06,10.95,10.14,10.36,9.33,10.66,10.94,9.22,8.32,7.16,7.05,6.81,7.28,6.8,6.81,6.31,5.13,5.7,5.02,0,WBd,10.95
