Number,Nat,Player,PlayerID,Special,Stat,Age,Since,TSI,LS,XP,Fo,Stm,Lo,MB,KP,DF,PM,WI,PS,SC,SP,Psico,Last,Rt,Pos,Wage,G,KPPos,WBdPos,WBPos,WBtmPos,WBoPos,CDPos,CDtwPos,CDoPos,WdPos,WPos,WtmPos,WoPos,IMPos,FWPos,FWdPos,FWtwPos,TDFPos,BPo,BPoV
1,Hanguk,,429263806,Head,,25.69,4 시즌 0 주 1 일,2260,2,5,6,7,20,TRUE,6,5,1,1,1,1,5,659,2018-10-31,4.5,KP,990000,0,7.19,5.43,5.07,5.13,4.71,5.22,5.39,4.56,4.2,3.67,3.61,3.53,3.44,3.03,3.03,3.03,0,KP,7.19
2,Hanguk,,429263807,,,31.46,4 시즌 0 주 1 일,130,7,6,5,6,20,TRUE,5,6,1,1,2,1,3,612,2018-11-04,3.5,KP,630000,0,5.83,5.17,4.79,4.86,4.41,4.95,5.13,4.25,3.93,3.38,3.3,3.26,3.14,2.76,2.86,2.75,0,KP,5.83
7,Hanguk,,429263812,Powerful,,35.68,4 시즌 0 주 1 일,100,2,6,7,5,20,TRUE,1,7,4,4,4,1,5,680,2018-10-31,4,W,290000,16,4.35,7.08,6.83,6.87,6.57,6.93,7.05,6.47,6.22,5.84,5.8,5.75,5.59,4.37,4.86,4.39,0,WBd,7.08
9,Hanguk,,429263815,Quick,,23.37,4 시즌 0 주 1 일,10030,3,4,7,8,20,TRUE,1,10,6,3,6,2,6,1012,2018-11-04,5.5,IM,1550000,8,5.63,10.05,9.56,9.87,9.09,10.28,10.21,9.56,8.61,8,8.05,7.59,8.21,5.98,6.89,5.67,0,CD,10.28
10,Hanguk,,429263816,Unpredictable,Y×1 Bru,27.111,4 시즌 0 주 1 일,5520,4,4,7,7,20,TRUE,1,9,7,2,3,2,4,928,2018-11-04,6,IM,870000,4,5.01,8.8,8.46,8.87,8.15,9.4,9.09,9.06,7.75,7.35,7.56,6.74,7.98,5.32,5.96,4.87,0,CD,9.4
11,Hanguk,,429263818,,,29.65,4 시즌 0 주 1 일,2260,2,4,6,6,20,TRUE,2,8,6,3,5,3,5,802,2018-10-31,4.5,IM,570000,9,4.92,7.49,7.24,7.47,7,7.78,7.64,7.48,6.77,6.48,6.56,6.16,6.79,5.33,5.83,5.06,0,CD,7.78
12,Hanguk,,429263819,Powerful,,28.62,4 시즌 0 주 1 일,1270,5,5,8,7,20,TRUE,1,5,7,3,5,3,4,703,2018-11-04,5,IM,410000,14,4.38,7.11,7.17,7.45,7.25,7.82,7.39,8.18,7.49,7.68,7.91,7.33,8.45,6.65,7.35,6.25,0,IMd,8.47
13,Hanguk,,429263820,Technical,Y×2,24.77,4 시즌 0 주 1 일,11060,2,4,8,8,20,TRUE,1,10,6,6,5,3,4,1035,2018-11-04,6.5,W,1430000,8,5.82,10.85,10.45,10.53,10.05,10.63,10.82,9.89,9.41,8.8,8.75,8.61,8.43,6.8,0,6.84,7.24,WBd,10.85
15,Hanguk,,429263823,,,26.11,4 시즌 0 주 1 일,13520,4,5,8,7,20,TRUE,1,10,6,7,6,2,4,1074,2018-11-04,7,W,1570000,19,5.76,10.8,10.44,10.43,10.08,10.43,10.7,9.71,9.5,8.94,8.84,8.88,8.35,6.59,7.28,6.74,0,WBd,10.8
16,Hanguk,,429263824,,R,22.73,4 시즌 0 주 1 일,2100,5,3,8,8,20,TRUE,1,5,3,5,4,7,6,753,2018-11-04,6,FW,410000,24,4.23,6.71,6.58,6.45,6.43,6.28,6.55,5.91,6.17,5.92,5.79,6.06,5.53,7.09,6.34,7.28,0,FWtw,7.28
18,Hanguk,,429263827,Unpredictable,,29.37,4 시즌 0 주 1 일,1070,2,6,7,6,20,TRUE,1,4,5,3,6,6,3,612,2018-10-31,5.5,FW,300000,32,3.87,5.75,5.78,5.91,5.82,6.08,5.88,6.24,6.06,6.18,6.25,6.08,6.64,6.92,6.97,6.68,0,FWd,6.97
31,Česká republika,,397610518,Head,Bru,31.19,3 시즌 7 주 0 일,10100,3,7,7,6,20,FALSE,1,9,9,1,8,4,4,888,2018-10-31,7,IM,1632000,42,4.54,8.24,8.01,8.56,7.81,9.29,8.7,9.29,7.93,7.81,8.1,7.17,9.05,6.61,7.69,5.85,0,CD,9.29
43,Hanguk,,433466579,Technical,,20.86,2 시즌 13 주 0 일,10960,3,2,6,7,20,TRUE,1,11,4,4,3,3,3,1149,2018-10-31,4,W,1950000,0,4.96,9.13,8.52,8.63,7.91,8.78,9.07,7.65,6.98,6.06,5.97,5.8,5.64,4.56,0,4.58,4.59,WBd,9.13
59,Hanguk,,435660098,,Y×2,19.66,1 시즌 12 주 1 일,3510,5,2,6,7,20,TRUE,1,9,4,3,5,2,6,921,2018-11-04,4.5,CD,490000,5,4.47,7.83,7.36,7.52,6.9,7.72,7.85,6.91,6.37,5.73,5.67,5.52,5.57,4.38,4.88,4.28,0,CDtw,7.85
60,Hanguk,,435761718,,,19.53,1 시즌 11 주 0 일,1130,3,1,7,6,20,TRUE,1,4,5,3,3,7,5,721,2018-10-31,5,FW,370000,3,2.96,4.84,4.87,5,4.91,5.17,4.97,5.33,4.95,5.02,5.14,4.83,5.51,5.94,5.45,5.74,0,FW,5.94
