Number,Nat,Player,PlayerID,Special,Stat,Age,Since,TSI,LS,XP,Fo,Stm,Lo,MB,KP,DF,PM,WI,PS,SC,SP,Psico,Last,Rt,Pos,Wage,G,TC,PH,KPPos,WBPos,CDPos,WPos,IMPos,FWPos
2,Hanguk,Jee-Hoon Kim,428709461,,,21.71,2시즌 13주 0일,28910,3,2,6,8,20,TRUE,12,5,1,1,1,2,8,1282,2018-05-09,5.5,KP,5450000,0,,,10.54,4.63,4.78,3.22,3.02,2.94
3,Hanguk,Eun-Seok Hong,427619235,,,31.96,3시즌 5주 0일,250,5,5,6,6,20,TRUE,1,6,6,3,2,1,7,604,2018-05-13,3.5,CD,290000,9,,,4.1,6.61,7.09,6.25,6.61,4.5
4,Hanguk,Ji-Woon Lee,427619236,,Y×1,22.0,3시즌 5주 0일,1280,5,3,7,8,20,TRUE,1,7,4,3,5,2,7,728,2018-05-13,4.5,CD,390000,23,,,4.66,7.34,7.65,6.28,6.22,5.12
6,Hanguk,Jae-Shin Cha,427619238,,,29.93,3시즌 5주 0일,980,5,5,8,6,20,TRUE,1,7,3,6,3,2,10,741,2018-05-09,5,WB,380000,12,,,4.93,7.93,7.55,6.47,5.59,5.14
8,Hanguk,Hong-Chan Son,427619240,,,24.41,3시즌 5주 0일,1090,5,3,6,7,20,TRUE,1,5,6,5,5,1,8,628,2018-05-09,3.5,WB,310000,1,,,3.81,6.53,6.66,6.79,6.86,5.13
9,Hanguk,Hoi-Taek Park,427619241,Unpredictable,Y×1,22.48,3시즌 5주 0일,1420,2,3,8,8,20,TRUE,1,5,6,3,6,3,10,621,2018-05-09,5,IM,330000,10,,,4.24,6.89,7.42,7.23,7.8,6.44
10,Hanguk,Kwang-Eul Jeon,427619242,,,26.47,3시즌 5주 0일,1630,4,4,7,7,20,TRUE,1,6,7,3,3,2,9,762,2018-05-13,5,IM,430000,9,,,4.49,7.53,8.21,7.49,8.14,5.77
11,Hanguk,Kwang-Hwan Yun,427619243,,Y×1,29.14,3시즌 5주 0일,670,6,5,7,7,20,TRUE,2,5,6,2,5,2,9,614,2018-05-09,4,W,320000,12,,,4.92,6.57,7.25,6.79,7.48,5.68
12,Hanguk,Chan-Myung Lee,427619244,,Y×1,28.23,3시즌 5주 0일,880,3,4,6,7,20,TRUE,1,3,7,3,4,3,8,734,2018-05-09,5,IM,410000,8,,,3.36,5.39,5.91,6.47,7.27,5.78
13,Hanguk,Sung-Kook Han,427619245,Technical,,24.11,3시즌 5주 0일,1550,2,4,7,8,20,TRUE,1,5,6,6,5,2,9,615,2018-05-13,5,W,330000,14,,,4.27,7.39,7.35,7.68,7.59,6.21
14,Hanguk,Se-Jong Cho,427619246,,,31.11,3시즌 5주 0일,460,4,5,8,6,20,TRUE,1,5,5,6,3,3,8,596,2018-05-09,4.5,WB,280000,18,,,4.33,7.2,7.02,7.04,6.76,6.04
15,Hanguk,Man-Ok Lee,427619247,Unpredictable,,25.64,3시즌 5주 0일,2230,5,4,7,7,20,TRUE,1,5,5,7,6,2,9,756,2018-05-09,5,W,350000,13,,,4.24,7.32,6.95,7.44,6.93,6.16
16,Hanguk,Dong-Shik Kim,427619248,,Y×1,21.58,3시즌 5주 0일,1650,6,3,7,8,20,TRUE,1,3,3,6,4,7,10,756,2018-05-13,5.5,FW,410000,24,,,3.54,5.45,4.9,5.59,5.13,6.98
18,Hanguk,Kwang-Rae Kim,427619250,Head,,29.18,3시즌 5주 0일,810,3,5,6,7,20,TRUE,1,2,5,3,6,6,7,609,2018-05-09,5,FW,300000,32,,,3.19,4.56,4.77,5.63,6.19,6.65
23,Belgium,Mathias Piron,428125893,Technical,,34.97,2시즌 15주 6일,90,6,6,8,5,20,FALSE,2,5,5,5,5,1,8,490,2018-05-13,4.5,W,324000,9,,,4.35,6.24,6.24,6.24,6.1,4.77
25,Polska,Pylyp Nagorniak,406205227,,Y×1,29.58,2시즌 15주 6일,1660,5,3,8,6,20,FALSE,1,6,6,3,6,3,9,659,2018-05-09,5,IM,432000,8,,,3.92,6.78,7.34,6.73,7.23,5.79
31,Hanguk,Se-Hee Park,430626797,,,20.105,2시즌 4주 0일,1200,4,2,6,7,20,TRUE,1,2,5,5,3,7,8,722,2018-05-13,5,FW,390000,19,,,2.81,4.56,4.44,5.44,5.67,6.53
34,Sverige,Axel Hermansson,422526443,,Y×1,30.80,2시즌 1주 6일,1540,5,5,6,6,17,FALSE,2,6,7,2,6,2,9,703,2018-05-13,4.5,IM,492000,12,,,4.17,6.12,6.9,6.31,7.09,5.02
38,Latvija,Artem Skurlatov,409641598,,,28.86,1시즌 14주 3일,2250,5,5,5,7,16,FALSE,1,8,6,3,4,3,4,807,2018-05-09,4.5,CD,732000,8,,,3.61,6.31,6.82,5.53,5.82,4.4
40,Perú,Matías Pichis,416567166,,,24.36,1시즌 13주 5일,9840,6,2,7,8,16,FALSE,1,10,8,2,4,4,6,1001,2018-05-09,5,CD,1764000,4,,,4.58,8.79,9.98,7.58,8.49,5.88
41,Deutschland,Reinold Kisch,413993877,,,25.40,1시즌 13주 5일,2790,5,2,8,7,16,FALSE,1,8,6,2,4,5,3,803,2018-05-09,4.5,CD,588000,11,,,4.13,7.42,8.26,6.39,7.04,5.84
48,Hanguk,Dong-Suk Lee,432205385,Technical,,20.7,1시즌 7주 6일,1220,6,1,7,6,20,TRUE,1,5,4,5,6,5,4,624,2018-05-13,5.5,FW,290000,4,,,3.14,5.38,5.25,5.21,5.02,5.46
52,Hanguk,Seong-Gong Choi,433454317,Unpredictable,,18.87,1시즌 4주 0일,5530,4,2,7,7,20,TRUE,1,7,7,7,4,5,4,786,2018-05-13,5,WB,550000,6,,,4.3,8.25,8.25,8,7.91,7.04
55,Hanguk,Geun-Ho Han,433728993,,Y×1,19.89,1시즌 1주 0일,2090,3,1,6,6,20,TRUE,1,5,6,4,3,7,3,745,2018-05-09,4.5,FW,410000,4,,,3.1,5.55,5.84,5.62,6.05,6.09
58,Hanguk,Tae-Hwan Lee,434006765,,,18.5,14주 0일,12070,4,2,6,7,20,TRUE,10,1,1,1,1,1,4,1014,2018-05-13,4.5,KP,3090000,0,,,7.96,2.48,2.48,2.48,2.48,2.48
61,Oceania,Cedrick Williamson,430364099,Powerful 있음,,19.40,11주 5일,5830,3,2,6,7,10,FALSE,1,8,5,7,7,2,4,854,2018-05-13,4,WB,708000,2,,,3.34,6.85,6.64,6.02,5.41,4.46
