Number,Nat,Player,PlayerID,Special,Stat,Age,Since,TSI,LS,XP,Fo,Stm,Lo,FALSE,KP,DF,PM,WI,PS,SC,SP,Psico,Last,Rt,Pos,Wage,G,KPPos,WBdPos,WBPos,WBtmPos,WBoPos,CDPos,CDtwPos,CDoPos,WPos,IMPos,FWPos,FWdPos,FWtwPos,TDFPos,BPo,BPoV
1,Hanguk,Jong-Kyung Ji,429263806,Head,,25.40,3 시즌 12 주 0 일,2330,2,5,7,7,20,TRUE,6,4,1,1,1,1,5,649,2018-09-30,4,KP,990000,0,7.48,5.21,4.92,4.97,4.63,5.04,5.18,4.5,3.78,3.6,3.27,3.27,3.27,0,KP,7.48
2,Hanguk,Soon Jung,429263807,,,31.17,3 시즌 12 주 0 일,140,7,6,6,6,20,TRUE,5,6,1,1,3,1,3,606,2018-10-03,4,KP,630000,0,6.6,5.85,5.42,5.5,4.99,5.61,5.81,4.81,3.9,3.64,3.26,3.49,3.24,0,KP,6.6
7,Hanguk,Ang-Ri Choi,429263812,Powerful,,35.39,3 시즌 12 주 0 일,110,2,6,8,5,20,TRUE,2,7,5,4,4,1,5,680,2018-10-03,4.5,W,290000,16,5.45,7.96,7.74,7.85,7.53,8,8,7.65,6.92,6.85,5.1,5.74,5.03,0,CD,8
9,Hanguk,Seung-Min Lee,429263815,Quick,,23.8,3 시즌 12 주 0 일,9820,3,3,7,8,20,TRUE,1,10,6,3,6,2,6,1007,2018-09-30,5.5,IM,1550000,4,5.49,9.94,9.45,9.76,8.97,10.17,10.1,9.45,7.88,8.09,5.85,6.76,5.54,0,CD,10.17
10,Hanguk,Jung-Jae Lee,429263816,Unpredictable,Y×1,27.82,3 시즌 12 주 0 일,5420,4,4,7,7,20,TRUE,1,9,7,2,3,2,4,925,2018-10-03,5.5,IM,870000,4,5.31,9.34,8.98,9.41,8.65,9.97,9.65,9.62,7.8,8.47,5.65,6.32,5.17,0,CD,9.97
11,Hanguk,Ryung-Tae Kim,429263818,,,29.36,3 시즌 12 주 0 일,2400,2,4,7,6,20,TRUE,2,8,6,3,5,3,5,803,2018-10-03,5.5,IM,570000,9,5.62,8.56,8.27,8.54,8,8.89,8.73,8.54,7.4,7.75,6.08,6.66,5.78,0,CD,8.89
12,Hanguk,Jung-Eum Yun,429263819,Powerful,,28.33,3 시즌 12 주 0 일,1220,5,5,7,7,20,TRUE,1,5,7,3,5,3,4,703,2018-09-30,5,IM,410000,14,4.31,6.99,7.05,7.33,7.13,7.69,7.27,8.05,7.56,8.32,6.54,7.23,6.14,0,IMd,8.33
13,Hanguk,Hong-Woon Kim,429263820,Technical,Y×2,24.48,3 시즌 12 주 0 일,9730,2,4,6,8,20,TRUE,1,10,6,6,5,3,4,1019,2018-09-30,6,W,1430000,5,5.24,9.78,9.42,9.49,9.06,9.58,9.75,8.91,7.93,7.6,6.12,0,6.16,6.52,WBd,9.78
15,Hanguk,Bong-Joo Kim,429263823,,,25.94,3 시즌 12 주 0 일,13300,4,4,8,7,20,TRUE,1,10,6,7,6,2,4,1070,2018-09-30,7,W,1350000,12,5.81,10.99,10.63,10.62,10.26,10.61,10.89,9.87,9.08,8.48,6.66,7.37,6.81,0,WBd,10.99
16,Hanguk,Kil-Sung Park,429263824,,Y×1,22.44,3 시즌 12 주 0 일,1970,5,3,7,8,20,TRUE,1,5,3,5,4,7,6,747,2018-09-30,6,FW,410000,21,4.1,6.5,6.37,6.25,6.23,6.09,6.35,5.73,5.74,5.36,6.87,6.15,7.06,0,FWtw,7.06
18,Hanguk,Min-Ho Ji,429263827,Unpredictable,,29.8,3 시즌 12 주 0 일,1030,2,6,7,6,20,TRUE,1,4,5,3,6,6,3,611,2018-10-03,5.5,FW,300000,32,4.05,6.02,6.05,6.18,6.09,6.36,6.16,6.54,6.47,6.95,7.24,7.29,7,0,FWd,7.29
31,Česká republika,,397610518,Head,,30.102,3 시즌 2 주 6 일,12840,3,7,7,6,20,FALSE,1,9,9,1,8,4,4,900,2018-10-03,6,IM,1740000,42,4.96,9.01,8.75,9.35,8.53,10.15,9.5,10.15,8.54,9.89,7.22,8.41,6.39,0,CD,10.15
43,Hanguk,Ji-Soo Kim,433466579,Technical,,20.57,2 시즌 9 주 0 일,11210,3,2,6,7,20,TRUE,1,11,4,4,3,3,3,1153,2018-10-03,5,WB,1950000,0,5.11,9.39,8.76,8.88,8.13,9.03,9.33,7.87,6.23,5.8,4.69,0,4.71,4.72,WBd,9.39
48,Hanguk,Jin-Taek Cho,433931826,Powerful,TL,20.46,2 시즌 3 주 6 일,1780,1,1,6,7,20,TRUE,1,8,5,4,2,4,5,802,2018-10-03,3.5,W,470000,1,2.59,5.9,5.61,5.73,5.32,5.88,5.93,5.4,4.33,4.3,3.41,3.27,3.35,0,CDtw,5.93
54,Hanguk,Kwang-Hyun Seo,434869614,Unpredictable,,20.21,1 시즌 12 주 6 일,2320,2,1,7,7,20,TRUE,1,7,5,4,5,4,2,759,2018-09-30,4,CD,390000,9,3.98,7.24,7.02,7.13,6.8,7.28,7.29,6.93,6.25,6.3,5.61,5.85,5.5,0,CDtw,7.29
59,Hanguk,Hyung-Hwa Jung,435660098,,Y×1,19.37,1 시즌 8 주 0 일,2670,5,2,6,7,20,TRUE,1,8,4,3,5,2,6,873,2018-09-30,4.5,CD,490000,3,4.27,7.33,6.94,7.08,6.56,7.26,7.35,6.61,5.63,5.53,4.43,4.94,4.33,0,CDtw,7.35
60,Hanguk,Chu-Seok Ahn,435761718,,,19.24,1 시즌 6 주 6 일,890,3,1,5,6,20,TRUE,1,4,5,3,3,7,5,711,2018-10-03,4,FW,370000,3,2.53,4.14,4.17,4.28,4.2,4.42,4.25,4.56,4.3,4.71,5.08,4.67,4.91,0,FW,5.08
61,Schweiz,Francois Baumgartner,434542904,,,19.4,1 시즌 6 주 5 일,8600,5,2,5,7,14,FALSE,1,8,7,6,7,6,3,799,2018-09-30,4.5,CD,948000,5,3.27,6.85,6.74,6.82,6.64,6.93,6.9,6.78,6.41,6.5,6.01,6.21,5.92,0,CD,6.93
63,Hellas,Damianos Yiannopoulos,377705560,Unpredictable,,35.103,1 시즌 5 주 6 일,7150,6,9,8,5,13,FALSE,1,9,12,11,4,3,14,1180,2018-10-03,6.5,W,4308000,93,4.48,10.06,10.29,10.32,10.53,10.35,10.14,10.83,10.67,10.68,7.53,8.14,7.59,0,IMtw,10.93
64,Hanguk,Koo-Joong Kim,435928762,,,19.15,1 시즌 5 주 0 일,4850,3,2,7,7,20,TRUE,1,10,4,3,2,2,3,1004,2018-10-03,5,CD,1130000,3,5.11,9.12,8.53,8.71,7.93,8.95,9.13,7.9,6.12,5.88,4.3,4.46,4.23,0,CDtw,9.13
67,Hanguk,Hae-Won Kim,437472967,,Y×1,19.35,9 주 6 일,4230,3,1,7,6,20,TRUE,1,9,3,3,6,5,3,905,2018-10-03,4,WB,670000,0,4.3,7.66,7.12,7.22,6.57,7.35,7.61,6.34,5.24,4.97,5.19,5.21,5.14,0,WBd,7.66
68,Sverige,Elmin Polovina,436113582,,,18.21,6 주 5 일,5220,2,2,8,5,8,FALSE,1,8,7,6,6,5,3,798,2018-10-03,3.5,CD,564000,0,3.3,7.22,7.1,7.19,6.98,7.3,7.27,7.14,6.66,6.71,5.79,6.06,5.72,0,CD,7.3
69,Hanguk,Seung-Chul Ki,437963734,Unpredictable,,17.69,4 주 3 일,1060,6,1,6,6,6,FALSE,1,5,6,2,6,2,2,666,2018-10-03,2,CD,350000,0,1.97,4.03,3.99,4.25,3.98,4.58,4.25,4.73,4.26,4.87,3.34,4.17,2.98,0,IM,4.87
70,Hanguk,Sang-Shik Won,438511569,,,18.38,2 주 0 일,180,6,1,6,6,20,TRUE,1,3,3,6,3,3,2,604,2018-09-30,2.5,WB,270000,0,2.5,4.03,4.12,3.92,4.19,3.65,3.87,3.65,4.16,3.65,3.95,3.81,4.24,0,Wo,4.39
