Number,Nat,Player,PlayerID,Special,Stat,Age,Since,TSI,LS,XP,Fo,Stm,Lo,MB,KP,DF,PM,WI,PS,SC,SP,Psico,Last,Rt,Pos,Wage,G,KPPos,WBdPos,WBPos,WBtmPos,WBoPos,CDPos,CDtwPos,CDoPos,WdPos,WPos,WtmPos,WoPos,IMdPos,IMPos,IMtwPos,IMoPos,FWPos,FWdPos,FWtwPos,TDFPos,BPo,BPoV
1,Hanguk,Jong-Kyung Ji,429263806,Head,,27.44,5 s 12 wk 4 d,2500,2,5,7,7,20,TRUE,6,6,1,1,1,1,5,660,2019-05-19,4.5,KP,1010000,0,7.96,6.44,5.97,6.05,5.48,6.17,6.4,5.28,4.8,4.09,4.01,3.91,4.09,3.79,3.81,3.48,3.24,3.24,3.24,0,KP,7.96
7,Hanguk,Ang-Ri Choi,429263812,Powerful,,37.43,5 s 12 wk 4 d,20,2,6,7,4,20,TRUE,1,6,3,2,3,0,5,590,2019-05-22,4,W,250000,18,4.07,6.05,5.78,5.89,5.5,6.04,6.08,5.58,5.17,4.79,4.78,4.62,4.9,4.71,4.73,4.51,3.41,3.93,3.33,0,CDtw,6.08
10,Hanguk,Jung-Jae Lee,429263816,Unpredictable,,29.86,5 s 12 wk 4 d,5000,4,5,7,7,20,TRUE,1,9,7,2,3,2,4,912,2019-05-22,5.5,IM,1060000,6,5.32,9.27,8.92,9.34,8.59,9.89,9.57,9.54,8.18,7.76,7.98,7.12,8.76,8.42,8.18,8.03,5.65,6.31,5.18,0,CD,9.89
12,Hanguk,Jung-Eum Yun,429263819,Powerful,,30.37,5 s 12 wk 4 d,890,5,5,6,6,20,TRUE,1,5,7,3,5,3,4,700,2019-05-19,5,IM,380000,20,3.94,6.4,6.45,6.71,6.53,7.04,6.65,7.36,6.74,6.92,7.12,6.6,7.62,7.61,7.41,7.57,5.98,6.62,5.62,0,IMd,7.62
13,Hanguk,Hong-Woon Kim,429263820,Technical,Y×1,26.52,5 s 12 wk 4 d,12460,2,5,7,7,20,TRUE,1,10,6,6,5,3,4,1082,2019-05-19,6.5,W,1930000,13,5.73,10.59,10.21,10.28,9.82,10.37,10.56,9.66,9.2,8.61,8.56,8.43,8.58,8.25,8.38,7.91,6.68,0,6.72,7.1,WBd,10.59
15,Hanguk,Bong-Joo Kim,429263823,,,27.98,5 s 12 wk 4 d,15850,4,5,8,7,20,TRUE,1,10,6,7,6,2,4,1106,2019-05-19,7,W,1790000,26,5.88,11.01,10.65,10.65,10.28,10.64,10.91,9.9,9.7,9.12,9.02,9.06,8.83,8.52,8.78,8.2,6.72,7.43,6.87,0,WBd,11.01
16,Hanguk,Kil-Sung Park,429263824,,Y×1,24.48,5 s 12 wk 4 d,2410,5,3,6,8,20,TRUE,1,6,3,5,4,7,6,756,2019-05-22,5.5,FW,410000,32,4.08,6.66,6.45,6.36,6.23,6.23,6.51,5.73,5.87,5.51,5.37,5.6,5.18,5.1,5.14,5.03,6.4,5.73,6.58,0,WBd,6.66
18,Hanguk,Min-Ho Ji,429263827,Unpredictable,,31.12,5 s 12 wk 4 d,700,2,6,7,6,20,TRUE,1,5,4,3,6,6,3,602,2019-05-19,5.5,FW,290000,43,4.13,6.21,6.09,6.17,5.97,6.29,6.26,6.13,6,5.88,5.87,5.83,6.04,6.09,5.93,6.15,6.65,6.6,6.51,0,FW,6.65
31,Česká republika,,397610518,Head,,32.106,5 s 3 wk 3 d,7530,3,8,7,6,20,FALSE,1,10,9,1,8,4,4,980,2019-05-22,7,IM,1500000,52,5.21,9.54,9.19,9.81,8.89,10.61,10.02,10.44,8.89,8.63,8.92,7.9,10.06,9.9,9.39,9.72,7.17,8.34,6.35,0,CD,10.61
43,Hanguk,Ji-Soo Kim,433466579,Technical,,22.61,4 s 9 wk 3 d,10650,3,3,4,8,20,TRUE,1,11,4,4,3,3,3,1168,2019-05-22,4,W,3810000,3,4.38,7.91,7.4,7.49,6.88,7.62,7.86,6.66,6.09,5.31,5.23,5.09,5.32,4.95,5,4.57,4.04,0,4.06,4.06,WBd,7.91
